Product ID,Product Name,Category,Category Name,Brand,Brand Name,Product Description,Price Includes,Sub-Taxonomy,Sub-Taxonomy Name,Keywords,Country of Origin,Features,Small Image,Medium Image,Large Image,Zoom Image,Small Image URL,Medium Image URL,Large Image URL,Zoom Image URL,Material,Page Number,Price Message,Price Start Date,Quantity,Price,Net Price,Late Pricing Start Date,Late Quantities,Late Prices,Late Net Prices,Price1,Price2,Price3,Price4,Price5,Price6,Price7,Price8,Price9,Price10,Code1,Code2,Code3,Code4,Code5,Code6,Code7,Code8,Code9,Code10,Quantity1,Quantity2,Quantity3,Quantity4,Quantity5,Quantity6,Quantity7,Quantity8,Quantity9,Quantity10,Late Price1,Late Price2,Late Price3,Late Price4,Late Price5,Late Price6,Late Price7,Late Price8,Late Price9,Late Price10,Late Code1,Late Code2,Late Code3,Late Code4,Late Code5,Late Code6,Late Code7,Late Code8,Late Code9,Late Code10,Late Quantity1,Late Quantity2,Late Quantity3,Late Quantity4,Late Quantity5,Late Quantity6,Late Quantity7,Late Quantity8,Late Quantity9,Late Quantity10,EQP Net Minus 3%,EQP Net Minus 5%,Customer Price,Pack Size,Pack Weight,Unit of Measure,Sizes,Size Name,Size Width,Size Length,Size Height,Lead Time,Rush Lead Time,Additional Lead Time to Canada,Canadian Lead Time,Item Type1,Item Colors1,Item Type2,Item Colors2,Item Type3,Item Colors3,Item Type4,Item Colors4,Imprint Method1,Imprint Location1,Imprint Colors1,Imprint Method2,Imprint Location2,Imprint Colors2,Imprint Method3,Imprint Location3,Imprint Colors3,Imprint Method4,Imprint Location4,Imprint Colors4,Imprint Method5,Imprint Location5,Imprint Colors5,Imprint Method6,Imprint Location6,Imprint Colors6,Imprint Method7,Imprint Location7,Imprint Colors7,Selections,Proofs,Item Color Charges,Option Charges,Additional Product Information,FOB Ship From City,FOB Ship From State,FOB Ship From Zip,FOB Bill From City,FOB Bill From State,FOB Bill From Zip
20958,Callaway&#174; Business Card Box - Warbird,GOLF,Golf,NORWOOD,Norwood,A great way to get your business card into the hands of a customer or prospective client.,"1 to 4-color imprint, 1 location",CALLAWAY,Callaway(R),20958 Callaway 2-ball business card box Warbird golf balls premium gift brand event outing Callaways businesses busines cards boxes Warbirds golves ball premia gifts brands events,China,2 logoed Callaway&#174; Golf balls are contained in this high quality linen box|This is the ultimate method of handing out your business card to an important client,GOLF_20958_S.jpg,GOLF_20958_M.jpg,GOLF_20958_L.jpg,GOLF_20958_Z.jpg,http://norwood.com/images/products/small/20958_S.jpg,http://norwood.com/images/products/medium/20958_M.jpg,http://norwood.com/images/products/large/20958_L.jpg,http://norwood.com/images/products/zoom/20958_Z.jpg, ,625,,1/1/15,75|144|720,9|8.5|8,5.85|5.525|5.2,,,,,9,8.5,8,,,,,,,,D,D,D,,,,,,,,75,144,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,21,Each,"3-1/2""w x 1-3/4""h x 1-3/4""d",,"3-1/2""",,"1-3/4""",7,,,,Product Colors,Black,,,,,,,Pad Print,"Equator of Golf Ball (Standard): 7/8"" dia., 4 color(s) max ",186 Red|205 Magenta|Process Blue|327 Teal|1545 Brown|316 Dark Teal|208 Burgundy|Black|114 Lemon|211 Pink|2587 Purple|172 Orange|877 Metallic Silver|White|872 Metallic Gold|116 Athletic Gold|1345 Cream|293 Royal Blue|876 Metallic Copper|424 Charcoal Gray|202 Maroon|281 Navy Blue|Color Match|Reflex Blue|341 Forest Green|355 Green,,,,,,,,,,,,,,,,,,,,Virtual Proof no charge|Fax Proof no charge|Email Proof no charge,,"Cancellation $31.25(G) plus costs incurred|Set-Up, No Charge per order|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",Less than minimum not available on this product|Spec samples/product proofs not available,Laredo,TX,78045,Laredo,TX,78045
20959,Callaway&#174; Valuables Pouch - Warbird,GOLF,Golf,NORWOOD,Norwood,A soft lining protects all your valuables from damage.,"1 to 4-color imprint, 1 location on balls and a 1 location embroidered logo on pouch",CALLAWAY,Callaway(R),20959 Callaway 6 Ball Valuables Pouch Warbird golf balls premium gift brand event outing Callaways Balls Valuable Pouches Warbirds golves ball premia gifts brands events outings,China,Perfect for keeping valuables secure while on the course,GOLF_20959_S.jpg,GOLF_20959_M.jpg,GOLF_20959_L.jpg,GOLF_20959_Z.jpg,http://norwood.com/images/products/small/20959_S.jpg,http://norwood.com/images/products/medium/20959_M.jpg,http://norwood.com/images/products/large/20959_L.jpg,http://norwood.com/images/products/zoom/20959_Z.jpg, ,624,,1/1/15,36|75|150,37.5|36|34.5,24.375|23.4|22.425,,,,,37.5,36,34.5,,,,,,,,D,D,D,,,,,,,,36,75,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,21,Each,"6-3/4""w x 6-1/2""h x 1-7/8""d",,"6-3/4""",,"6-1/2""",12,,,,Product Colors,Black,,,,,,,Embroidery,"Front (Standard): 3""w x 2""h, 5 color(s) max ",Approximate Match.  Exact match not guaranteed,Pad Print,"Equator of Golf Ball (Standard): 7/8"" dia., 4 color(s) max ",327 Teal|172 Orange|186 Red|876 Metallic Copper|281 Navy Blue|Black|355 Green|211 Pink|877 Metallic Silver|Reflex Blue|341 Forest Green|424 Charcoal Gray|114 Lemon|1545 Brown|202 Maroon|208 Burgundy|2587 Purple|Color Match|293 Royal Blue|316 Dark Teal|116 Athletic Gold|1345 Cream|205 Magenta|Process Blue|White|872 Metallic Gold,,,,,,,,,,,,,,,,,Virtual Proof no charge|Fax Proof no charge|Email Proof no charge,,"Set-Up $93.75(G) per order|Cancellation $31.25(G) plus costs incurred|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",Less than minimum not available on this product|Production time reduced to 7 business days if digitizing is not required,Laredo,TX,78045,Laredo,TX,78045
61156,Callaway&#174; Gift Card-$50,GOLF,Golf,NORWOOD,Norwood,Looking for the perfect tournament gift? Purchase a Callaway Golf&#174; gift card and let your customer choose from a multitude of Callaway Golf&#174; products.,4-color process imprint inside gift card box and a co-branded 4-color logo on website,CALLAWAY,Callaway(R),61156 Callaway Gift Card $50 Tee Off golf accessories golf products golf tournaments golf outings sports recognition gifts Callaways Gifts Cards Tees Offs golves accessory product tournament outing sport recognitions gift,United States,,GOLF_61156_S.jpg,GOLF_61156_M.jpg,GOLF_61156_L.jpg,GOLF_61156_Z.jpg,http://norwood.com/images/products/small/61156_S.jpg,http://norwood.com/images/products/medium/61156_M.jpg,http://norwood.com/images/products/large/61156_L.jpg,http://norwood.com/images/products/zoom/61156_Z.jpg,"Paper, plastic",WEB,,1/1/15,1,50,40,,,,,50,,,,,,,,,,G,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,9,Each,"5-1/4""w x 3-1/2""h",,"5-1/4""",,"3-1/2""",12,,,,Artwork Available,Black|Brown|Clouds|White|Teeing Off,,,,,,,4-Color Process,"Inside Gift Card Sleeve (Standard): 3""w x 2-1/8""h",4 Color Process|Approximate Match.  Exact match not guaranteed,,,,,,,,,,,,,,,,,,,"Gift Box, Inserted $2.50(G) each",Virtual Proof no charge|Fax Proof no charge|Email Proof no charge,,"Cancellation $31.25(G) plus costs incurred|Set-Up, No Charge per order|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",Exact color match cannot be guaranteed|Minimum $625(g) purchase for imprint.  Orders under $625(g) will be shipped with Callaway Golf(R) branding identification and no customer logo|Spec samples/product proofs not available,Austin,TX,78754,Austin,TX,78754
61207,Callaway&#174; Gift Card-$100,GOLF,Golf,NORWOOD,Norwood,Looking for the perfect tournament gift? Purchase a Callaway Golf&#174; gift card and let your customer choose from a multitude of Callaway Golf&#174; products.,4-color process imprint inside gift card box and a co-branded 4-color logo on website.,CALLAWAY,Callaway(R),61207 Callaway Gift Card $100 Tee Off golf accessories golf products golf tournaments golf outings sports recognition gifts Callaways Gifts Cards Tees Offs golves accessory product tournament outing sport recognitions gift,United States,,GOLF_61207_S.jpg,GOLF_61207_M.jpg,GOLF_61207_L.jpg,GOLF_61207_Z.jpg,http://norwood.com/images/products/small/61207_S.jpg,http://norwood.com/images/products/medium/61207_M.jpg,http://norwood.com/images/products/large/61207_L.jpg,http://norwood.com/images/products/zoom/61207_Z.jpg,"Paper, plastic",WEB,,1/1/15,1,100,80,,,,,100,,,,,,,,,,G,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,9,Each,"5-1/4""w x 3-1/2""h",,"5-1/4""",,"3-1/2""",12,,,,Artwork Available,Black|Brown|Clouds|White|Teeing Off,,,,,,,4-Color Process,"Inside Gift Card Sleeve (Standard): 3""w x 2-1/8""h",4 Color Process|Approximate Match.  Exact match not guaranteed,,,,,,,,,,,,,,,,,,,"Gift Box, Inserted $2.50(G) each",Virtual Proof no charge|Fax Proof no charge|Email Proof no charge,,"Cancellation $31.25(G) plus costs incurred|Set-Up, No Charge per order|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",Exact color match cannot be guaranteed|Minimum $625(g) purchase for imprint.  Orders under $625(g) will be shipped with Callaway Golf(R) branding identification and no customer logo|Spec samples/product proofs not available,Austin,TX,78754,Austin,TX,78754
62211,Callaway&#174; Chev Cart Bag,GOLF,Golf,NORWOOD,Norwood,,"embroidery; limit 8,000 stitches in 1 location",CALLAWAY,Callaway(R),62211 Callaway&#174; Chev Cart Bag golf bag Callaway&#174;s Chevs Carts Bags golves bags,China,"14-way divider club organization system with 2 integrated molded grab handles|8 pockets including: velour lined valuables pocket with key fob, 2 full length apparel pockets|Ball pocket and 3 accessory pockets",GOLF_62211_S.jpg,GOLF_62211_M.jpg,GOLF_62211_L.jpg,GOLF_62211_Z.jpg,http://norwood.com/images/products/small/62211_S.jpg,http://norwood.com/images/products/medium/62211_M.jpg,http://norwood.com/images/products/large/62211_L.jpg,http://norwood.com/images/products/zoom/62211_Z.jpg,Nylon,615,,1/1/15,6|12,245|235,159.25|152.75,,,,,245,235,,,,,,,,,D,D,,,,,,,,,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,Each,"10""w x 36""h x 16""d",,"10""",,"36""",12,,,,Product Colors,Black|Blue/Black/Yellow|Charcoal/Red/White|Navy/Charcoal/White|White/Gray/Orange,,,,,,,Embroidery,"Ball Pocket (Standard): 4"" dia., 5 color(s) max ",Approximate Match.  Exact match not guaranteed,,,,,,,,,,,,,,,,,,,,Virtual Proof no charge|Fax Proof no charge|Email Proof no charge,,"Set-Up $187.50(G) per order|Cancellation $31.25(G) plus costs incurred|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",Production time reduced to 7 business days if digitizing is not required,Carlsbad,CA,92008,Carlsbad,CA,92008
62212,Callaway&#174; 6-Ball Valuables Pouch - Super Soft,GOLF,Golf,NORWOOD,Norwood,,"1 to 4-color imprint, 1 location on balls and a 1 location embroidered logo on pouch",CALLAWAY,Callaway(R),62212 Callaway&#174; 6-Ball Valuables Pouch - Super Soft golf pouch Callaway&#174;s Valuable Pouches -s Supers Softs golves pouches,China,Perfect for keeping your valuables secure while on the course,GOLF_62212_S.jpg,GOLF_62212_M.jpg,GOLF_62212_L.jpg,GOLF_62212_Z.jpg,http://norwood.com/images/products/small/62212_S.jpg,http://norwood.com/images/products/medium/62212_M.jpg,http://norwood.com/images/products/large/62212_L.jpg,http://norwood.com/images/products/zoom/62212_Z.jpg,Velour,624,,1/1/15,36|75|150,39|37.5|36,25.35|24.375|23.4,,,,,39,37.5,36,,,,,,,,D,D,D,,,,,,,,36,75,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,21,Each,"6-3/4""w x 6-1/2""h x 1-7/8""d",,"6-3/4""",,"6-1/2""",12,,,,Product Colors,Black,,,,,,,Embroidery,"Front (Standard): 3""w x 2""h, 7 color(s) max ",Approximate Match.  Exact match not guaranteed,Pad Print,"Equator of Golf Ball (Standard): 7/8"" dia., 4 color(s) max ",114 Lemon|202 Maroon|877 Metallic Silver|Color Match|355 Green|116 Athletic Gold|1545 Brown|876 Metallic Copper|Reflex Blue|White|293 Royal Blue|341 Forest Green|186 Red|281 Navy Blue|Process Blue|424 Charcoal Gray|205 Magenta|316 Dark Teal|872 Metallic Gold|172 Orange|208 Burgundy|211 Pink|2587 Purple|Black|1345 Cream|327 Teal,,,,,,,,,,,,,,,,,Virtual Proof no charge|Fax Proof no charge|Email Proof no charge,,"Set-Up $93.75(G) per order|Cancellation $31.25(G) plus costs incurred|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",Production time reduced to 7 business days if digitizing is not required,Laredo,TX,78045,Laredo,TX,78045
62214,Callaway&#174; Players Towel,GOLF,Golf,NORWOOD,Norwood,,"embroidery; limit 8,000 stitches in 1 location",CALLAWAY,Callaway(R),62214 Callaway&#174; Players Towel golf towel Callaway&#174;s Player Towels golves towels,China,"Large 30"" x 30"" size|Absorbent, microfiber construction|Woven loop attachment for easy access",GOLF_62214_S.jpg,GOLF_62214_M.jpg,GOLF_62214_L.jpg,GOLF_62214_Z.jpg,http://norwood.com/images/products/small/62214_S.jpg,http://norwood.com/images/products/medium/62214_M.jpg,http://norwood.com/images/products/large/62214_L.jpg,http://norwood.com/images/products/zoom/62214_Z.jpg,Microfiber,628,,1/1/15,12|36|72,40|39.5|39,26|25.675|25.35,,,,,40,39.5,39,,,,,,,,D,D,D,,,,,,,,12,36,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,35,Each,"30""w x 30""h",,"30""",,"30""",12,,,,Product Colors,Black|White,,,,,,,Embroidery,"Top (Standard): 4"" dia., 5 color(s) max ",Approximate Match.  Exact match not guaranteed,,,,,,,,,,,,,,,,,,,,Virtual Proof no charge|Fax Proof no charge|Email Proof no charge,,"Embroidery Set-Up $93.75(G) per order|Cancellation $31.25(G) plus costs incurred|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",Production time reduced to 7 business days if digitizing is not required,Carlsbad,CA,92008,Carlsbad,CA,92008
62215,Callaway&#174; Tri-Fold Towel,GOLF,Golf,NORWOOD,Norwood,,"embroidery; limit 8,000 stitches in 1 location",CALLAWAY,Callaway(R),62215 Callaway&#174; Tri-Fold Towel golf towel Callaway&#174;s Tri-Folds Towels golves towels,China,"Slim 21""w x 16""h size|Soft and absorbent, 100% cotton construction|Carabineer attachment for easy access",GOLF_62215_S.jpg,GOLF_62215_M.jpg,GOLF_62215_L.jpg,GOLF_62215_Z.jpg,http://norwood.com/images/products/small/62215_S.jpg,http://norwood.com/images/products/medium/62215_M.jpg,http://norwood.com/images/products/large/62215_L.jpg,http://norwood.com/images/products/zoom/62215_Z.jpg,Microfiber,628,,1/1/15,12|36|72,32|31.5|30.5,20.8|20.475|19.825,,,,,32,31.5,30.5,,,,,,,,D,D,D,,,,,,,,12,36,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,35,Each,"21""w x 16""h",,"21""",,"16""",12,,,,Product Colors,Black|Charcoal|White,,,,,,,Embroidery,"Top (Standard): 2-1/2"" dia., 5 color(s) max ",Approximate Match.  Exact match not guaranteed,,,,,,,,,,,,,,,,,,,,Virtual Proof no charge|Fax Proof no charge|Email Proof no charge,,"Embroidery Set-Up $93.75(G) per order|Cancellation $31.25(G) plus costs incurred|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",Production time reduced to 7 business days if digitizing is not required,Carlsbad,CA,92008,Carlsbad,CA,92008
62216,Callaway&#174; Side Crested Custom Cap,GOLF,Golf,NORWOOD,Norwood,,"embroidery; limit 8,000 stitches in 1 location",CALLAWAY,Callaway(R),62216 Callaway&#174; Side Crested Custom Cap golf cap headware Callaway&#174;s Sides Cresteds Customs Caps golves caps headwares,China,"Cotton twill fabric|Adjustable back strap with logo buckle|Performance, moisture wicking sweatband",GOLF_62216_S.jpg,GOLF_62216_M.jpg,GOLF_62216_L.jpg,GOLF_62216_Z.jpg,http://norwood.com/images/products/small/62216_S.jpg,http://norwood.com/images/products/medium/62216_M.jpg,http://norwood.com/images/products/large/62216_L.jpg,http://norwood.com/images/products/zoom/62216_Z.jpg,Cotton Twill,632,,1/1/15,12|36|72,23.5|23|22,15.275|14.95|14.3,,,,,23.5,23,22,,,,,,,,D,D,D,,,,,,,,12,36,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,Each,One size fits most,One size fits most,,,,12,,,,Product Colors,Black|Navy|Stone|White,,,,,,,Embroidery,"Left Side (Standard): 2""w x 2""h, 5 color(s) max ",Approximate Match.  Exact match not guaranteed,,,,,,,,,,,,,,,,,,,,Virtual Proof no charge|Fax Proof no charge|Email Proof no charge,,"Embroidery Set-Up $93.75(G) per order|Cancellation $31.25(G) plus costs incurred|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",Production time reduced to 7 business days if digitizing is not required,Carlsbad,CA,92008,Carlsbad,CA,92008
62217,Callaway&#174; Sport Mini Cooler,GOLF,Golf,NORWOOD,Norwood,,"embroidery; limit 8,000 stitches in 1 location",CALLAWAY,Callaway(R),62217 Callaway&#174; Sport Mini Cooler golf cooler bag Callaway&#174;s Sports Minis Coolers golves coolers bags,Viet Nam,Durable 420D & 600D polyester fabric|Thermal lining keeps drinks and food cold|Adjustable shoulder strap|Zipper closure,GOLF_62217_S.jpg,GOLF_62217_M.jpg,GOLF_62217_L.jpg,GOLF_62217_Z.jpg,http://norwood.com/images/products/small/62217_S.jpg,http://norwood.com/images/products/medium/62217_M.jpg,http://norwood.com/images/products/large/62217_L.jpg,http://norwood.com/images/products/zoom/62217_Z.jpg,Nylon,618,,1/1/15,6,47,30.55,,,,,47,,,,,,,,,,D,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,Each,"9""w x 6""h x 6""d",,"9""",,"6""",12,,,,Product Colors,Charcoal/Black,,,,,,,Embroidery,"Front (Standard): 5"" dia., 5 color(s) max ",Approximate Match.  Exact match not guaranteed,,,,,,,,,,,,,,,,,,,,Virtual Proof no charge|Fax Proof no charge|Email Proof no charge,,"Embroidery Set-Up $93.75(G) per order|Cancellation $31.25(G) plus costs incurred|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",Production time reduced to 7 business days if digitizing is not required,Carlsbad,CA,92008,Carlsbad,CA,92008
