SKU,type,range,value,code,imprint_method
AF-632418,setup,,50,A,embroidery
AF-632418,run,1+,3.75,K,embroidery
AF-5170,setup,,50,K,embroidery
AF-5170,run,1+,2.50,K,embroidery
AF-7003-40,setup,,55.0,G,screen_print
AF-7003-40,additional_color_run,(1..49),0.99,G,screen_print
AF-7003-40,additional_color_run,(50..149),0.79,G,screen_print
AF-7003-40,additional_color_run,(150..499),0.69,G,screen_print
AF-7003-40,additional_color_run,500+,0.49,G,screen_print
AF-3250-99,setup,,55,G,screen_print
AF-3250-99,additional_color_run,(1..49),0.99,G,screen_print
AF-3250-99,additional_color_run,(50..149),0.79,G,screen_print
AF-3250-99,additional_color_run,(150..499),0.69,G,screen_print
AF-3250-99,additional_color_run,500+,0.49,G,screen_print
AF-2050-02,setup,,55,G,screen_print
AF-2050-02,additional_color_run,(1..49),0.99,G,screen_print
AF-2050-02,additional_color_run,(50..149),0.79,G,screen_print
AF-2050-02,additional_color_run,(150..499),0.69,G,screen_print
AF-2050-02,additional_color_run,500+,0.49,G,screen_print
AF-8500,setup,,0,K,screen_print
AF-P3A3A25,setup,,0,K,screen_print
AF-SM-4125,setup,,55,G,screen_print
AF-SM-4125,additional_color_run,(1..5000),0.30,G,screen_print
AF-SM-4125,additional_color_run,(5001..10000),0.25,G,screen_print
AF-SM-4125,additional_color_run,(10001..20000),0.20,G,screen_print
AF-SM-4125,additional_color_run,20001+,0.15,G,screen_print
AF-MOLEHRD,setup,,70,V,deboss
AF-MOLEHRD,additional_color_run,(6..99),0.99,V,deboss
AF-MOLEHRD,additional_color_run,(100..299),0.74,V,deboss
AF-MOLEHRD,additional_color_run,(300..999),0.59,V,deboss
AF-MOLEHRD,additional_color_run,1000+,0.45,V,deboss
AF-SM-2381,setup,,55,G,colorprint
AF-SM-2381,additional_color_run,(1..5000),0.45,G,colorprint
AF-SM-2381,additional_color_run,(5001..10000),0.40,G,colorprint
AF-SM-2381,additional_color_run,(10001..20000),0.35,G,colorprint
AF-SM-2381,additional_color_run,(20001..50000),0.30,G,colorprint
AF-SM-2381,additional_color_run,50001+,0.25,G,colorprint
AF-5117,setup,,50,G,screen_print
AF-71600,setup,,50,A,embroidery
AF-71600,run,1+,3.75,K,embroidery
AF-SG120,setup,,55,G,screen_print
AF-SG120,run,1+,0.55,G,screen_print
