dc_acct_num,dc_name,px_name,do_not_save
100257,1 Color Screenprinting,Screen Print,false
100257,Imprint Color,Screen Print,false
100257,Photopatch Imprint,Photopatch,false
100007,"Bleed on Scratch Pads - Finish size 3.00"" x 3.75"" w/bleeds","",true
100007,"Bleed on Scratch Pads - Finish size 3.00"" x 8.00"" w/bleeds","",true
100007,"Bleed on Scratch Pads - Finish size 3.25"" x 5.25"" w/bleeds","",true
100007,"Bleed on Scratch Pads - Finish size 3.75"" x 5.00"" w/bleeds","",true
100007,"Bleed on Scratch Pads - Finish size 5.00""x 8.00"" w/bleeds","",true
100007,"Bleed on Scratch Pads - Finish size 8.00"" x 10.50"" w/bleeds","",true
100007,"Clear 9"" Clear Plastic Luggage Loops","",true
100007,"Magnet Tab 1"" x 3"", .012 mil","",true
100007,#10 Blank Envelopes (9.5x4.125),"",true
100007,#4 Blank Baronial Envelopes (5.125x3.625),"",true
100007,#4 Printed Baronial Envelopes (5.125x3.625),"",true
100007,#7 Blank Envelopes (6.75x3.75),"",true
100007,#9 Window Envelopes,"",true
100007,#A2 Blank Envelopes (4.375 in. x 5.75 in.),"",true
100007,#A7 Printed Envelopes (7.25x5.25),"",true
100007,12x9 Blank Envelopes,"",true
100007,2nd Side Printing - 5000,"",true
100007,2nd Side Printing,"",true
100007,4410 Backer Card Imprint,"",true
100007,9x6 Blank Envelopes,"",true
100007,Add UV Coating - Outside Booklet Cover,"",true
100007,Add UV Coating - Side 1 - 11x17,"",true
100007,Add UV Coating - Side 1 - 5.25x8.5,"",true
100007,Add UV Coating - Side 1 - 8.5x11,"",true
100007,Add UV Coating - Side 2 - 10 out,"",true
100007,Add UV Coating - Side 2 - 11x17,"",true
100007,Add UV Coating - Side 2 - 3 out,"",true
100007,Add UV Coating - Side 2 - 4 out,"",true
100007,Add UV Coating - Side 2 - 5.25x8.5,"",true
100007,Add UV Coating - Side 2 - 6 out,"",true
100007,Add UV Coating - Side 2 - 8 out,"",true
100007,Add UV Coating - Side 2 - 8.5x11,"",true
100007,Add UV Coating to 2nd Side,"",true
100007,Additional Pages in increments of 4 (Base product has 8),"",true
