supplier_name,imprint_method,name,display_name,pantone,hex
"Evans Manufacturing, Inc.",Screen Print,Black,,426,#25282B
"Evans Manufacturing, Inc.",Screen Print,White,,000,#FFFFFF
"Evans Manufacturing, Inc.",Screen Print,Ivory,,7527,#d6d2c4
"Evans Manufacturing, Inc.",Screen Print,Yellow,,123 C,#ffc72c
"Evans Manufacturing, Inc.",Screen Print,Orange,,166 C,#e35205
"Evans Manufacturing, Inc.",Screen Print,Red,,186 C,#c8102e
"Evans Manufacturing, Inc.",Screen Print,Burgundy,,202 C,#862633
"Evans Manufacturing, Inc.",Screen Print,Purple,,259 C,#6d2077
"Evans Manufacturing, Inc.",Screen Print,Dark Blue,,289 C,#0c2340
"Evans Manufacturing, Inc.",Screen Print,Process Blue,,307 C,#0085ca
"Evans Manufacturing, Inc.",Screen Print,Green,,343 C,#00843d
"Evans Manufacturing, Inc.",Screen Print,Teal,,3278 C,#009b77
"Evans Manufacturing, Inc.",Screen Print,Brown,,476 C,#4e3629
"Evans Manufacturing, Inc.",Screen Print,Gold,,872 C,#85714d
"Evans Manufacturing, Inc.",Screen Print,Silver,,877 C,#8a8d8f
"Evans Manufacturing, Inc.",Screen Print,Pink,,189 C,#f8a3bc
"Evans Manufacturing, Inc.",Screen Print,Black,Black,426,#25282B
"Evans Manufacturing, Inc.",Screen Print,White,White,0,#FFFFFF
"Evans Manufacturing, Inc.",Screen Print,Ivory,Ivory ,7527,#d6d2c4
"Evans Manufacturing, Inc.",Screen Print,Grey,Grey ,Cool Gray 10,#63666a
"Evans Manufacturing, Inc.",Screen Print,Yellow,Yellow,Yellow C,#fedd00
"Evans Manufacturing, Inc.",Screen Print,Orange,Orange,PMS 021,#FF9933
"Evans Manufacturing, Inc.",Screen Print,Red,Red,186 C,#c8102e
"Evans Manufacturing, Inc.",Screen Print,Burgundy,Burgundy,202 C,#862633
"Evans Manufacturing, Inc.",Screen Print,Purple,Purple,259 C,#6d2077
"Evans Manufacturing, Inc.",Screen Print,Royal Blue,Royal Blue,Reflex Blue C,#001489
"Evans Manufacturing, Inc.",Screen Print,Dark Blue,Dark Blue,289 C,#0c2340
"Evans Manufacturing, Inc.",Screen Print,Process Blue,Process Blue,Process Blue,#0085ca
"Evans Manufacturing, Inc.",Screen Print,Dark Green,Dark Green,336 C,#00664f
"Evans Manufacturing, Inc.",Screen Print,Green,Green,343 C,#00843d
"Evans Manufacturing, Inc.",Screen Print,Teal,Teal,321 C,#008c95
"Evans Manufacturing, Inc.",Screen Print,Brown,Brown,476 C,#4e3629
"Evans Manufacturing, Inc.",Screen Print,Gold,Gold,872 C,#85714d
"Evans Manufacturing, Inc.",Screen Print,Silver,Silver,877 C,#8a8d8f
