name,pantone,hex,display_name
Turquoise,PMS 320,#009999,
Rhodamine Red,PMS 225,#FF3399,
Lime,PMS 375,#99FF66,
Kelly Green,PMS 354,#00CC00,
Forest Green,PMS 349,#006633,
Charcoal,PMS 432,#666666,
Carolina Blue,PMS 284,#66CCFF,
Beige,PMS 467,#FFCC99,
Basketball Orange,PMS 158,#FF9900,
Athletic Gold,PMS 123,#FFCC33,
Yellow,123 C,#ffc72c,
Orange,166 C,#e35205,
Burgundy,202 C,#862633,
Royal Blue,286 C,#0033a0,
Yellow,Yellow C,#fedd00,
Gold,123 C,#ffc72c,
Orange,1495 C,#ff8f1c,
Maroon,202 C,#862633,
Pink,Rhodamine,#e10098,
Royal Blue,Reflex Blue C,#001489,
Navy Blue,281 C,#00205b,
Process Blue,Process Blue,#0085ca,
Teal,321 C,#008c95,
Green,348 C,#00843d,
Dark Green,336 C,#00664f,
Brown,498 C,#00664f,
Orange,21 C,#fe5000,
black,black,#000000,
Black,black,#000000,
Brown,Brown,#a52a2a,
Burgundy,Burgundy,#8C001A,
Dark Blue,Dark Blue,#00239c,
Dark Gray,Dark Gray,#a9a9a9,
Gold,Gold,#ffc72c,
Green,Green,#00ab84,
Ivory,Ivory,#FFFFF0,
Light Gray,Light Gray,#d3d3d3,
Light Teal,Light Teal,#008080,
Orange,Orange,#fe5000,
Pink,Pink,#d62598,
Process Blue,Process Blue,#0085ca,
Purple,Purple,#bb29bb,
Red,Red,#ef3340,
Silver,Silver,#8a8d8f,
Teal,Teal,#006060,
white,white,#FFFFFF,
White,White,#FFFFFF,
Yellow,Yellow,#fedd00,
Red-Scarlet,,,
Ivory,7527,#d6d2c4,Ivory 
PMS 877 Silver,,,
PMS 876 Copper,,,
PMS 872 Gold,,,
PMS 478 Brown,,,
PMS 431 Dark Gray,,,
PMS 429 Light Gray,,,
PMS 348 Green,,,
PMS 322 Light Teal,,,
PMS 316 Teal,,,
PMS 293 Blue,,,
PMS 282 Dark Blue,,,
PMS 266 Purple,,,
PMS 231 Pink,,,
PMS 222 Burgundy,,,
PMS 186 Red,,,
PMS 155 Ivory,,,
PMS 021 Orange,,,
PMS 012 Yellow,,,
Laser Silver,,,
PMS Match,,,
Magenta,,,
Cream,,,
Burnt Orange,,,
Lemon,,,
1 TO 6 Lines,,,
Yellow PMS 012,,,
Teal PMS 320,,,
Royal Blue PMS 293,,,
Purple PMS 266,,,
Orange PMS 021,,,
Turquoise (PMS 320),PMS 320,#009ca6,Turquoise
Royal Blue (PMS 293),293 C,#003da5,Royal Blue
Yellow (Pantone Yellow),Yellow,#fedd00,Yellow
Rhodamine Red (PMS 225),225 C ,#df1995,Rhodamine Red
Red,186 C,#c8102e,Red
Orange (PMS 021),021 C,#fe5000,Orange
Navy Blue (PMS 289),289 C,#0c2340,Navy Blue
Metallic Silver (PMS 877),877 C,#8a8d8f,Metallic Silver
Metallic Gold (PMS 871),871 C,#84754e,Metallic Gold
Maroon (PMS 202),202 C,#862633,Maroon
Lime (PMS 375),375 C,#97d700,Lime
Kelly Green (PMS 354),354 C,#00b140,Kelly Green 
Violet,Violet C,#440099,Violet
Forest Green (PMS 349),349 C,#046a38,Forest Green
Charcoal (PMS 432),432 C,#333f48,Charcoal
Carolina Blue (PMS 284),284 C,#6cace4,Carolina Blue
Black,426,#25282B,Black
Metallic Silver,PMS 877,#999999,Metallic Silver
Grey,Cool Gray 10,#63666a,Grey 
Lime Green,375 C,#97d700,Lime Green
Warm Red,485 C,#da291c,Warm Red
Burgundy,202 C,#862633,Burgundy
Purple,259 C,#6d2077,Purple
