slug,display_name,imprint_method
black,"Black",all
blue289,"Navy Blue",all
process_blue,"Process Blue",all
reflex_blue,"Reflex Blue",all
brown161,"Brown",all
red300,"Burgandy",all
gold123,"Gold",all
gold874,"Gold",all
gray430,"Gray",all
green357,"Green",all
green354,"Green",all
red202,"Maroon",all
orange021,"Orange",all
pink210,"Pink",all
violet,"Violet",all
red186,"Red",all
rhodamine,"Rhodamine",all
rubine,"Rubine",all
warmred,"Warm Red",all
silver877,"Silver",all
green320,"Teal",all
white,"White",all
yellow116,"Yellow",all
black,"Black","Screen Print"
blue289,"Navy Blue","Screen Print"
process_blue,"Process Blue","Screen Print"
reflex_blue,"Reflex Blue","Screen Print"
brown161,"Brown","Screen Print"
red300,"Burgandy","Screen Print"
gold123,"Gold","Screen Print"
gold874,"Gold","Screen Print"
gray430,"Gray","Screen Print"
green357,"Green","Screen Print"
green354,"Green","Screen Print"
red202,"Maroon","Screen Print"
orange021,"Orange","Screen Print"
pink210,"Pink","Screen Print"
violet,"Violet","Screen Print"
red186,"Red","Screen Print"
rhodamine,"Rhodamine","Screen Print"
rubine,"Rubine","Screen Print"
warmred,"Warm Red","Screen Print"
silver877,"Silver","Screen Print"
green320,"Teal","Screen Print"
white,"White","Screen Print"
yellow116,"Yellow","Screen Print"
