Item Number,Qty 1,Price Code,USD Price Blanks,
HL-102," 	2,500 ",C,0.68,
HL-104, 	125 ,C,1.13,
HL-105, 	125 ,C,0.81,
HL-105C, 	125 ,C,1.17,
HL-105DP, 	250 ,C,1.58,
HL-106, 	125 ,C,1.22,
HL-107, 	125 ,C,1.49,
HL-110, 	125 ,C,0.59,
HL-124, 	125 ,C,1.22,
HL-126, 	125 ,C,1.44,
HL-127, 	125 ,C,1.67,
HL-147, 	125 ,C,1.31,
HL-16, 	125 ,C,1.03,
HL-16DP, 	500 ,C,1.58,
HL-16NW, 	125 ,C,0.99,
HL-22, 	125 ,C,1.08,
HL-220, 	125 ,C,1.28,
HL-28, 	125 ,C,1.19,
HL-30, 	125 ,C,0.40,
HL-300, 	125 ,C,1.37,
HL-304, 	125 ,C,1.79,
HL-305, 	125 ,C,2.39,
HL-306, 	125 ,C,3.60,
HL-308, 	125 ,C,1.16,
HL-309, 	125 ,C,1.62,
HL-310, 	125 ,C,2.25,
HL-313, 	125 ,C,1.67,
HL-314, 	125 ,C,1.98,
HL-315, 	125 ,C,2.97,
HL-316, 	125 ,C,1.84,
HL-317, 	125 ,C,0.99,
HL-32, 	125 ,C,1.15,
HL-325, 	125 ,C,0.72,
HL-32DP, 	500 ,C,1.67,
HL-32NW, 	125 ,C,1.11,
HL-330, 	125 ,C,1.58,
HL-331, 	50 ,C,0.81,
HL-334, 	50 ,C,0.86,
HL-335, 	50 ,C,0.72,
HL-340, 	50 ,C,1.07,
HL-341, 	50 ,C,1.04,
HL-342, 	50 ,C,0.99,
HL-343, 	50 ,C,1.26,
HL-347, 	50 ,C,1.89,
HL-348, 	50 ,C,0.79,
HL-350, 	50 ,C,0.95,
HL-352, 	50 ,C,1.08,
HL-358, 	50 ,C,0.70,
HL-360, 	50 ,C,2.34,
HL-361, 	50 ,C,0.90,
HL-362, 	50 ,C,1.22,
HL-363, 	50 ,C,0.88,
HL-364, 	50 ,C,0.95,
HL-365, 	50 ,C,1.31,
HL-368, 	50 ,C,2.30,
HL-370B, 	50 ,C,4.46,
HL-370F, 	50 ,C,4.46,
HL-371B, 	50 ,C,4.59,
HL-371F, 	50 ,C,4.59,
HL-38, 	125 ,C,0.59,
HL-380, 	50 ,C,1.31,
HL-381, 	50 ,C,1.62,
HL-382, 	50 ,C,1.35,
HL-385, 	50 ,C,0.79,
HL-386, 	50 ,C,0.98,
HL-40, 	125 ,C,1.19,
HL-405, 	50 ,C,3.47,
HL-43, 	125 ,C,1.19,
HL-44, 	125 ,C,0.86,
HL-46, 	125 ,C,1.26,
HL-50, 	125 ,C,0.68,
HL-500, 	125 ,C,0.47,
HL-501, 	125 ,C,0.53,
HL-502, 	125 ,C,0.59,
HL-503, 	125 ,C,0.61,
HL-504, 	125 ,C,0.59,
HL-506, 	125 ,C,0.36,
HL-511, 	125 ,C,0.47,
HL-513, 	125 ,C,0.45,
