Item# (SKU),Item Name,Catalog Page,Imprint Area,Product Description,Price Includes,Imprint Method 1,Imprint Method 2,Shipping Weight (lbs),Shipping Quantity,Shipping Dimensions (inch),Packaging,Additional Info,Pricing-Qty1,Pricing-Qty2,Pricing-Qty3,Pricing-Qty4,Pricing-Qty5,Pricing-Price1,Pricing-Price2,Pricing-Price3,Pricing-Price4,Pricing-Price5,Pricing-Code1,Pricing-Code2,Pricing-Code3,Pricing-Code4,Pricing-Code5,Available Colors,Product Categories,Related Products,Search Keywords
10CONTAP_CL,10ft. Contractor Tape Measure - Closeout,,"1-1/8""h x 1-1/8""w","10ft. retractable metal tape measure with belt clip and locking mechanism.    Actual size is 2-3/4""h x 2-1/4""w.    Individually boxed.",One color imprint.,Silkscreen,,,,,Individually boxed.,This item requires an additional one day production time.,,,,,,,,,,,,,,,,YELLOW,Tools,"HATCHBAG, CHRO12PK, DRYITTWL, SNGLSCPM, TIREGE, TIRGEKYC, UNDPRKLT, ELRYKYLT, FLPNCHG, MTYBRITE, DESINTMB, WONMAT, GADGTLLT, FACILTP, TRA9LED, VISTSLNG, LGTUPLYD, RETRAKYR, CARASTRP, BARBRTLT, BAYCLTOT, BIGISTPN, CLRTOTBG, DRENBTL, FITNFAB, METPBKSK, SALN",
11CAFECR,11oz. Cafe Mug,61,"2-3/4""h x 2-3/4""w each side or 2-3/4""h x 6-1/2""w wrap",Economical ceramic mug.    Comfortable C-handle.    Individually polybagged.    Egg crate packaging.,One color imprint.,Silkscreen,,29,36,12L x 16W x 11H,Egg crate packaging. Individually polybagged.,Must add  6.25 G  per case of 36 for damage-resistant boxes. All partial case quantities will be automatically rounded to the nearest case amount without notification.,144,288,576,1008,2016,2.59,2.49,2.35,2.09,1.99,C,C,C,C,C,"Red, Cobalt Blue, Black, Hunter Green",Drinkware,"6PKTPATH, 9TEDVPKL, MAGNACLP, CAMOKONE, CACHEPRO, PICNIC, BASEBL, EXMANPNC, CAMOFL, BEACHNIK, DRAWBKSK, CERENJR, BIKEBTLC, BCOKC, SILVHIGH, 6IN1, STAR, HNDWARM, IRWINEXE, BSKTBL, CLENFTBT, BEVRCDCM, SHOEBAG, INFUSER, BRANDCHG, SLKPEN, OXFRDJOT, CFLYER, BE","ceramic, c handle mug, 11oz mug, white mug"
11CAFEMG,11oz. Cafe Mug,61,"2-3/4""h x 2-3/4""w each side or 2-3/4""h x 6-1/2""w wrap",Economical ceramic mug.    Comfortable C-handle.    Individually polybagged.    Egg crate packaging.,One color imprint.,Silkscreen,,32,36,13L x 19W x 15H,Egg crate packaging. Individually polybagged.,Must add  6.25 G  per case of 36 for damage-resistant boxes. All partial case quantities will be automatically rounded to the nearest case amount without notification.,144,288,576,1008,2016,1.99,1.89,1.75,1.69,1.55,C,C,C,C,C,WHITE,Drinkware,"APROFRNC_CL, APROCHAP_CL, BBLBAU_CL, 6PKBUDGT_CL, CARTATOT_CL, ACTDUFL_CL, CHIBGLAM_CL, HEROHT, 6PKBG_CL, 16VOY_CL, GRPBOLD, HOTSHTGL, FENDUFL_CL, 10CONTAP_CL, NEOCLONE, GETFITDF, STKPONKT, JAVAMUG_CL, BIKEBTLC, CAMOKLR, 11CAFECR, LAZERBTL, THMGOBTL, ACTS","c handle mug, 11oz mug, classic, mug, economical, ceramic, vote"
12BISTRO,Bistro Mug,59,"1-1/2""h x 2""w each side  or  1-1/2""h x 6-1/2""w wrap",12oz. ceramic mug with matching ceramic spoon.    Individually polybagged.    Spoons packaged separately.    Egg crate packaging.,One color imprint.,Silkscreen,,31,36,19L x 15W x 13H,Egg crate packaging. Individually polybagged.,1. Must add  6.25 G  per case of 36 for damage-resistant boxes. All partial case quantities will be automatically rounded to the nearest case amount without notification.  2. No two mugs are exactly the same because they are hand painted. We consider this,144,288,576,720,1152,3.39,3.29,3.19,3.09,2.99,C,C,C,C,C,"BLACK/TURQUOISE, BLACK/LIME, BLACK/RED, WHITE/BLUE, WHITE/RED, BLACK/WHITE, REFLEX BLUE/WHITE, WHITE/WHITE",Drinkware,"APPLE, 12PKCAMO, 20INLET, GRPBOLD, NEOFLAT, SILISHOT, SODATRIT, TOGOTMB, UNOCCLR, SIPNSTYL, DESKBOX, GOLFTOWL, GSRVTQSR, MINIDESK, MTYBRITE, PNPALNBK, PNPXLNB, QUADCANV, VWINOPN, BEACHNIK, BBUY, BCOKC, BANDITBK, 6PKTPATH, 5TEDVPKL, ALOHAPN, 25CONTAP, ADVE","mug with spoon, 12oz mug, bistro, matching spoon"
12GRPNGO,12oz. Grip N Go,30,"2-1/2""h x 3""w each side or 2-1/2""h x 7-1/2""w wrap.",BPA Free!    PolyPro cup with solid colored drink thru lid and black rubber bottom.    Double wall insulated.,One color imprint,Silkscreen,,12,36,23L x 12W x 13H,,"US Patent D675,524. Other patent pending.",72,144,288,576,1152,3.79,3.63,3.45,3.29,2.99,C,C,C,C,C,"BLACK, BLUE, RED, ORANGE, PINK, HUNTER GREEN",Drinkware,"PADPOD, PARSNYPN, CHRODLUX, CHROM6PK, DIXIJAR, DRAWBKSK, SILBRACD, COLKKLR, BREAKER, CAMOBKSK, CHIBGLAM, BASEBL, AUDIOEB, COPERCSE, BANDITBK, BERMDAEX, BDGBLANK, CALKBLK, PIGGYBNK, ATHENAPN, CACHEONY, CACHEPN, CACHONPR, CALIOPN, CALIOPRO, CARNVPRO, CARNVP","tangerinetango, poly pro cup, paper cup, lid, drink thru lid, double wall insulated, cup, solid color lid, colorful, bpa free, black rubber bottom, beverage"
12ORBTMB,12oz. Orbit Tumbler,21,"2""h x 3""w one side  or  2""h x 8""w wrap",BPA Free!    Double wall insulated acrylic tumbler.    Lid included in color of choice.,One color imprint.,Silkscreen,,9,24,6L x 22W x 15H,,1. Non-microwavable.  2. For cold or hot beverages.  3. One side imprint recommended.  4. Specify tumbler color and lid color on PO.,72,144,288,576,1008,5.29,4.98,4.74,4.39,3.99,C,C,C,C,C,CLEAR,Drinkware,"MINIATH, MINWNDFL, SPRINTSS, LAZERBTL, ENDUTRIT, CARYTMB, PERFRBTL, SHAKITUP, WATMEDPC, SUNTOT, CRSCALJR, CLPSLNCH, CLRTOTBG, ZGZGBKSK, REEFBKSK, STADBLKT, WALLTOTE, CHRODLUX, INSHPTOT, CARRYCLR, SILBRACP, LUGSPTOR, CFLYER, MAGNAJMB, DIVOTFXR, MAGNACLP, G","orbit,  orbspecial, double wall insulated, bpa free, acrylic tumbler, solid color lid"
12PKBG,12 Pack Cooler Bag,205,"3""h x 5""w","Holds 12 bottles or cans.    Back mesh pocket.    6""h x 8-1/2""w front zip pocket.    Strap adjusts to 44"".    Actual size is 11""h x 10""w x 6-1/4""d.",One color imprint.,Silkscreen,,30,40,17L x 23W x 29H,Bulk,,50,100,250,500,1000,8.89,8.49,8.19,7.79,7.49,C,C,C,C,C,"BLUE, GREEN, RED",Coolers,"16VOY_CL, 6PKBG_CL, CLPSLNCH, CLRTOTBG, CTYCLRKT, SILBRACD, COLKKLR, CARRYON, BASEBL, CLPCPHAN, AUDIOEB, BARTPEN, BNDYBRT, CALLCASH, COPERCSE, BERMDAEX, BDGBLANK, BMBONBK, CALKBLK, CALKTC, PIGGYBNK, ATHENAPN, BABELIPN, CACHEONY, CACHEPN, CACHONPR, CALIOPN","zippered, thick, zipper, strap, pocket, handle, adjustable, lunch, bottles, mesh, cooler, 12, zip"
12PKCAMO,12 Pack Camo Cooler Bag,209,"3-1/2""h x 5""w","New camo pattern!    600D camouflage material with silver PEVA lining  and heat sealed.    38"" adjustable black webb strap and front slip pocket.    Actual size 11""h x 8""w x 6""d.",One color imprint.,Silkscreen,,28,50,16L x 24W x 15H,,Please note that this camo is different from our 2014 catalog. The camo pattern is lighter.,50,100,250,500,1000,8.99,8.59,8.29,7.89,7.59,C,C,C,C,C,CAMO,Coolers,"17OUTBK, 16FREFAC, ALCHCMBO, 16CORTMB, 6PKTPATH, 18HYFLAT, 16GRPNGO, 20FRSTBB, 20DWREV, 24REVOTL, 24REVNEO, 16CORMUG, 12GRPNGO, 20STD2GO, ARROW, 28BLEBTL, ALOHAPN, ACTSPBTL, 22GRPNGO, 16SATMUG, 16KARTMB, 20FLATFL, 16SATTMB, 27FLPFRE, 28TALNCL, 25CONTAP, A","peva, lunch, handle, 12, camo, cooler, lined, pocket, zip, zipper"
14ECONMG,14oz. Economy Stainless Steel Mug,57,"2-1/2""h x 3""w each side or 2-1/2""h x 8""w wrap",BPA Free!    Double wall insulated.    Plastic liner.,One color imprint.,Silkscreen,,20,36,21L x 12W x 19H,,1. This item requires an additional one day production time.    2. Non-microwavable.,72,144,288,576,1152,4.59,4.45,4.19,3.99,3.79,C,C,C,C,C,"BLUE, STAINLESS",Drinkware,"MTYBRITE, MINISTKY, MINIATH, MINWNDFL, SPRINTSS, STYLITE, PERFRBTL, CLPSLNCH, CTYCLRKT, FLPNCHG, WATMEDPC, FLIPPORT, MEDIALNG, PNKYHY, SOLARPN, UNIUSB, CLRTOTBG, GLOBE, HEARTRE, ONGOSANT, FLOS2GO, BELMSTPN, CORDKPR, BEVRCDCM, BUBKEG, CLRBLKBK, COMMTOT, DR","automobile, bpa free, plastic liner, plastic, mug, gauge, stainless steel, double wall insultated, cup, approved"
14FLATSN,14oz. Flat Snap Bottle,42,"2-1/2""h x 2-1/2""w one side",BPA Free!    Foldable bottle with snap closure and carabiner.    Push pull and tethered cap.    Easy to fold plastic for storage and travel.,One color imprint.,Silkscreen,,15,200,22L x 19W x 11H,,1. Volume and shape of bottle varies according to contents.  2. Not intended for hot beverages.  3. Carabiner not intended for climbing.,150,250,500,1000,2500,2.59,2.49,2.35,2.19,1.99,C,C,C,C,C,"RED, WHITE, ROYAL",Drinkware,"BARBRTLT, 2DRINKWP, 2DRINKEM, BOMBTSK, BAYCLTOT, CANDLELT, ARROW, CARASTRP, 20INLET, 12PKCAMO, 2HANSAN, APPLE, BARTPEN, CLASSTRAV, CARRYON, BABELIPN, CANUSAVE, BMBONBK, CALLCASH, BNDYBRT, AEROBKSK, ALBCOKC, 5TEDVPKL, ADVENBPK, 6PKTPATH, ARROWCLP, BELMSTPN","flat bottle, foldable, push pull lid, snap closure, tethered cap, easy to fold, drink, bpa free"
