Item# (SKU),Item Name,Special Name,Sale?,Sale Qty,Sale Price,Sale Code,Sale Expires
10CONTAP_CL,10ft. Contractor Tape Measure - Closeout,Closeouts,Y,100,2.24,C,
11CAFECR,11oz. Cafe Mug,Best Sellers,Y,144,1.99,C,
11CAFEMG,11oz. Cafe Mug,Always Available,,,0,,
11CAFEMG,11oz. Cafe Mug,Best Sellers,Y,144,1.55,C,
12BISTRO,Bistro Mug,Best Sellers,Y,144,2.99,C,
12GRPNGO,12oz. Grip N Go,Exclusives,,,0,,
12GRPNGO,12oz. Grip N Go,Best Sellers,Y,72,2.99,C,
12ORBTMB,12oz. Orbit Tumbler,Color Surge,,,0,,
12ORBTMB,12oz. Orbit Tumbler,Best Sellers,Y,72,3.99,C,
12PKBG,12 Pack Cooler Bag,Color Surge,,,0,,
12PKBG,12 Pack Cooler Bag,Best Sellers,Y,50,7.49,C,
12PKCAMO,12 Pack Camo Cooler Bag,Color Surge,,,0,,
14ECONMG,14oz. Economy Stainless Steel Mug,Best Sellers,Y,72,3.79,C,
14FLATSN,14oz. Flat Snap Bottle,Exclusives,,,0,,
14PATTMB,14oz. Patriot Tumbler,Best Sellers,Y,72,3.89,C,
15ORBTMG,15oz. Orbit Mug,Exclusives,,,0,,
15ORBTMG,15oz. Orbit Mug,Color Surge,,,0,,
15ORBTMG,15oz. Orbit Mug,Best Sellers,Y,72,4.99,C,
16CORCLR,16oz. Cornado Tumbler,Best Sellers,Y,72,3.99,C,
16CORMUG,16oz. Cornado Mug,Best Sellers,Y,72,4.29,C,
16CORTMB,16oz. Cornado Tumbler,Always Available,,,0,,
16CORTMB,16oz. Cornado Tumbler,Best Sellers,Y,72,3.89,C,
16FRE2GO,16oz. Free 2 Go Tumbler,USA Made,,,0,,
16FRE2GO,16oz. Free 2 Go Tumbler,Best Sellers,Y,180,2.09,C,
16FREDOM,16oz. Freedom Tumbler,Always Available,,,0,,
16FREDOM,16oz. Freedom Tumbler,Color Surge,,,0,,
16FREDOM,16oz. Freedom Tumbler,Best Sellers,Y,72,2.99,C,
16FREFAC,16oz. Freedom Facet Tumbler,Color Surge,,,0,,
16FREFAC,16oz. Freedom Facet Tumbler,Best Sellers,Y,72,3.79,C,
16FREFAC_CL,16oz. Freedom Facet Tumbler - Closeout,Closeouts,Y,72,2.99,C,
16FREONE,16oz. Freedom One Tumbler,Exclusives,,,0,,
16FREONE,16oz. Freedom One Tumbler,Color Surge,,,0,,
16FREONE,16oz. Freedom One Tumbler,Best Sellers,Y,120,2.79,C,
16FREONE_CL,16oz. Freedom One Tumbler - Closeout,Closeouts,Y,120,2.23,C,
16GRPNGO,16oz Grip N Go Grande,Exclusives,,,0,,
16GRPNGO,16oz Grip N Go Grande,Always Available,,,0,,
16GRPNGO,16oz Grip N Go Grande,Best Sellers,Y,72,3.79,C,
16GRPSS,16oz Grip N Go Stainless Tumbler,Exclusives,,,0,,
16JAMOCA,16oz. Jamocha Mug,Best Sellers,Y,144,2.85,C,
16JYMUG,16oz. Journey Mug,USA Made,,,0,,
16JYMUG,16oz. Journey Mug,Best Sellers,Y,144,2.79,C,
16KARTMB,16oz. Karma Tumbler,Best Sellers,Y,90,3.85,C,
16ORBTMB,16oz. Orbit Tumbler,Always Available,,,0,,
16ORBTMB,16oz. Orbit Tumbler,Color Surge,,,0,,
16SATMUG,16oz. Saturn Mug,Best Sellers,Y,72,4.89,C,
16SATTMB,16oz. Saturn Tumbler,Best Sellers,Y,72,4.59,C,
16SUPRDM_CL,16oz. Super Dome Tumbler - Closeout,Closeouts,Y,72,4.11,C,
16VOY_CL,16oz. Voyager Mug - Closeout,Closeouts,Y,144,2.79,C,
17GEOBTL,17oz. Geo Aluminum Bottle,Best Sellers,Y,150,3.09,C,
17OUTBK,17oz. Outback Bottle,Best Sellers,Y,100,3.99,C,
17OUTBK_CL,17oz. Outback Bottle - Closeout,Closeouts,Y,100,2.79,C,
18FLPFRE,18oz. Flip Top Freedom Tumbler,Exclusives,,,0,,
18FLPFRE,18oz. Flip Top Freedom Tumbler,Color Surge,,,0,,
18FLPFRE,18oz. Flip Top Freedom Tumbler,Best Sellers,Y,72,4.99,C,
18HYFLAT,18oz. Hydra Flat Bottle,Exclusives,,,0,,
18HYFLAT,18oz. Hydra Flat Bottle,Always Available,,,0,,
18HYFLAT,18oz. Hydra Flat Bottle,Best Sellers,Y,150,2.39,C,
20DWREV,20oz. Double Wall Revolution Tumbler,Exclusives,,,0,,
20DWREV_CL,20oz. Double Wall Revolution Tumbler - Closeout,Closeouts,Y,72,4.66,C,
20FLATFL,20oz. Flat Foldable Bottle,Exclusives,,,0,,
20FLATFL,20oz. Flat Foldable Bottle,Best Sellers,Y,150,2.19,C,
20FRSTBB,20oz. Sport Bottle,EcoLogic,,,0,,
20FRSTBB,20oz. Sport Bottle,USA Made,,,0,,
20FRSTBB,20oz. Sport Bottle,Best Sellers,Y,300,1.19,C,
20INLET,20oz. Inlet Bottle - Closeout,Closeouts,Y,100,3.39,C,
20NEONSS_CL,20oz. Neon Super Sipper - Closeout,Closeouts,Y,200,1.61,C,
20STD2GO,20oz. Stadium 2 Go,Color Surge,,,0,,
20STD2GO,20oz. Stadium 2 Go,Best Sellers,Y,500,1.45,C,
20TINTBB,20oz. Sport Bottle,EcoLogic,,,0,,
20TINTBB,20oz. Sport Bottle,USA Made,,,0,,
20TINTBB,20oz. Sport Bottle,Best Sellers,Y,300,1.19,C,
22FREDOM,22oz. Freedom Tumbler,Color Surge,,,0,,
22FREDOM,22oz. Freedom Tumbler,Best Sellers,Y,72,4.49,C,
22FREDOM_CL,22oz. Freedom Tumbler - Closeout,Closeouts,Y,72,3.72,C,
22GRPNGO,22oz. Grip N Go Grande,Exclusives,,,0,,
22GRPNGO,22oz. Grip N Go Grande,Best Sellers,Y,72,4.89,C,
22IM_CL,22oz. Insulated Mug - Closeout,Closeouts,Y,168,2.99,C,
24AERIAL,24oz Aerial Tritan  Bottle,Best Sellers,Y,100,4.99,C,
24ORBTMB,24oz. Orbit Tumbler with Lid,Color Surge,,,0,,
24REVNEO,24oz Revolution Tumbler,Exclusives,,,0,,
24REVNEO,24oz Revolution Tumbler,Always Available,,,0,,
24REVNEO,24oz Revolution Tumbler,Best Sellers,Y,72,4.49,C,
24REVOTL,24oz Revolution Tumbler,Exclusives,,,0,,
24REVOTL,24oz Revolution Tumbler,Always Available,,,0,,
24REVOTL,24oz Revolution Tumbler,Best Sellers,Y,72,4.49,C,
25CONTAP,25ft. Contractor Tape Measure,Best Sellers,Y,50,4.99,C,
25QUEST_CL,25oz. Quest Bottle - Closeout,Closeouts,Y,100,2.99,C,
27FLPFRE,27oz. Flip Top Freedom Tumbler,Exclusives,,,0,,
27FLPFRE,27oz. Flip Top Freedom Tumbler,Color Surge,,,0,,
27FLPFRE,27oz. Flip Top Freedom Tumbler,Best Sellers,Y,72,5.49,C,
28BLEBTL,BlenderBottle  Classic  - 28oz.,New Products,,,0,,
28BLEBTL,BlenderBottle  Classic  - 28oz.,Color Surge,,,0,,
28TALNCL,28oz. Tall N Cool Bottle,USA Made,,,0,,
28TALNCL,28oz. Tall N Cool Bottle,Best Sellers,Y,200,2.19,C,
2DRINKEM,Custom 2drink Embossed,New Products,,,0,,
2DRINKWP,Custom 2drink Full Color Wrap,New Products,,,0,,
2HANSAN,2oz. Hand Sanitizer,USA Made,,,0,,
30POLYCL,30oz. Poly-Cool Bottle,USA Made,,,0,,
30POLYCL,30oz. Poly-Cool Bottle,Best Sellers,Y,200,2.39,C,
34BUBTVL,34oz. bubba  Travel Keg,Exclusives,,,0,,
5TEEPKL,Long Golf Tee Packs,Under  1,,,0,,
6IN1,6-in-1 Tool Kit,Color Surge,,,0,,
6IN1,6-in-1 Tool Kit,Best Sellers,Y,150,1.99,C,
6PKBG,6 Pack Cooler Bag,Always Available,,,0,,
6PKBG,6 Pack Cooler Bag,Color Surge,,,0,,
6PKBG,6 Pack Cooler Bag,Best Sellers,Y,100,3.49,C,
6PKBG_CL,6 Pack Cooler Bag - Closeout,Closeouts,Y,100,3.49,C,
6PKBUDGT_CL,Fit Your Budget 6 Pack - Closeout,Closeouts,Y,150,1.79,C,
6PKCLBCL,6 Pack Color Block Cooler,Color Surge,,,0,,
6PKWAVE,6 Pack Wave Cooler,Color Surge,,,0,,
6PKWAVE,6 Pack Wave Cooler,Best Sellers,Y,50,5.49,C,
ACTDUFL_CL,Action Duffel Bag - Closeout,Closeouts,Y,25,9.89,C,
ACTSPBTL,26oz. Active Sport Tritan  Bottle,Color Surge,,,0,,
ADVENBPK,Adventure Drawstring Back Pack,Color Surge,,,0,,
AEROBKSK,Aero Non-Woven Backsack,Color Surge,,,0,,
AEROBKSK,Aero Non-Woven Backsack,Best Sellers,Y,150,1.39,C,
ALBCOKC,Aluminum Bottle Opener,Under  1,,,0,,
ALBCOKC,Aluminum Bottle Opener,Best Sellers,Y,250,0.95,C,
ALBCOKC_CL,Aluminum Bottle Opener - Closeout,Closeouts,Y,250,0.61,C,
ALCHMYPN,Alchemy Pen,Always Available,,,0,,
ALCHMYPN,Alchemy Pen,Under  1,,,0,,
ALCHMYPN,Alchemy Pen,Best Sellers,Y,500,0.69,C,
ALOHAPN,Aloha Pen,Under  1,,,0,,
ALOHAPN,Aloha Pen,Best Sellers,Y,500,0.49,C,
APPLE,Apple Shaped Stress Reliever,Under  1,,,0,,
APPLE,Apple Shaped Stress Reliever,Best Sellers,Y,250,0.99,C,
APROCHAP_CL,Chappie Apron - Closeout,Closeouts,Y,150,1.79,C,
APROFRNC_CL,Frenchie Apron,Closeouts,Y,150,1.99,C,
ARROW,Arrow Shaped Stress Reliever,Best Sellers,Y,250,1.35,C,
ARROWCLP,Arrow Clip,Under  1,,,0,,
ARROWCLP,Arrow Clip,Color Surge,,,0,,
ARROWCLP,Arrow Clip,Best Sellers,Y,500,0.55,C,
ARROWCLP_CL,Arrow Clip - Closeout,Closeouts,Y,500,0.49,C,
ASTRAT_CL,Astra Pen - Closeout,Closeouts,Y,500,0.43,C,
ASTRA_CL,Astra Pen - Closeout,Closeouts,Y,500,0.43,C,
ATHENAPN,Athena Pen,Best Sellers,Y,250,1.29,C,
AUDIOEB,Audio Earbuds,Color Surge,,,0,,
AUDIOEB,Audio Earbuds,Best Sellers,Y,100,2.89,C,
AUGUSPEN_CL,Augustine Pen - Closeout,Closeouts,Y,150,1.01,C,
AUTOLNG,Auto Media Lounger,Exclusives,,,0,,
AUTOLNG,Auto Media Lounger,Color Surge,,,0,,
AUTOLNG,Auto Media Lounger,Best Sellers,Y,150,1.69,C,
AUTORGZ_CL,Auto Organizer - Closeout,Closeouts,Y,100,3.14,C,
BABBUBKG,20oz. baby bubba  Keg,Exclusives,,,0,,
BABELIPN,Babelini Pen,Always Available,,,0,,
BABELIPN,Babelini Pen,Under  1,,,0,,
BABELIPN,Babelini Pen,Best Sellers,Y,500,0.55,C,
BABELIPN,Babelini Pen,Inkredible Pens,,,0,,
BANDITBK,Band-It Bookmark,Exclusives,,,0,,
BANDITBK,Band-It Bookmark,Under  1,,,0,,
BANGSTX,Banger Styx,Under  1,,,0,,
BARBRTLT,Bar Bright Safety Light,New Products,,,0,,
BASEBL,Baseball Stress Reliever,Under  1,,,0,,
BASEBL,Baseball Stress Reliever,Best Sellers,Y,250,0.89,C,
BAYCLTOT,Bay Cooler Tote,New Products,,,0,,
BAYCLTOT,Bay Cooler Tote,Color Surge,,,0,,
BBLBAU_CL,Bubble Bauble - Closeout,Closeouts,Y,250,1.19,C,
BBUY,Bargain Buy Pencil,Always Available,,,0,,
BBUY,Bargain Buy Pencil,Under  1,,,0,,
BBUY,Bargain Buy Pencil,Best Sellers,Y,1000,0.21,C,
BCKPKCLR,Backpack Cooler Bag,Color Surge,,,0,,
BCKPKCLR,Backpack Cooler Bag,Best Sellers,Y,50,8.99,C,
BCOKC,Bottle/Can Opener Key Chain,Always Available,,,0,,
BCOKC,Bottle/Can Opener Key Chain,Under  1,,,0,,
BCOKC,Bottle/Can Opener Key Chain,Color Surge,,,0,,
BCOKC,Bottle/Can Opener Key Chain,Best Sellers,Y,250,0.59,C,
BDGBLANK,Retractable Badge Holder - Closeout,Closeouts,Y,250,0.49,C,
BEACHNIK,Beach Nik,Exclusives,,,0,,
BELMSTPN,Belmont Stylus Pen,Under  1,,,0,,
BEVRCAD,Beverage Caddy,Color Surge,,,0,,
BEVRCDCM,Beverage Caddy - Camo,Color Surge,,,0,,
BIGISTPN,Biggie Stylus Pen,New Products,,,0,,
BIGISTPN,Biggie Stylus Pen,Under  1,,,0,,
BIGLNGR,The Big Lounger,Color Surge,,,0,,
BIGLNGR,The Big Lounger,Best Sellers,Y,24,16.59,C,
BIKEBTLC,24oz. Bike Bottle,Color Surge,,,0,,
BIKEBTLC,24oz. Bike Bottle,USA Made,,,0,,
BIKEBTLC,24oz. Bike Bottle,Best Sellers,Y,300,1.69,C,
BIKEBTLC_CL,24oz. Bike Bottle - Closeout,Closeouts,Y,300,1.52,C,
BIOCUP,16oz. Stadium Cup,EcoLogic,,,0,,
BIOCUP,16oz. Stadium Cup,Under  1,,,0,,
BIOCUP,16oz. Stadium Cup,Color Surge,,,0,,
BIOCUP,16oz. Stadium Cup,USA Made,,,0,,
BIOCUP,16oz. Stadium Cup,Best Sellers,Y,500,0.79,C,
BLAKEHI,Blakely Highlighter Pen,Under  1,,,0,,
BLAKEHI,Blakely Highlighter Pen,Best Sellers,Y,250,0.99,C,
BNDYBRT,Bendy Bright,New Products,,,0,,
BOMBTSK,Boom Boom Pow,New Products,,,0,,
BREAKER,Breaker Tote Bag,Color Surge,,,0,,
BREAKER,Breaker Tote Bag,Best Sellers,Y,100,3.69,C,
BRZYLNGR,Breezy Lounger,Color Surge,,,0,,
BRZYLNGR,Breezy Lounger,Best Sellers,Y,24,17.99,C,
BSKTBL,Basketball Stress Reliever,Under  1,,,0,,
BSKTBL,Basketball Stress Reliever,Best Sellers,Y,250,0.89,C,
BTLBUDKR_CL,Bottle Buddy - Closeout,Closeouts,Y,250,0.89,C,
BTLCAD,Bottle Caddy,Best Sellers,Y,150,1.99,C,
BUBKEG,52oz. bubba  Keg,Exclusives,,,0,,
BUSCLGTG,Business Card Luggage Tag,Under  1,,,0,,
BUSCLGTG,Business Card Luggage Tag,Color Surge,,,0,,
BUSCLGTG,Business Card Luggage Tag,Best Sellers,Y,250,0.99,C,
CABANAPN,Cabana Pen,Under  1,,,0,,
CABANAPN,Cabana Pen,Best Sellers,Y,500,0.39,C,
CABANAPN_CL,Cabana Pen - Closeout,Closeouts,Y,500,0.31,C,
CACHEONY,Cache Onyx Pen,Always Available,,,0,,
CACHEONY,Cache Onyx Pen,Under  1,,,0,,
CACHEONY,Cache Onyx Pen,Best Sellers,Y,500,0.39,C,
CACHEONY,Cache Onyx Pen,Inkredible Pens,,,0,,
CACHEPN,Cache Pen,Always Available,,,0,,
CACHEPN,Cache Pen,Under  1,,,0,,
CACHEPN,Cache Pen,Best Sellers,Y,500,0.39,C,
CACHEPN,Cache Pen,Inkredible Pens,,,0,,
CACHEPRO,Cache Professional Pen,Always Available,,,0,,
CACHEPRO,Cache Professional Pen,Under  1,,,0,,
CACHEPRO,Cache Professional Pen,Best Sellers,Y,500,0.39,C,
CACHEPRO,Cache Professional Pen,Inkredible Pens,,,0,,
CACHONPR,Cache Onyx Professional Pen,Always Available,,,0,,
CACHONPR,Cache Onyx Professional Pen,Under  1,,,0,,
CACHONPR,Cache Onyx Professional Pen,Best Sellers,Y,500,0.39,C,
CACHONPR,Cache Onyx Professional Pen,Inkredible Pens,,,0,,
CALIOPN,Calliope Pen,Always Available,,,0,,
CALIOPN,Calliope Pen,Under  1,,,0,,
CALIOPN,Calliope Pen,Best Sellers,Y,500,0.29,C,
CALIOPN,Calliope Pen,Inkredible Pens,,,0,,
CALIOPRO,Calliope Professional Pen,Always Available,,,0,,
CALIOPRO,Calliope Professional Pen,Under  1,,,0,,
CALIOPRO,Calliope Professional Pen,Best Sellers,Y,500,0.29,C,
CALIOPRO,Calliope Professional Pen,Inkredible Pens,,,0,,
CALIPEN,Caliente Pen,Under  1,,,0,,
CALIPEN,Caliente Pen,Best Sellers,Y,250,0.49,C,
CALKBLK,Kinetic Calculator Black - Closeout,Closeouts,Y,150,1.91,C,
CALKTC,Kinetic Calculator,Best Sellers,Y,150,2.49,C,
CALKTT_CL,Kinetic Calculator Trans - Closeout,Closeouts,Y,150,1.99,C,
CAMOBKSK,Camo Drawstring Backsack,New Products,,,0,,
CAMOBKSK,Camo Drawstring Backsack,Color Surge,,,0,,
CAMOBKSK,Camo Drawstring Backsack,Best Sellers,Y,150,2.19,C,
CAMOKLR,Collapsible Foam Kan Cooler - Camo,Under  1,,,0,,
CAMOKLR,Collapsible Foam Kan Cooler - Camo,Best Sellers,Y,250,0.95,C,
CAMOKONE,Collapsible Foam Kan Cooler - Camo,Under  1,,,0,,
CAMOKONE,Collapsible Foam Kan Cooler - Camo,Color Surge,,,0,,
CAMOKONE,Collapsible Foam Kan Cooler - Camo,Best Sellers,Y,250,0.65,C,
CANDLELT,Candle LED Light,New Products,,,0,,
CANOODPN,Canoodle Pen,Under  1,,,0,,
CANOODPN,Canoodle Pen,Best Sellers,Y,500,0.62,C,
CAPRSTPN,Capri Stylus Pen,New Products,,,0,,
CAPRSTPN,Capri Stylus Pen,Under  1,,,0,,
CAPRSTPN,Capri Stylus Pen,Inkredible Pens,,,0,,
CAPTVAPN_CL,Captiva Pen - Closeout,Closeouts,Y,500,0.39,C,
CARAKEY6_CL,6mm Carabiner w/Keyring - Closeout,Closeouts,Y,500,0.57,C,
CARAKEYR,Carabiners w/ Keyring,Under  1,,,0,,
CARAKEYR,Carabiners w/ Keyring,Best Sellers,Y,250,0.89,C,
CARASTRP,Carabiners w/ Strap,Under  1,,,0,,
CARASTRP,Carabiners w/ Strap,Best Sellers,Y,250,0.99,C,
CARDFOLI,Card Folio,Color Surge,,,0,,
CARLEYCL,Carley Pen - Colored Barrel,Always Available,,,0,,
CARLEYCL,Carley Pen - Colored Barrel,Under  1,,,0,,
CARLEYCL,Carley Pen - Colored Barrel,Best Sellers,Y,500,0.49,C,
CARLEYPN,Carley Pen,Always Available,,,0,,
CARLEYPN,Carley Pen,Under  1,,,0,,
CARLEYPN,Carley Pen,Best Sellers,Y,500,0.49,C,
CARNVPN,Carnival Pen,Exclusives,,,0,,
CARNVPN,Carnival Pen,Always Available,,,0,,
CARNVPN,Carnival Pen,Under  1,,,0,,
CARNVPN,Carnival Pen,Best Sellers,Y,500,0.46,C,
CARNVPN,Carnival Pen,Inkredible Pens,,,0,,
CARNVPRO,Carnival Professional Pen,Exclusives,,,0,,
CARNVPRO,Carnival Professional Pen,Always Available,,,0,,
CARNVPRO,Carnival Professional Pen,Under  1,,,0,,
CARNVPRO,Carnival Professional Pen,Best Sellers,Y,500,0.46,C,
CARNVPRO,Carnival Professional Pen,Inkredible Pens,,,0,,
CARRYON,Carry On,Color Surge,,,0,,
CARTATOT_CL,Carta Tote - Closeout,Closeouts,Y,150,1.61,C,
CARYTMB,16oz. Cary Tumbler,Exclusives,,,0,,
CELLALNG,Cell-a-Lounger,Color Surge,,,0,,
CEOPEN_CL,CEO Pen - Closeout,Closeouts,Y,150,1.99,C,
CERENJR,Junior Cerento,Best Sellers,Y,80,4.99,C,
CFLYER,Crown Flyers,USA Made,,,0,,
CFLYERT,Crown Flyers - Transparent,USA Made,,,0,,
CHIAMNTY_CL,Chi Chi Duet Amenity - Closeout,Closeouts,Y,150,1.66,C,
CHIBGLAM,Chi Chi Bag,Exclusives,,,0,,
CHIBGLAM,Chi Chi Bag,Color Surge,,,0,,
CHIBGLAM,Chi Chi Bag,Best Sellers,Y,150,2.69,C,
CHIBGLAM_CL,Chi Chi Bag - Closeout,Closeouts,Y,150,1.88,C,
CHISHOP,Chi Chi Shopper,Exclusives,,,0,,
CHISHOP,Chi Chi Shopper,Color Surge,,,0,,
CHISHOP,Chi Chi Shopper,Best Sellers,Y,150,2.85,C,
CHRO12PK,Chromatic 12 Pack Cooler Bag,Color Surge,,,0,,
CHRODLUX,Deluxe Chromatic 6 Pack,Color Surge,,,0,,
CHROM6PK,Chromatic 6 Pack Cooler Bag,Color Surge,,,0,,
CHROMLNH_CL,Chromatic Lunch 2 Go - Closeout,Closeouts,Y,50,3.89,C,
CITYLNH,City Style Lunch Bag,Color Surge,,,0,,
CITYLNH,City Style Lunch Bag,Best Sellers,Y,100,4.39,C,
CLAMFXLT,Clamp and Flex Utility Light,New Products,,,0,,
CLASSTRAV,16oz. Classy Traveler Mug,Exclusives,,,0,,
CLAYPN_CL,Clayton Pen - Closeout,Closeouts,Y,250,0.77,C,
CLEARVW_CL,Clear View Binoculars - Closeout,Closeouts,Y,150,2.54,C,
CLENFTBT,25oz. Clean & Clear Filter Bottle,Color Surge,,,0,,
CLENFTBT,25oz. Clean & Clear Filter Bottle,USA Made,,,0,,
CLIPRND,Clip A Round,Exclusives,,,0,,
CLIPRND,Clip A Round,Under  1,,,0,,
CLIPRND,Clip A Round,Color Surge,,,0,,
CLIPRND,Clip A Round,Best Sellers,Y,500,0.69,C,
CLPCPHAN,Clip Cap Hand Sanitizer,Under  1,,,0,,
CLPCPHAN,Clip Cap Hand Sanitizer,Best Sellers,Y,250,0.89,C,
CLPSAFLS,Clip-On Safety Flasher,Best Sellers,Y,150,1.69,C,
CLPSFSTB_CL,Clip-On Safety Strobe - Closeout,Closeouts,Y,150,1.43,C,
CLRBLKBK,Color Block Back Pack,Color Surge,,,0,,
CLRBRITE_CL,Color Brite Pedometer - Closeout,Closeouts,Y,150,1.79,C,
CLRFILE,Color File,Under  1,,,0,,
CLRFILE,Color File,Best Sellers,Y,500,0.79,C,
CLRFILE_CL,Color File - Closeout,Closeouts,Y,500,0.66,C,
