productcode,productname,relatedcategoryid,categoryname,subcategoryname,subsubcategoryname,productdescription,fob,furtherdescription,defaultimagename,Size,Colors,Imprint,Imprint Method 1,Imprint Method 2,Weight,Lead Time,Rush Lead Time,Imprint Area,Packaging,Run Charge,Setup Charge,Set-up Charge,Additional Colors/Positions,Additional Colors,Additional Positions,Carton Weight (Lbs),Carton Width,Carton Height,Carton Length,Units Per Carton,pricename_1,quantity1_1,price1_1,discountcode1_1,quantity2_1,price2_1,discountcode2_1,quantity3_1,price3_1,discountcode3_1,quantity4_1,price4_1,discountcode4_1,quantity5_1,price5_1,discountcode5_1,quantity6_1,price6_1,discountcode6_1
ACRYLIC-1,Acrylic 1 Award,129,Professional Gallery,Professional Gallery,Acrylic Awards,"Clear acrylic 3"" x 7"" on Black 4-7/8"" x 2-3/8"" weighted base. Lasered or screened.",56301 | Saint Cloud | MN,,ACRYLIC-1.jpg,,Clear,Price includes one color screened or lasered imprint.,Silkscreen,Lasered,,3 to 5 working days.,,"3"" W x 7"" H",,"Add $1.00 (G) per additional color, per unit on screened imprint.",,$20.00 (G) for laser set-up. $35.00 (G) per color for screen setup.,,,,,,,,,ACRYLIC-1,1,53,C,5,48,C,25,43,C,100,40,C,,,,,,
ACRYLIC-2,Acrylic 2 Award,129,Professional Gallery,Professional Gallery,Acrylic Awards,"Clear acrylic 3"" x 7"" on Black 4-7/8"" x 2-3/8"" weighted base. Lasered or screened. 3"" x 1/2"" personalized plate included.",56301 | Saint Cloud | MN,,ACRYLIC-2.jpg,,Clear,Price includes one color screened or lasered imprint.,Silkscreen,Lasered,,3 to 5 working days.,,"3"" W x 7"" H",,"Add $1.00 (G) per additional color, per unit on screened imprint.",,$20.00 (G) for laser set-up. $35.00 (G) per color for screen setup.,,,,,,,,,ACRYLIC-2,1,63,C,5,57,C,25,52,C,100,47,C,,,,,,
A 1,Letter Shaped Acrylic Award,129,Professional Gallery,Professional Gallery,Acrylic Awards,Letter shaped clear acrylic. Lasered or screened.,56301 | Saint Cloud | MN,,A_1.jpg,"5"" W x 6"" H",Clear,Price includes one color screened or lasered imprint.,Silkscreen,Lasered,,3 to 5 working days.,,"5"" W x 6"" H",,"Add $1.00 (G) per additional color, per unit on screened imprint.",,$20.00 (G) for laser set-up. $35.00 (G) per color for screen setup.,,,,,,,,,A-1,1,75,C,5,68,C,25,62,C,100,57,C,,,,,,
BLS,"7/16"" Nylon Elastic Lanyard (30"" Long)",40,Lanyards,Lanyards,Adjustable Nylon Elastic,Made from a stretchy nylon elastic material and includes adjustable ball lock. Convert these lanyards convert into eyewear retainers. Screen printed. Step and repeated or continuous imprint available.,56301 | Saint Cloud | MN,,BLS.jpg,"7/16"" W x 29"" to 30"" L","Black, Charcoal (PMS 432), Dark Purple (PMS 273), Gold (PMS 136), Kelly Green (PMS 3425), Light Gray (PMS 422), Navy (PMS 533), Neon Blue (PMS 314), Neon Green (PMS 802), Neon Orange (PMS 811), Neon Pink (PMS 1915), Red (PMS 187), Royal Blue (PMS 287), Tropical Yellow (PMS 116), White","Price includes one color, front side imprint only.",Silkscreen,,5 lbs. per 100 units,"5 working days without paper proof, 7 working days with paper proof.",,"1/4"" H",,,,$50.00 (G). Repeat Orders: FREE set-up.,,,,5,10,13,5,100,BLS,100,2.67,C,250,2.46,C,500,2.39,C,1000,2.31,C,,,,,,
BLS36,"7/16"" Nylon Elastic Lanyard (36"" Long)",40,Lanyards,Lanyards,Adjustable Nylon Elastic,Made from a stretchy nylon elastic material and includes adjustable ball lock. Convert these lanyards convert into eyewear retainers. Screen printed. Step and repeated or continuous imprint available.,56301 | Saint Cloud | MN,,BLS36.jpg,"7/16"" W x 34"" to 35"" L","Black, Charcoal (PMS 432), Dark Purple (PMS 273), Gold (PMS 136), Kelly Green (PMS 3425), Light Gray (PMS 422), Navy (PMS 533), Neon Blue (PMS 314), Neon Green (PMS 802), Neon Orange (PMS 811), Neon Pink (PMS 1915), Red (PMS 187), Royal Blue (PMS 287), Tropical Yellow (PMS 116), White","Price includes one color, front side imprint only.",Silkscreen,,5 lbs. per 100 units,"5 working days without paper proof, 7 working days with paper proof.",,"1/4"" H",,,,$50.00 (G). Repeat Orders: FREE set-up.,,,,5,10,13,5,100,BLS36,100,3.03,C,250,2.77,C,500,2.67,C,1000,2.6,C,,,,,,
AB1001,All About Me - Police Safety and Me,135,Awareness,Awareness,All About Me,"All About Me-Police and Me. Your child is the star of this interactive story as a police officer teaching kids about those important duties that keep us safe. Kids learn about crime prevention, dangers and when to call for help. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1001_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1002,All About Me - Fire Safety and Me,135,Awareness,Awareness,All About Me,"All About Me-Fire Safety and Me Does your child know what to do if there is a fire1/3 This 16-page educational, yet fun story features your child as the star. This story book tells all about fire safety, prevention and what to do if caught in a fire. For these and many more: Childcare Centers~Community Centers~Insurance~Hospitals~Sports Centers~Retail~Schools~Fire Stations - Great story lines with creative characters - Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1002_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1003,All About Me - Bike Safety and Me,135,Awareness,Awareness,All About Me,"All About Me-Bike Safety and Me. This interactive children's book features your child as the star. It provides valuable tips on how to be safe while following the rules of the road; lessons that all kids need to know before they take that first bike ride. For these and many more: Childcare Centers~Community Centers~Insurance~Park and Recreation Departments~Sports Centers~Retail~Schools -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1003_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1004,All About Me - Hospital Visit and Me,135,Awareness,Awareness,All About Me,"A hospital visit can be a very daunting thing for a child! This beautifully illustrated book with a rhyming story gives kids the facts so they can be prepared and relaxed for a hospital visit. The ability to personalize the book with the child’s picture creates an instant keepsake. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security~Hospitals -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1004_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1005,All About Me - Recycling Story and Me,135,Awareness,Awareness,All About Me,"The child becomes the star of this story, which identifies the many fun and important ways we can do our part to sustain our natural resources and keep our planet green. Bright, cheerful illustrations and a fun, rhyming story combined with the personalization aspect make this a children’s favorite. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security~Waste Management~Recycling Centers -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1005_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
