main_color,px_color1,px_color2,px_color3
100% Post Consumer Recycled White (add 10%),White,,
All blue,Blue,,
All natural brown or natural brown with black,Brown,Black,
All natural brown or natural brown with blue strip.,Brown,Blue,
Aluminum,Silver,,
Aluminum frame / Smoke lens,Silver,,
Amazing Grape,Purple,,
Any PMS color,,,
Aqua (PMS 3115),Blue,,
As pictured.,,,
As pictured. *Inflatable color may vary.,,,
Black,Black,,
Black / Chrome,Black,Silver,
Black / Red frame / Gray lens,Black,Red,Grey
Black / Silver,Black,Silver,
Black Frame,Black,,
Black Multi,Black,,
Black and brushed Silver.,Black,Silver,
Black frame,Black,,
Black frame / Amber lens,Black,,
Black frame / Blue lens,Black,Blue,
Black frame / Clear,Black,Clear,
Black frame / Clear lens,Black,Clear,
Black frame / Gray lens,Black,Grey,
Black frame / Smoke lens,Black,Grey,
Black frame / TNS Gun lens,Black,,
Black frame with blue,Black,Blue,
Black frame. Blue and Red frames available only by special order only.,Black,,
Black or Blue with White trim.,Black,Blue,White
Black or Blue.,Black,Blue,White
Black or blue with black grip.,Black,Blue,
Black or blue with silver trim,Black,Blue,
Black or blue.,Black,Blue,Silver
Black or silver with chrome trim.,Black,Blue,
Black or white.,Black,Silver,
Black with Blue,Black,White,
Black with Blue liner,Black,Blue,
Black with Green liner,Black,Green,
Black with Orange liner,Black,Orange,
Black with Red liner or Black with Yellow liner,Black,Red,Yellow
Black with Silver glitter,Black,Silver,
Black with White edges,Black,White,
Black with blue,Black,Blue,
Black with chrome accents,Black,Silver,
Black with silver trim,Black,Silver,
Black with silver trim and black grip,Black,Silver,
Black with yellow and green stripes and white center (imprint area),Black,Yellow,Green
Black.,Black,,
Black/White,Black,White,
Blue,Blue,,
Blue (PMS 2925),Blue,,
Blue (PMS 298),Blue,,
Blue (PMS 801),Blue,,
Blue / White,Blue,,
Blue Mirror lens,Blue,,
Blue base with chrome pen or matte silver base and pen.,Blue,Silver,
Blue frame,Blue,Silver,
Blue or Green trim. Please specify.,Blue,,
Blue or Red,Blue,Green,
Blue or Red Grip,Blue,Red,
Blue or Red frame / Clear lens,Blue,Red,
Blue or Red trim.,Blue,Red,
Blue or Red with Black handles.,Blue,Red,Black
Blue or Red with Black trim.,Blue,Red,Black
Blue or Red.,Blue,Red,
Blue or Silver.,Blue,Silver,
Blue or White,Blue,White,
Blue or White with Black trim.,Blue,White,Black
Blue or White.,Blue,White,
Blue or clear.,Blue,Clear,
Blue or natural.,Blue,Tan/Beige,
Blue or navy blue.,Blue,,
Blue or red.,Blue,Red,
Blue or silver with seventeen white LED lights.,Blue,Silver,
Blue or silver with silver trim and black grip.,Blue,Silver,
Blue or silver with silver trim.,Blue,Silver,
Blue or silver.,Blue,Silver,
Blue or white.,Blue,White,
Blue with Blue pull and White release button or White with White pull and Black release button.,Blue,,
Blue with Green continents on front.,Blue,Green,
Blue with Translucent Blue bag,Blue,,
Blue with blue grip,Blue,,
Blue with blue light and silver trim.,Blue,Silver,
Blue with chrome accents or Red with chrome accents.,Blue,Red,
Blue with gold trim and black grip or burgundy with chrome trim and black grip.,Blue,Gold,Red
Blue with gold trim and black grip.,Blue,Gold,
Blue with multicolor continents.,Blue,,
Blue with silver trim,Blue,Silver,
Blue with silver trim and blue grip or silver with silver trim and black grip.,Blue,Silver,
Blue with silver trim and blue grip.,Blue,Silver,
Blue with white cap.,Blue,White,
Blue.,Blue,,
Blue/Clear,Blue,Clear,
Bone.,White,,
Bottle Colors: Silver or Blue with Silver cap and trim. Case Color: Black.,Silver,Blue,
Bottle: Clear. Cap: Black,Clear,Black,
Bottle: Clear. Sport Clip: Black,Clear,Black,
Bottle: White. Sport Clip: Black,White,Black,
Bronze,Gold,,
Brown,Brown,,
Brown (PMS 497),Brown,,
Brown/Tan,Brown,,
Brushed Silver with Black trim,Silver,Black,
Brushed silver.,Silver,,
Burgundy (209U),Red,,
Burgundy (PMS 216),Red,,
Case Colors: Blue or white.,Blue,White,
Case Colors: Clear,Clear,,
Charcoal (426U),Grey,,
Charcoal (PMS 432),Grey,,
Cherry,Grey,,
Clear,Clear,,
Clear or Yellow,Clear,Yellow,
Clear pouch with assorted color screwdrivers.,Clear,Multicolor,
Clear tube with red plug.,Clear,Red,
Clear with Blue,Clear,Blue,
Clear with White trim.,Clear,White,
Clear with White zipper.,Clear,White,
Clear with blue,Clear,Blue,
Clear with blue ruler.,Clear,Blue,
Clear with green,Clear ,Green,
Clear with white cap or translucent blue with translucent blue cap.,Clear,White ,Blue
Clear with yellow,Clear ,Yellow,
Clear with yellow highlighter,Clear,,
Clear.,Clear,,
Coasters: Bone,White,,
Copper,Gold,,
Cranberry (PMS 214),Red,,
Custom color combinations,,,
Dark Gray Lenses,Grey,,
Dark Purple (PMS 273),Purple,,
Day Glow Green,Green,,
Day Glow Green (PMS 375),Green,,
Day Glow Green (PMS 802),Greeb,,
Day Glow Orange (PMS 811),Orange,,
Day Glow Pink (PMS 232),Pink,,
Day Glow Pink (PMS 239),Pink,,
Day Glow Pink (PMS 806),Pink,,
Day Glow Pink (PMS 807),Pink,,
Day Glow Red (PMS 185),Red,,
Day Glow Yellow (PMS 388),Yellow,,
Electric Blue,Blue,,
Electric Blue (PMS 634),Blue,,
Forest Green,Green,,
Forest Green or Metallic Red with Black trim and lid.,Green,,
Frosted blue,Blue,,
Frosted white body with blue,White,Blue,
Gift Box: White,White,,
Gold,Gold,,
Gold (115U),Gold,,
Gold (PMS 136),Gold,,
Gold (PMS 136C),Gold,,
Gold (PMS 871),Gold,,
Gold frame / Smoke lens,Gold,,
Granite,Grey,,
Grape (PMS 527),Purple,,
Gray,Grey,,
Gray (PMS 422),Grey,,
Gray lens,Grey,,
Gray with clear base.,Grey,,
Green,Green,,
Green (PMS 342),Green,,
Green (PMS 349),Green,,
Green Red or Silver.,Green,Red,Silver
Green or Black lid,Green,Black,
Green or Red Grip,Green,Red,
Green or Red lid.,Green,Red,
Green or Red panel.,Green,Red,
Green or Red with Black handles.,Green,Red,Black
Green or Red with Black trim.,Green,Red,Black
Green or Red with Silver Trim,Green,Red,Silver
Green or Red.,Green,Red,
Green or Silver.,Green,Silver,
Green with Translucent Green bag,Green,,
Grey,Grey,,
Gun Metal,Grey,,
Gun Metal frame / Gray lens,Grey,,
Gun metal frame,Grey,,
Gunmetal frame / Polarized lens,Grey,,
Holder: Clear. Notepad: White,Clear,,
Hot Pink,Pink,,
Hot Pink (PMS 232),Pink,,
Hunter Green,Green,,
Hunter Green (350U),Green,,
Indoor/Outdoor Mirrored,,,
Kelly Green,Green,,
Kelly Green (347U),Green,,
Kelly Green (PMS 3405),Green,,
Kelly Green (PMS 3425),Green,,
Kelly Green (PMS 361),Green,,
Kelly Green (PMS Green C),Green,,
Lanyard Colors: Black,Black,,
Light Blue,Blue,,
Light Gray (PMS 422),Grey,,
Lime Green,Green,,
Magnifier: Clear. Tassle Color: White (Available at no additional charge),Clear,,
Marble,,,
Maroon,Red,,
Maroon (201U),Red,,
Maroon (PMS 188),Red,,
Maroon or blue with gold trim.,Red,Blue,Gold
Matte Black frame,Black,,
Matte Black frame / Neutral lens,Black,,
Matte black frame,Black,,
Metallic Blue,Blue,,
Metallic Blue frame / Clear,Blue,Clear,
Metallic Confetti,,,
Metallic Forest Green,Green,,
Metallic Forest Green or Metallic Red with Black trim and lid.,Green,Red,Black
Metallic Green,Green,,
Metallic Maroon,Red,,
Metallic Rain,Blue,,
Metallic Red,Red,,
Metallic Stars,,,
Metallic finish frame / Smoke lens,Silver,,
Mint Green,Green,,
Natural,Green,,
Natural or Red handles.,Tan/Beige,,
Natural or Red.,Tan/Beige,Red,
Natural paper barrel with blue highlighter and blue trim,Brown,,
Natural with Black,Brown,Black,
Natural.,Brown,,
Navy,Blue,,
Navy (PMS 289),Blue,,
Navy (PMS 533),Blue,,
Navy Blue,Blue,,
Navy Blue (289U),Blue,,
Neon Blue,Blue,,
Neon Blue (PMS 314),Blue,,
Neon Green,Green,,
Neon Green (PMS 802),Green,,
Neon Green (PMS 802C),Green,,
Neon Orange,Orange,,
Neon Orange (PMS 804),Orange,,
Neon Orange (PMS 811),Orange,,
Neon Orange (PMS 811C),Orange,,
Neon Pink,Pink,,
Neon Pink (PMS 1915),Pink,,
Neon Pink (PMS 1915C),Pink,,
Neon Red,Red,,
Neon Yellow,Yellow,,
Neon yellow.,Yellow,,
Notebook: All Natural Brown or Natural Brown with Blue strip. Pen: Natural with Black,Brown,,
Notebook: All natural brown or natural brown with black,Brown,Black,
Orange,Orange,,
Orange (021U),Orange,,
Orange (PMS 021),Orange,,
Orange (PMS 1665),Orange,,
Orange (PMS 715),Orange,,
Orange (PMS 716),Orange,,
Orange PMS 1665),Orange,,
Orange or Red,Orange,Red,
Orange or Yellow,Orange,Yellow,
Orange/Black,Orange,Black,
Pink,Pink,,
Pink (189U),Pink,,
Pink (PMS 203),Pink,,
Pink or Red.,Pink,Red,
Pink or white.,Pink,White,
Purple,Purple,,
Purple (2765U),Purple,,
Purple (PMS 2587),Purple,,
Purple (PMS 268),Purple ,,
Purple or Red,Purple,Red,
Purple or Red.,Purple,Red,
Purple or Yellow trim and grip,Purple,Yellow,
Rainbow lenses,Multicolor,,
Red,Red,,
Red (485U),Red,,
Red (PMS 185),Red,,
Red (PMS 186),Red,,
Red (PMS 187),Red,,
Red (PMS 187) with White edges,Red,,
Red (PMS 187C),Red,,
Red (PMS 200),Red,,
Red / White,Red,White,
Red / White / Blue frame,Red,White,
Red Alder Wood,Red,Brown,
Red or Silver,Red,Silver,
Red or Silver with Black strap.,Red,Silver,
Red or Silver with Silver clip.,Red,Silver,
Red or Silver.,Red,Silver,
Red or Tan.,Red,Tan/Beige,
Red or White,Red,White,
Red or White dressing cup and fork,Red,Whire,
Red or White with Black trim.,Red,White,Black
Red or White with Black zipper.,Red,White,Black
Red or White.,Red,White,
Red or Yellow with Black trim and handles.,Red,Yellow,Black
Red or Yellow.,Red,Yellow,
Red or white.,Red,White,
Red with Translucent Red bag or Silver with clear bag.,Red,Silver,
Red with red LED. *White imprint is recommended.,Red,,
Red with silver trim or Silver with silver trim.,Red,Silver,
Red.,Red,Silver,
Red/Clear or White/Clear,Red,,
Rocket Red,Red,Clear,White
Rocket Red (PMS 199),Red,,
Rosewood,Brown,,
Rosewood / Silver,Brown,Silver,
Royal,Blue,,
Royal Blue,Blue,,
Royal Blue (300U),Blue,,
Royal Blue (PMS 287),Blue,,
Royal Blue (PMS 2935),Blue,,
Royal Blue (PMS 294),Blue,,
Royal Blue (PMS 2945),Blue,,
Royal Blue (PMS 2945) with White edges,Blue,,
Royal Blue (PMS Process Cyan),Blue,,
Royal Multi,Blue,,
Ruby,Red,,
Satin gold or brushed silver.,Gold,Silver,
Shiny Black frame,Black,,
Shiny Black frame / Smoke lens,Black,,
Silver,Silver,,
Silver / Black,Silver,Black,
Silver / Black compass,Silver,Black,
Silver Mirror,Silver,,
Silver barrel and black trim with blue,Silver,Blue,
Silver barrel with black grip,Silver,Black,
Silver body with translucent black,Silver,Black,
Silver case,Silver,,
Silver frame / Gray,Silver,Grey,
Silver frame / Gray lens,Silver,Grey,
Silver or Translucent Blue.,Silver,Blue,
Silver or blue with silver trim.,Silver,Blue,
Silver with Black,Silver,Black,
Silver with Black trim or Silver with Translucent Blue trim.,Silver,Black,Blue
Silver with Black trim.,Silver ,Black,
Silver with Translucent Blue cover.,Silver,Blue,
Silver with black,Silver,Black,
Silver with black button and white LED light,Silver,Black,
Silver with blue,Silver,Blue,
Silver.,Silver,,
Silver/black,Silver,Black,
Slate Gray,Grey,,
Smoke,Grey,,
Tan,Tan/Beige,,
Tan or White.,Tan/Beige,White,
Tan.,Tan/Beige,,
Teal (327U),Blue,,
Titanium frame,Grey,,
Translucent Black,Black,,
Translucent Blue,Blue,,
Translucent Blue or Translucent Green with Silver trim,Blue,Green,
Translucent Blue or Translucent Red with Silver imprint area.,Blue,Red,
Translucent Blue.,Blue,,
Translucent Green or Translucent Red with Black trim.,Green,Red,Black
Translucent Green or Translucent Red with Black zipper.,Green,Red,Black
Translucent Green or Translucent Red with White zipper.,Green,Red,White
Translucent Red,Red,,
Translucent black,Black,,
Translucent black or translucent blue.,Black,Blue,
Translucent blue,Blue,,
Translucent blue or translucent red with white lights.,Blue,Red,
Translucent blue or translucent red.,Blue,Red,
Translucent blue or translucent white barrel with black grip and pewter colored clip and tip.,Blue,White,
Translucent blue or translucent yellow.,Blue,Yellow,
Translucent blue or white with black rubber grips.,Blue,White,
Translucent blue or white.,Blue,White,
Translucent blue pen with blue carabiner or silver pen with silver carabiner.,Blue,Silver,
Translucent blue with clear trim and grip.,Blue,Clear,
Translucent blue.,Blue,,
Translucent red.,Red,,
Transparent Blue,Blue,,
Transparent front with white back.,Clear,White,
Transparent with blue,Blue,,
Tropical Yellow (PMS 116),Yellow,,
Tropical Yellow (PMS 116C),Yellow,,
Up to 8 colors,,,
Vinyl Border - Black or navy blue.,Black,Blue,
Vinyl Case Color - White.,White,,
Vinyl Case Color: White.,White,,
Vinyl Case Colors - Black,Black,,
Vinyl Case Colors - Navy blue or white.,Blue,White,
Vinyl Case Colors - Translucent neon pink,Pink,,
Vinyl Case Colors - White,White,,
Walnut,Brown,,
White,White,,
White barrel with black,Black,,
"White border with blue 5"" standard ruler and 13 mm metric ruler.",White,,
White bottom with transparent top.,White,,
White cube with Yellow gel highlighter,White,,
White frame / Colors Smoke lens,White,,
White frame / Gradient lens,White,,
White holder and notepad,White,,
White or Yellow.,White,Yellow,
White or black.,White,Black,
White or translucent blue with yellow highlighter.,White ,Blue,
White or translucent blue.,White,Blue,
White or translucent blue. *For translucent color,White ,Blue,
White or translucent white.,White ,,
White or white with translucent pink,White,Pink,
White with Black,White,Black,
White with Black edges,White,Black,
White with Blue,White,Blue,
White with Blue trim,White,Blue,
White with Blue trim or Yellow with Black trim.,White ,Blue,
White with Silver trim,White,Silver,
White with Translucent Blue tip covers.,White,Blue,
White with black,White,Black,
White with black trim.,White,Black,
White with blue,White ,Blue,
White with blue grip and clip,White,Blue,
White with blue or white with red.,White ,Blue,Red
White with blue ruler.,White ,Blue,
White with blue trim.,White ,Blue,
White with clear or translucent blue cover.,White,Clear,Blue
White with green,White ,Green,
White with red,White,Red,
White with translucent blue or translucent red containers.,White ,Blue,Red
White with white rope.,White,,
White with yellow highlighter and black ink.,White ,,
White.,White,,
White. Yellow (PMS 809),White,Yellow,
White/Clear with Blue,White ,Clear,Blue
White/black,White,Black,
Without Tassel: Blue with white ruler. With Tassel: White border with blue tassel and blue ruler. Please specify,Blue,White,
Without Tassel: Clear with blue ruler. With Tassel: Clear with blue,Clear,Blue,
Woodgrain,Brown,,
Yellow,Yellow,,
Yellow (PMS 101),Yellow,,
Yellow (PMS 129),Yellow,,
Yellow (PMS 809),Yellow,,
Yellow or White.,Yellow,White,
Yellow with Black trim.,Yellow,Black,
Yellow with red LED.,Yellow,Red,
Yellow.,Yellow,,
add $.05 (C) each.,,,
any PMS color,,,
black,Black,,
black grip and silver retractor.,Black,Silver,
black or red grip.,Black,Red,
black or red.,Black,Red,
black or translucent red with silver trim and white LED light.,Black,Red,Silver
blue,Blue,,
blue or black stripe.,Blue,Black,
blue or chrome.,Blue,Grey,
blue or green strip.,Blue,Green,
blue or green strip. Natural with black,Blue,Green,Tan/Beige
blue or green trim. Please specify.,Blue,Green,
blue or green with white LED light.,Blue,Green,
blue or orange highlighter.,Blue,,
blue or pink gel highlighter.,Blue,,
blue or red cap,Blue,Red,
blue or red grip and lanyard.,Blue,Red,
blue or red trim and marker.,Blue,Red,
blue or red trim with two white LED lights.,Blue,Red,
blue or red trim.,Blue,Red,
blue or red with nine white LED lights.,Blue,Red,
blue or red with three white LED lights.,Blue,Red,
blue or red with white light,Blue,Red,
blue or red with white trim or white with blue trim.,Blue,Red,White
blue or red.,Blue,Red,
blue or silver with nine white LED lights.,Blue,Silver,
blue or white.,Blue,White,
blue with silver trim and blue grip,Blue,Silver,
brown,Brown,,
brown or white.,Brown,White,
burgundy or white with gold trim.,Red,White,Gold
clear,Clear,,
clear or red lens.,Clear,,
clear or white.,Clear,White,
dark blue,Blue,,
dark blue or dark gray.,Blue,Grey,
frosted,Clear,,
frosted or red cover and base.,Clear,Red,
frosted white,White,,
gold,Gold,,
gray,Grey,,
green,Green,,
green and white.,Green,White,
green grip and clip or red grip and clip.,Green,Red,
green or maroon with black grip.,Green,Red,Black
green or red grip.,Green,Red,
green or red trim and grip or translucent blue,Green,Red,Blue
green or red trim.,Green,Red,
green or red with chrome trim.,Green,Red,Silver
green or red.,Green,Red,
green or silver with chrome trim and clip.,Green,Silver,
green or silver with silver trim and black grip.,Green,Silver,Black
green with green grip or silver with blue,Green,Silver,
handle and lid.,Green,,
maroon,,,
medium blue or black.,Red,,
natural,Tan/Beige,,
natural or red.,Tan/Beige,Red,
natural or white.,Tan/Beige,White,
navy blue,Blue,,
neon green,Green,,
neon orange,Orange,,
neon pink,Pink,,
neon red or neon yellow barrel with black cap or black barrel and cap.,Red,Yellow,Black
or Metallic Red with Black trim and lid.,Red,Black,
or Red.,Red,,
or white.,White,,
orange,Orange,,
orange and yellow highlighters and caps.,Orange,,
pink,Pink,Yellow,
pink and yellow highlighters and caps.,Pink,Yellow,
pink and yellow highlighters and frosted caps.,Pink,Yellow,
pink and yellow highlighters.,Pink,Yellow,
pink highlighter and red trim or yellow highlighter and yellow trim and black ink.,Pink,Red ,Yellow
pink or yellow caps and blue,Pink,Yellow,Blue
pink or yellow frame and temples. Smoke lens.,Pink,Yellow,
pink or yellow gel highlighter.,Pink,Yellow,
pink or yellow highlighter or white with pink or yellow highlighter and black ink.,Pink,Yellow,
pink or yellow temples. Smoke lens.,Pink,Yellow,
pink or yellow trim and highlighter and black ink.,Pink,Yellow,
pink or yellow trim and highlighter.,Pink,Yellow,
pink or yellow.,Pink,Yellow,
please refer to color chart,,,
purple,Purple,,
purple or red liquid. *White imprint is recommended.,Purple,Red,
red,Red,,
red or natural with black,Red,Tan/Beige,
red or silver stripe with nine white LED lights.,Red,Silver,
red or silver stripe with six white LED lights.,Red,Silver,
red or silver with chrome trim and clip.,Red,Silver,
red or silver with chrome trim.,Red,Silver,
red or silver with five white LED lights.,Red,Silver,
red or silver with silver carabiner and white light.,Red,Silver,
red or silver with silver trim and black grip.,Red,Silver,
red or silver with three white LED lights.,Red,Silver,
red or silver with white light.,Red,Silver,
red or silver.,Red,Silver,
red or white border.,Red,White,
red or white tassel and blue ruler. Please specify.,Red,White,
red or white.,Red,White,
red or white. Case Colors: Translucent blue or white.,Red ,White,Blue
red or white. Case Colors: White or translucent blue.,Red,White,Blue
red or yellow reflector lens.,Red,Yellow,
red or yellow with black trim or white with blue,Red,Yellow,
red or yellow with red LED.,Red,Yellow,
red or yellow with red LED. *White imprint is recommended.,Red,Yellow,
red or yellow.,Red,Yellow,
red with silver trim and red grip,Red,Silver,
rope and breakaway or white barrel with blue grip,White,Blue,
rope and breakaway.,,,
silver,Silver,,
silver or translucent blue with black trim.,Silver,Blue,Black
silver or white.,Silver,White,
silver with silver trim and black grip or white with silver trim and white grip.,Silver,White ,Black
silver/blue,Silver,Blue,
silver/blue or silver/red,Silver,Blue,Red
silver/blue or silver/red.,Silver,Blue,Red
silver/red,Silver,Red,
translucent blue,Blue,,
translucent blue button with blue LED light or translucent red button with red LED light.,Blue,,
translucent blue or translucent red with gray rubber side grips.,Blue,Red,Grey
translucent blue or translucent red.,Blue,Red,
translucent blue or translucent red. *White imprint is recommended on all translucent colors.,Blue,Red,
translucent blue or white.,Blue,White,
translucent green,Green,,
translucent green and translucent yellow caps.,Green,Yellow,
translucent green or translucent red buttons and clip.,Green,Red,
translucent green or translucent red with clear trim and grip.,Green,Red,Clear
translucent green or translucent red with silver trim and black grip.,Green,Silver,Black
translucent green or translucent red.,Green,Red,
