main_color,px_color1,px_color2,px_color3
Apple,Green,,
Apple Green,Green,,
Apple Green/Black,Green,Black,
Apple Green/Blue Ink,Green,,
Apple Green\Kelly Green,Green,,
Apple Green\White,Green,White,
Apricot,Orange,,
Aqua Blue,Blue,,
Black,Black,,
Black/Apple Green,Black,Green,
Black/Blue & Green Pattern,Blue,Green,
Black/Blue Ink,Blue,,
Black/Bone,Black,White,
Black/Cheetah Pattern,Black,,
Black/Chrome,Black,Grey,
Black/Dark Grey,Black,Grey,
Black/Forest Camo,Black,Green,
Black/Gold,Black,Gold,
Black/Grey,Black,Grey,
Black/Gun Metal,Black,Grey,
Black/Moss Green,Black,Green,
Black/Natural Tribal Pattern,Black,Tan/Beige,
Black/Orange,Black,Orange,
Black/Pattern,Black,,
Black/Red,Black,Red,
Black/Royal,Black,Blue,
Black/Seattle Grey,Black,Grey,
Black/Silver,Black,Silver,
Black/Snakeskin Pattern,Black,,
Black/Turquoise,Black,Blue,
Black/Tweed,Black,,
Black/White,Black,White,
Blue,Blue,,
Blue/Blue Ink,Blue,,
Bone,White,,
Bone/Navy Blue,White,Blue,
Bone/Sunflower,White,Yellow,
Brick Red,Red,,
Brilliant Violet,Purple,,
Brown,Brown,,
Brushed Nickel,Silver,,
Brushed Silver,Silver,,
Burgundy,Red,,
Burnt Orange/Black,Orange,Black,
Camel/Sunflower/Bone,Tan/Beige,Yellow,White
Camo,Green,,
Camo Tree / Black,Green,Black,
Carbon,Grey,,
Cardinal Red,Red,,
Caribbean Blue/Navy Blue,Blue,,
Charcoal,Grey,,
Chrome,Silver,,
Citron Green,Green,,
Clear,Clear,,
Cranberry Red,Red,,
Dark Green,Green,,
Dark Grey,Grey,,
Deep Pink,Pink,,
Deep Pink\White,Pink,White,
Deep Turquoise,Blue,,
Deep pink/light pink pattern,Pink,,
Desert Sand,Tan/Beige,,
Diva Pink/Neon Guava,Pink,Orange,
Dusty Rose Patent,Red,,
Forest,Green,,
Forest Camo,Green,,
Glacier Blue,Blue,,
Glacier Blue\Navy Blue,Blue,,
Gold,Gold,,
Graphite,Grey,,
Green,Green,,
Green Apple,Green,,
Green/Blue Ink,Green,,
Green/White,Green,White,
Grey,Grey,,
Grey/Black,Grey,Black,
Gun Metal,Grey,,
Gunmetal,Grey,,
Gunmetal Grey,Grey,,
Gunmetal/Black,Grey,Black,
Iris,Purple,,
Kelly Green,Green,,
Kelly Green/ Pattern,Green,,
Kelly Green/Navy,Green,Blue,
Kiwi,Green,,
Kraft,Brown,,
Large,,,
Lavender,Purple,,
Lemon Green,Green,,
Light Blue,Blue,,
Light Pink,Pink,,
Loden Green,Green,,
Magenta,Pink,,
Mahogany,Brown,,
Manhattan Gold,Gold,,
Matte,,,
Matte Black,Black,,
Matte Silver,Silver,,
Merlot,Red,,
Merlot Red,Red,,
Metallic Blue,Blue,,
Metallic Gold,Gold,,
Metallic Silver,Silver,,
Mint Green,Green,,
Natural,Tan/Beige,,
Natural/Apple Green,Tan/Beige,Green,
Natural/Black,Tan/Beige,Black,
Natural/Brown,Tan/Beige,Brown,
Natural/Coral,Tan/Beige,Orange,
Natural/Coral & Watermelon Pattern,Tan/Beige,Orange,Pink
Natural/Kelly Green,Tan/Beige,Green,
Natural/Navy,Tan/Beige,Blue,
Natural/Navy & Blue Pattern,Tan/Beige,Blue,
Natural/Red,Tan/Beige,Red,
Natural/Script Pattern,Tan/Beige,,
Navy,Blue,,
Navy Blue,Blue,,
Navy Blue Striped,Blue,,
Navy Blue/Moroccan Blue,Blue,,
Navy/Light Blue,Blue,,
Navy/Red,Blue,Red,
Navy/Sky Blue,Blue,,
Neon,,,
Neon Green,Green,,
Orange,Orange,,
Orange Yellow,Orange,Yellow,
Orange/Blue Ink,Orange,,
Orange\Seattle Grey,Orange,Grey,
Oxide Green,Green,,
Pacific Blue,Blue,,
Pacific Blue/White,Blue,White,
Pearl White,White,,
Pebble Grey,Grey,,
Peony Pink,Pink,,
Peony Pink/Deep Pink,Pink,,
Pink,Pink,,
Pink/Brown,Pink,Brown,
Plaid Blue,Blue,,
Plaid Purple,Purple,,
Platinum,Grey,,
Plum,Purple,,
Plum/Silver,Purple,Silver,
Pocket,,,
Puple/Light Purple Pattern,Purple,,
Purple,Purple,,
Purple & Iris,Purple,,
Purple/Pattern,Purple,,
Purple\Seattle Grey,Purple,Grey,
Red,Red,,
Red/Black,Red,Black,
Red/Blue Ink,Red,,
Red/Natural,Red,Tan/Beige,
Red/Navy,Red,Blue,
Red/Pattern,Red,,
Red\Santa Fe Red,Red,,
Red\Seattle Grey,Red,Grey,
Royal,Blue,,
Royal Blue,Blue,,
Royal Blue/Black,Blue,Black,
Royal Blue/Pattern,Blue,,
Royal Blue\Seattle Grey,Blue,Grey,
Royal/Black,Blue,Black,
Ruby Red,Red,,
Sand/Summer Green,Tan/Beige,Green,
Santa Fe Red,Red,,
Santa Fe Red/White,Red,White,
Sapphire Blue,Blue,,
Satin Black/Blue Ink,Black,,
Satin Chrome,Silver,,
Satin Silver,Silver,,
Satin Silver/Blue Ink,Silver,,
Seattle Grey,Grey,,
Seattle Grey\White,Grey,White,
Shiny Black Patent,Black,,
Silver,Silver,,
Silver/Black,Silver,Black,
Silver/Blue Ink,Silver,,
Sky Blue,Blue,,
Sky Blue/Natural,Blue,Tan/Beige,
Slate Grey,Grey,,
Smoke,Grey,,
Stainless Steel,Silver,,
Steel Blue,Blue,,
Steel Blue/Black,Blue,Black,
Strawberry Sorbet,Red,,
Sunflower,Yellow,,
Tan,Tan/Beige,,
Tan/Pattern,Tan/Beige,,
Tangerine,Orange,,
Tangerine Orange,Orange,,
Teal,Blue,,
Teal/Blue Ink,Blue,,
Tile Blue,Blue,,
Titanium,Silver,,
Translucent Grey Base/Black Top,Grey,Black,
Turquoise,Blue,,
Turquoise/Silver,Blue,Silver,
Turquoise/White,Blue,White,
Turquoise\White,Blue,White,
Urban Camo,Green,,
Vegas Gold,Gold,,
Violet,Purple,,
Violet/Blue Ink,Purple,,
White,White,,
White/Black,White,Black,
White/Gold,White,Gold,
White/Red,White,Red,
XL,,,
Yellow,Yellow,,
Yellow/Black,Yellow,Black,
