main_color,px_color1,px_color2,px_color3
 Cornsilk,Yellow
White,White
Natural,Tan/Beige
Ash Gray,Black
Sport Gray,Black
Daisy,Yellow
Vegas Gold,Yellow
Gold,Yellow
Honey,Yellow
Safety Orange,Orange
Tangerine,Orange
Orange,Orange
Texas Orange,Orange
Sand,Yellow
Tan,Tan/Beige
Prairie Dust,Tan/Beige
Chestnut,Brown
Dark Chocolate,Brown 
Rusty Bronze,Brown
Maroon,Purple
Red,Red
Cherry Red,Red
Antique Cherry Red,Red
Cardinal Red,Red
Heather Cardinal,Red 
Light Pink,Pink
Azalea,Pink
Heliconia,Pink
Safety Pink,Pink
Orchid,Pink 
Jade Dome,Blue
Galapagos Blue,Blue 
Sapphire,Blue 
Heather Sapphire,Blue 
Iris,Blue
Indigo Blue,Blue
Heather Indigo,Blue 
Stone Blue,Blue 
Sky,Blue
Light Blue,Blue
Carolina Blue,Blue
Royal,Blue
Antique Royal,Blue
Metro Blue,Blue
Blue Dusk,Blue
Navy,Blue
Heather Navy,Blue
Mint Green,Green
Pistachio,Green
Safety Green,Green
Kiwi,Green
Lime,Green
Irish Green,Green 
Antique Irish Green,Green
Kelly Green,Green
Forest Green,Green
Olive,Green
Military Green,Green
Ice Gray,Black
Charcoal,Black
Dark Heather,Brown
Black,Black 
Purple,Purple
