slug,display_name,imprint_method
black,"Black",all
white,"White",all
red202,"Burgundy",all
green356,"Green,Kelly",all
purple268,"Purple",all
blue281,"Blue, Navy",all
copper876,"Copper",all
green320,"Teal",all
red186,"Red",all
process_blue,"Process Blue",all
gold123,"Gold",all
jute,"Jute",all
red032,"Red, Warm",all
reflex_blue,"Blue",all
gold873,"Gold",all
orange151,"Orange",all
silver877,"Silver",all
blue286,"Royal Blue",all
gray429,"Gray",all
pink211,"Pink",all
brown476,"Brown",all
green3435,"Forest Green",all
pink806,"Pink",all
yellow115,"Yellow",all
black,"Black","Image Lock"
brown466,"Brown, Tan","Image Lock"
green582,"Olive Green","Image Lock"
red200,"Cardinal Red","Image Lock"
gray424,"Charcoal","Image Lock"
teal327,"Green, Teal","Image Lock"
red202,"Chili Red","Image Lock"
blue2995,"Light Blue","Image Lock"
gold109,"Gold","Image Lock"
maroon209,"Maroon","Image Lock"
rubine,"Red, Rubine","Image Lock"
blue295,"Blue, Navy","Image Lock"
gold123,"Gold, Metallic","Image Lock"
red032,"Melon","Image Lock"
warm_red,"Red, Warm","Image Lock"
process_blue,"Blue, Process","Image Lock"
gray422,"Gray","Image Lock"
orange021,"Orange","Image Lock"
silver878,"Silver, Metallic","Image Lock"
reflex_blue,"Blue, Reflex","Image Lock"
green320,"Green","Image Lock"
orange021,"Orange","Image Lock"
white,"White","Image Lock"
blue293,"Blue, Royal","Image Lock"
green343,"Green, Forest","Image Lock"
pink211,"Pink","Image Lock"
yellow115,"Yellow","Image Lock"
brown477,"Brown","Image Lock"
green334,"Green, Jade","Image Lock"
purple273,"Purple","Image Lock"
yellow115,"Yellow","Image Lock"
brown155,"Brown, Beige","Image Lock"
green348,"Green, Kelly","Image Lock"
red188,"Red","Image Lock"
black,"Black","Hot Stamp"
brown439,"Brown, Bison","Hot Stamp"
gold873,"Gold, Metallic","Hot Stamp"
purple2587,"Purple","Hot Stamp"
blue2728,"Blue","Hot Stamp"
brown4625,"Brown, Dark","Hot Stamp"
green357,"Green, Dark","Hot Stamp"
red188,"Red, Dark","Hot Stamp"
blue534,"Blue, Dark","Hot Stamp"
brown4635,"Brown, Light","Hot Stamp"
green356,"Green, Light","Hot Stamp"
red1805,"Red, Light","Hot Stamp"
blue289,"Blue, Navy","Hot Stamp"
red195,"Burgundy","Hot Stamp"
ivory1205,"Ivory","Hot Stamp"
silver877,"Silver, Metallic","Hot Stamp"
process_blue,"Blue, Process","Hot Stamp"
red504,"Burgundy , Dark","Hot Stamp"
orange179,"Orange","Hot Stamp"
white,"White","Hot Stamp"
brown476,"Brown","Hot Stamp"
gray431,"Gray","Hot Stamp"
pink673,"Pink","Hot Stamp"
yellow124,"Yellow","Hot Stamp"
yellow115,"Yellow, Light","Hot Stamp"
black,"Black","Screen Print"
red202,"Burgundy","Screen Print"
green356,"Green,Kelly","Screen Print"
purple268,"Purple","Screen Print"
blue281,"Blue,Navy","Screen Print"
copper876,"Copper","Screen Print"
green320,"Teal","Screen Print"
red186,"Red","Screen Print"
process_blue,"Process Blue","Screen Print"
gold123,"Gold, Athletic","Screen Print"
jute,"Jute","Screen Print"
red032,"Red, Warm","Screen Print"
gold873,"Gold, Metallic","Screen Print"
orange151,"Orange","Screen Print"
silver877,"Metallic Silver","Screen Print"
blue286,"Royal Blue","Screen Print"
gray429,"Gray","Screen Print"
pink211,"Pink","Screen Print"
brown476,"Brown","Screen Print"
green3435,"Forest Green","Screen Print"
pink806,"Pink","Screen Print"
yellow115,"Yellow","Screen Print"
