HCL Item#,Item Status,Item Name,Description,Decoration,Web Link,Item Color,Item Size,Length,Width,Height,Carton Weight,Carton Qty,Standard Production Time,Item MOQ,Qty 2,Qty 3,Qty 4,Qty 5,Price 1,Price 2,Price 3,Price 4,Price 5,"Rush Cost ""R""",MOQ, Qty2, Qty3, Qty4, Qty5,Price1,Price2,Price3,Price4,Price5,Ocean Service,MOQ,Qty 2,Qty 3,Qty 4,Qty 5,Price 1,Price 2,Price 3,Price 4,Price 5 
A1104,Active/All Products,The Cavo Key Chain,"Add high-end sheen to your next marketing event with this Cavo key chain! This polished chrome metal designer key ring features a cable clasp and offers decoration of your company name via direct imprint or laser engraving. This holder makes an ideal promotional match for luxury car dealerships and designer labels. A gift box is included. Your logo will travel as far as your recipients do, making it possible to build brand recognition on the road!","Imprint Area: 3/4''w x 3/4''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/761,Silver,1 1/4w x 2 3/4h x 1/4t,15,10,11,9,200,3 Day Service (R),100,250,500,1000,2500,2.39,2.35,2.29,2.25,2.19,24 Hour Rush (R),100,250,500,1000,2500,2.69,2.65,2.59,2.55,2.49,10 Weeks,5000,10000,25000,50000,,1.49,1.39,1.35,1.29,
A1106,Active/All Products,The Messina Key Chain,A polished chrome metal rectangular shaped key chain. Laser Engraving included in the price. Includes a gift box.,"Imprint Area: 1''w x 1''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/762,Silver,1 3/8w x 3 1/8h x 1/4t,15,12,13,16,300,3 Day Service (R),100,250,500,1000,2500,2.39,2.35,2.29,2.25,2.19,24 Hour Rush (R),100,250,500,1000,2500,2.69,2.65,2.59,2.55,2.49,10 Weeks,5000,10000,25000,50000,,1.49,1.39,1.35,1.29,
A1111,Active/All Products,The Cuore Key Chain,A polished chrome metal heart shaped key chain. For permanent imprint this item is laser engraved. To direct imprint add $.10/pc(V). 24 hour production not available for direct imprinting. Includes a gift box. ,"Imprint Area: 1 1/4''w x 3/8''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/763,Silver,1 3/4w x 2 1/2h x 3/8t,15,11,11,26,200,3 Day Service (R),100,250,500,1000,2500,2.19,2.15,2.09,2.05,1.99,24 Hour Rush (R),100,250,500,1000,2500,2.39,2.35,2.29,2.25,2.19,10 Weeks,5000,10000,25000,50000,,1.39,1.35,1.29,1.25,
A1126,Active/All Products,The Iron Key Chain,A polished chrome metal golf club/wedge shaped key chain. For a permanent imprint this item is laser engraved. To direct print add $.10/pc(V). 24 hour production not available for direct imprinting. Includes a gift box,"Imprint Area: 1 1/8''w x 5/16''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. This product is not intended for children 12 and under. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/764,Silver,1w x 3 1/8h x 3/16t,16,10,11,8,200,3 Day Service (R),100,250,500,1000,2500,2.19,2.15,2.09,2.05,1.99,24 Hour Rush (R),100,250,500,1000,2500,2.39,2.35,2.29,2.25,2.19,10 Weeks,5000,10000,25000,50000,,1.39,1.29,1.25,1.19,
A1143,Active/All Products,The Silver Stella Key Chain,A polished chrome metal star shaped key chain. For a permanent imprint this item is laser engraved. 24 hour production not available for direct imprinting. Includes a gift box.,"Imprint Area: 5/8''w x 5/8''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/765,Silver,1 1/4w x 4h x 3/8t,16,10,13,8,200,3 Day Service (R),100,250,500,1000,2500,1.99,1.95,1.89,1.85,1.79,24 Hour Rush (R),100,250,500,1000,2500,2.19,2.15,2.09,2.05,1.99,10 Weeks,5000,10000,25000,50000,,1.19,1.15,1.09,1.05,
A1512,Active/All Products,The Capriano Business Card Holder,This shiny chrome metal business card holder stores 10 to 12 business cards. For permanent imprint this item is laser engraved. 24 hour production not available for direct imprinting. Includes a gift box.,"Imprint Area: 2 1/2''w x 1 1/8''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals. Please see Terms &amp; Conditions and Product Safety for more Information.",http://www.highcaliberline.com//catalog/product/view/id/766,Silver,3 3/4w x 2 5/16h x 3/16t,19,14,12,13,200,3 Day Service (R),100,250,500,1000,2500,5.09,4.99,4.89,4.79,4.69,24 Hour Rush (R),100,250,500,1000,2500,5.39,5.29,5.19,5.09,4.99,10 Weeks,5000,10000,25000,50000,,3.69,3.59,3.49,3.39,
A1559,Active/All Products,The Moscato Wine Bottle Stopper,"A polished chrome metal wine bottle stopper. Great for wine and other beverage bottles. For permanent imprint, this item is laser engraved. 24 hour production not available for direct imprinting.","Imprint Area: 13/16'' Diam     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Direct imprinting can and will come off over time and use. Direct imprinting includes a one color one location imprint. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals.",http://www.highcaliberline.com//catalog/product/view/id/767,Silver,1 3/4w x 3 1/4h,11,11,9,22,50,3 Day Service (R),100,250,500,1000,2500,6.89,6.79,6.69,6.59,6.49,24 Hour Rush (R),100,250,500,1000,2500,7.29,7.19,7.09,6.99,6.89,10 Weeks,5000,10000,25000,50000,,5.29,5.09,4.89,4.79,
A1671,Active/All Products,The Mansfield Cellphone Stand ,"A polished chrome metal cell phone holder.  Features a non skid slip resistant pad that holds the phone at a comfortable viewing angle. For permanent print, this item is laser engraved.  24 hour production not available for direct imprinting.  Includes a gift box.","Imprint Area: 1 3/4''w x 3/8''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Direct imprinting can and will come off over time and use. Direct imprinting includes a one color one location imprint. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals.",http://www.highcaliberline.com//catalog/product/view/id/768,Silver,2 1/2w x 5h,15,12,15,35,100,3 Day Service (R),100,250,500,1000,2500,7.39,7.29,7.19,7.09,6.99,24 Hour Rush (R),100,250,500,1000,2500,7.79,7.69,7.59,7.49,7.39,10 Weeks,5000,10000,25000,50000,,5.79,5.59,5.39,5.19,
A1672,Active/All Products,The Pembroke Cell Phone Stand,"This fantastic marketing tool is sure to “stand well” with potential clients! The Pembroke Cell Phone Stand is suitable for placing an iPhone, Android, iPod, iPod touch, MP3/MP4 and other tech devices. This item is great for home or office use. It contains our signature sleek and elegant graphite accents and is one of the products featured in our Graphite collection. Includes gift box. Add your logo so people think of you while checking messages!","Imprint Area: 1 1/2''w x 3/8''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Direct imprinting can and will come off over time and use. Direct imprinting includes a one color one location imprint. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals.",http://www.highcaliberline.com//catalog/product/view/id/769,Black,4 3/4,15,11,15,23,50,3 Day Service (R),100,250,500,1000,2500,4.09,3.99,3.89,3.79,3.69,24 Hour Rush (R),100,250,500,1000,2500,4.39,4.29,4.19,4.09,3.99,10 Weeks,5000,10000,25000,50000,,2.89,2.79,2.69,2.59,
A1705,Active/All Products,The San Pietro Cigar Cutter ,"A polished chrome metal single blade cigar cutter. For permanent imprint, this item is laser engraved. 24 hour production not available for direct imprinting. Includes a gift box. ","Imprint Area: 1''w x 5/16''h     **24 Hour Rush must be 1-color / 1 location only to qualify.**     24-HR Service Terms  - Orders must be placed by 10am PST  - All approvals &amp; payments must be received by 12noon PST  - One Color/ position only  - All purchase orders must reference 24hr service and sent to 24Rush@highcaliberline.com  - Vector art required and must be emailed to 24Rush@highcaliberline.com     - No Proofs  - Catalog Quantities only, less than minimums not available  - Customer account must be in good standing     Laser engraving is the standard and preferred method of decorating metal items. Direct imprinting can and will come off over time and use. Direct imprinting includes a one color one location imprint. Additional colors/locations for laser engraving and printing are $.30(v)/pc/color/location, plus a $50(v) setup charge/color/location. Production time begins after all approvals.",http://www.highcaliberline.com//catalog/product/view/id/770,Silver,1 3/4w x 2 1/4h,15,10,11,26,200,3 Day Service (R),100,250,500,1000,2500,5.49,5.39,5.29,5.19,4.99,24 Hour Rush (R),100,250,500,1000,2500,5.79,5.69,5.59,5.49,5.29,10 Weeks,5000,10000,25000,50000,,3.99,3.79,3.69,3.59,
