main_color,px_color1,px_color2,px_color3
Black,Black,,
Blue,Blue,,
Brown,Brown,,
Burgundy,Red,,
Carnation Pink,Pink,,
Charcoal,Grey,,
Chrome,Silver,,
Clear,Clear,,
Copper,Gold,,
Cream,White,,
Custom,,,
Cyan Blue,Blue,,
Dark Blue,Blue,,
Dark Green,Green,,
Digital,,,
Eco Green,Green,,
Frosted Clear,Clear,,
Fuchsia,Pink,,
Gold,Gold,,
Green,Green,,
Grey,Grey,,
Key Lime Cream,Green,,
Khaki,Tan/Beige,,
Light Blue,Blue,,
Light Green,Green,,
Lime,Green,,
Lime Green,Green,,
Magenta,Purple,,
Matte Black,Black,,
Matte Blue,Blue,,
Matte Green,Green,,
Matte Red,Red,,
Matte White,White,,
Metallic Blue,Blue,,
Metallic Chartreuse,Green,,
Metallic Deep Blue,Blue,,
Metallic Lavender,Purple,,
Metallic Red,Red,,
Metallic Silver,Silver,,
Metallic White,White,,
Navy Blue,Blue,,
Orange,Orange,,
Pink,Pink,,
Purple,Purple,,
Red,Red,,
Reflex Blue,Blue,,
Royal Blue,Blue,,
Shiny Black,Black,,
Shiny Blue,Blue,,
Shiny Green,Green,,
Shiny Orange,Orange,,
Shiny Red,Red,,
Silver,Silver,,
Smoke,Grey,,
Solid Black,Black,,
Solid Blue,Blue,,
Solid Eco Green,Green,,
Solid Green,Green,,
Solid Orange,Orange,,
Solid Purple,Purple,,
Solid Red,Red,,
Solid White,White,,
Solid Yellow,Yellow,,
Teal,Blue,,
Translucent Black,Black,,
Translucent Blue,Blue,,
Translucent Clear,Clear,,
Translucent Green,Green,,
Translucent Orange,Orange,,
Translucent Pink,Pink,,
Translucent Purple,Purple,,
Translucent Red,Red,,
Translucent Smoke,Grey,,
Tri Color,Multicolor,,
Violet,Purple,,
White,White,,
Yellow,Yellow,,
