slug,display_name,imprint_method
black,"Black",all
white,"White",all
purple267,"Purple",all
green347,"Green",all
green349,"Dark Green",all
blue282,"Dark blue",all
reflex_blue,"Blue",all
red485,"Red",all
red185,"Red",all
orange021,"Orange",all
yellow102,"Yellow",all
brown471,"Brown",all
silver877,"Silver",all
gold123,"Gold",all
black,"Black","Screen Print"
white,"White","Screen Print"
purple267,"Purple","Screen Print"
green347,"Green","Screen Print"
green349,"Dark Green","Screen Print"
blue282,"Dark blue","Screen Print"
reflex_blue,"Blue","Screen Print"
red485,"Red","Screen Print"
red185,"Red","Screen Print"
orange021,"Orange","Screen Print"
yellow102,"Yellow","Screen Print"
brown471,"Brown","Screen Print"
silver877,"Silver","Screen Print"
gold123,"Gold","Screen Print"
