main_color,px_color1,px_color2,px_color3
Aqua,Blue,,
Aqua Blue,Blue,,
Beige,Tan/Beige,,
Black,Black,,
Black Memory Express,Black,,
Black Window Pane,Black,,
Black and Clear,Black,Clear,
Black on Black,Black,,
Black on Black or Blue,Black,Blue,
Black on Black or Royal Blue,Black,Blue,
Black on Black or Silver,Black,Silver,
Black or Black Memory Express,Black,,
Black or Blue,Black,Blue,
Black or Bronze,Black,Gold,
Black or Brown,Black,Brown,
Black or Clear,Black,Clear,
Black or Gray,Black,Grey,
Black or Green,Black,Green,
Black or Light Gray,Black,Grey,
Black or Lime,Black,Green,
Black or Natural,Black,Tan/Beige,
Black or Navy,Black,Blue,
Black or Navy Pin Stripe,Black,Blue,
Black or Red,Black,Red,
Black or Royal,Black,Blue,
Black or Silver,Black,Silver,
Black or White,Black,White,
Black or Yellow,Black,Yellow,
Black/Black,Black,,
Black/Gray,Black,Grey,
Black/Khaki,Black,Tan/Beige,
Black/Orange,Black,Orange,
Black/Red,Black,Red,
Black/White,Black,White,
Black/White or Navy/White,Black,White,Blue
Blue,Blue,,
Blue and Clear,Blue,Clear,
Blue or Brown,Blue,Brown,
Blue or Camouflage,Blue,Green,
Blue or Clear,Blue,Clear,
Blue or Graphite,Blue,Grey,
Blue or Gray,Blue,Grey,
Blue or Green,Blue,Green,
Blue or Pink,Blue,Pink,
Blue or Red,Blue,Red,
Blue or Silver,Blue,Silver,
Blue or Titanium,Blue,Grey,
Blue or White,Blue,White,
Blue/Black,Blue,Black,
Blue/Green or Red/Black,Blue,Green,Red
Blue/White,Blue,White,
Blue/White or Red/White,Blue,White ,Red
Bright Red,Red,,
Brown,Brown,,
Brown or Navy,Brown,Navy,
Brown or Red,Brown,Red,
Brown/Black,Brown,Black,
Burgundy,Red,,
Burgundy/White,Red,White,
Camouflage,Green,,
Camouflage or Sand,Green,Tan/Beige,
Chambray,Blue,,
Champagne or Silver,Silver,,
Charcoal,Grey,,
Charcoal or Royal,Grey,Blue,
Charcoal or Silver,Grey,Silver,
Chestnut,Brown,,
Chrome,Silver,,
Clear,Clear,,
Clear or Purple,Clear,Purple,
Clear or Red,Clear,Red,
Cobalt,Blue,,
Component or Wood,Brown,,
Copper,Gold,,
Corporate Blue,Blue,,
Corporate Red,Red,,
Cream,Tan/Beige,,
Cream or White,Tan/Beige,White,
Dark Gray,Grey,,
Dark Green or Navy,Green,Blue,
Dark Teal,Blue,,
Full Color,Multicolor,,
Gold,Gold,,
Gold or Gray,Gold,Grey,
Gold or Red,Gold,Red,
Graphite,Grey,,
Gray,Grey,,
Gray or Navy,Grey,Blue,
Gray or Purple,Grey,Purple,
Gray or Red,Grey,Red,
Gray or Royal,Grey,Blue,
Gray/Black,Grey,Black,
Green,Green,,
Green and Clear,Green,Clear,
Green or Navy,Green,Blue,
Green or Orange,Green,Orange,
Green or Pink,Green,Pink,
Green or Red,Green,Red,
Green or Royal,Green,Blue,
Green or Silver,Green,Silver,
Green/White,Green,White,
Gunmetal,Grey,,
Gunmetal or Red,Grey,Red,
Hntr Grn,Green,,
Indigo,Purple,,
Indigo or Sand,Purple,Tan/Beige,
Khaki,Tan/Beige,,
Khaki or Natural,Tan/Beige,,
Lime,Green,,
Lime or Red,Green,Red,
Lime or Royal,Green,Blue,
Lime or White,Green,White,
Magenta,Pink,,
Mahogany,Brown,,
Maple,Brown,,
Mocha,Brown,,
Multi-Colored,Multicolor,,
Natural,Tan/Beige,,
Natural or Red,Tan/Beige,Red,
Navy,Blue,,
Navy or Navy/Red,Blue,Red,
Navy or Orange,Blue,Orange,
Navy or Red,Blue,Red,
Navy or Royal,Blue,,
Navy or Royal/White,Blue,White,
Navy or Terra Cotta,Blue,Brown,
Navy or Turquoise,Blue,,
Navy or White,Blue,White,
Navy/Gray,Blue,Grey,
Navy/White,Blue,White,
Navy/White or Royal/White,Blue,White,
