SKU,Product Line,Name,Item Color,Description,Features,Finish / Material,IsAdvantage24,Categories,Decoration Methods,Item Size,Decoration Height,Decoration Width,LessThanMin1Qty,LessThanMin1Charge,PricePoint1Qty,PricePoint1Price,PricePoint1Code,PricePoint2Qty,PricePoint2Price,PricePoint2Code,PricePoint3Qty,PricePoint3Price,PricePoint3Code,PricePoint4Qty,PricePoint4Price,PricePoint4Code,PricePoint5Qty,PricePoint5Price,PricePoint5Code,PricePoint6Qty,PricePoint6Price,PricePoint6Code,End Column Price,Catalog Page,Box Weight,Quantity Per Box,Box Length,Paper Insert Initial Setup,Paper Insert Repeat Setup,Production Time,ProductID
BA100N,Basics,Galsino,Blue,Ballpoint Pen / Stylus,"Twist-action mechanism, solid brass cap, textured black grip.",Brass,YES,"Ballpoint Pens, Multi-Function Pens","Print, Laser & Oxidation, Laser & Oxidation",5/8 W x 5 1/2 H x 1/2 D,1/1/2002,5/16/2015,25,30,100,5,c,250,4.75,c,500,4.5,c,1000,4.25,c,0,0,c,0,0,c,4.25,0,43,750,14,0,0,5-7 Working Days,1789
BA1400R,Basics,Ciceron,Red,Ballpoint Pen,Mini-clip ballpoint pen.,Brass,YES,"Ballpoint Pens, Carabiners, Multi-Function Pens",Laser,0 W x 0 H x 0 D,5/16/2015,1/1/2002,25,30,100,4,c,250,3.75,c,500,3.5,c,1000,3.25,c,0,0,c,0,0,c,3.25,0,22,400,10,0,0,5-7 Working Days,1797
BA1500B,Basics,Vika,Black,Ballpoint Pen,"Plunge-action mechanism, solid brass oval barrel, two tone lacquer / chrome finish.",Brass,YES,Ballpoint Pens,"Laser, Laser",5/8 W x 5 3/8 H x 7/16 D,2,1/4/2015,50,25,100,9.4,c,250,9.1,c,500,8.8,c,1000,8.5,c,0,0,c,0,0,c,8.5,LM_34,45,425,12,0,0,5-7 Working Days,2107
BA1500N,Basics,Vika,Blue,Ballpoint Pen,"Plunge-action mechanism, solid brass oval barrel, two tone lacquer / chrome finish.",Brass,YES,Ballpoint Pens,"Laser, Laser",5/8 W x 5 3/8 H x 7/16 D,2,1/4/2015,50,25,100,9.4,c,250,9.1,c,500,8.8,c,1000,8.5,c,0,0,c,0,0,c,8.5,LM_34,45,425,12,0,0,5-7 Working Days,2107
BA1500S,Basics,Vika,Matte Silver,Ballpoint Pen,"Plunge-action mechanism, solid brass oval barrel, two tone lacquer / chrome finish.",Brass,YES,Ballpoint Pens,"Laser, Laser",5/8 W x 5 3/8 H x 7/16 D,2,1/4/2015,50,25,100,9.4,c,250,9.1,c,500,8.8,c,1000,8.5,c,0,0,c,0,0,c,8.5,LM_34,45,425,12,0,0,5-7 Working Days,2107
BA1800N,Basics,Stinardi,Blue,Ballpoint Pen,"Solid brass barrel, state of the art laser engraved logo, twist-action mechanism, black ink",Brass,YES,Ballpoint Pens,"Laser, Laser",5/8 W x 5 3/8 H x 1/2 D,1/1/2002,5/16/2015,25,30,100,7.85,c,250,7.55,c,500,7.25,c,1000,6.95,c,0,0,c,0,0,c,6.95,0,29,400,12,0,0,5-7 Working Days,2110
BA1800Z,Basics,Stinardi,Brown,Ballpoint Pen,"Solid brass barrel, state of the art laser engraved logo, twist-action mechanism, black ink",Brass,YES,Ballpoint Pens,"Laser, Laser",5/8 W x 5 3/8 H x 1/2 D,1/1/2002,5/16/2015,25,30,100,7.85,c,250,7.55,c,500,7.25,c,1000,6.95,c,0,0,c,0,0,c,6.95,0,29,400,12,0,0,5-7 Working Days,2110
BA2000G,Basics,Stinardi,Green,Ballpoint Pen,"Solid brass barrel, state of the art laser engraved logo, push-action mechanism, black ink.",Brass,YES,Ballpoint Pens,"Laser, Laser",5/8 W x 5 5/16 H x 1/2 D,1/1/2002,1/4/2015,25,30,100,4.95,c,250,4.95,c,500,4.95,c,1000,4.95,c,0,0,c,0,0,c,4.95,0,28,300,14,0,0,5-7 Working Days,2113
BA2000P,Basics,Stinardi,Purple,Ballpoint Pen,"Solid brass barrel, state of the art laser engraved logo, push-action mechanism, black ink.",Brass,YES,Ballpoint Pens,"Laser, Laser",5/8 W x 5 5/16 H x 1/2 D,1/1/2002,1/4/2015,25,30,100,4.95,c,250,4.95,c,500,4.95,c,1000,4.95,c,0,0,c,0,0,c,4.95,0,28,300,14,0,0,5-7 Working Days,2113
BA2000R,Basics,Stinardi,Red,Ballpoint Pen,"Solid brass barrel, state of the art laser engraved logo, push-action mechanism, black ink.",Brass,YES,Ballpoint Pens,"Laser, Laser",5/8 W x 5 5/16 H x 1/2 D,1/1/2002,1/4/2015,25,30,100,4.95,c,250,4.95,c,500,4.95,c,1000,4.95,c,0,0,c,0,0,c,4.95,0,28,300,14,0,0,5-7 Working Days,2113
