Product Line,ChargeName,ChargeType,Imprint Name,Description,Charge,Column Code
Basics,Setup (g),IMPRINT,Laser,Laser per logo/location,56.25,g
Basics,Setup (g),OTHER,,Personalization Setup,56.25,g
Basics,Setup (g),IMPRINT,Deboss,Debossed per logo/location,100,g
Basics,Setup (g),IMPRINT,Print,Print per location/color,56.25,g
Basics,Setup (g),IMPRINT,Vinyl,Vinyl/Dome,56.25,g
Basics,Setup (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Basics,Setup (g),OTHER,,ColorSplash,56.25,g
Basics,Setup (g),OTHER,,Embroidery (up to 7500 stiches) $20 per 1000st thereafter,100,g
Basics,Setup (g),OTHER,,Color Change,25,g
Basics,Repeat (g),IMPRINT,Laser,Laser per logo/location,25,g
Basics,Repeat (g),IMPRINT,Laser,Personalization (laser),25,g
Basics,Repeat (g),IMPRINT,Deboss,Deboss,25,g
Basics,Repeat (g),IMPRINT,Print,Print per location/color,25,g
Basics,Repeat (g),IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),56.25,g
Basics,Repeat (g),IMPRINT,Vinyl,Vinyl panel or dome (Full color),25,g
Basics,Repeat (g),OTHER,,ColorSplash,25,g
Basics,Repeat (g),IMPRINT,Print,Color Change,25,g
Basics,Repeat (g),IMPRINT,Embroidery,Embroidery,0,g
Basics,Additional Color / Locations,OTHER,,Laser,0.4,g
Basics,Additional Color / Locations,OTHER,,Oxidation,0.25,g
Basics,Additional Color / Locations,IMPRINT,Laser,Personalization (laser),1,g
Basics,Additional Color / Locations,IMPRINT,Etched,Crystal,8,g
Basics,Additional Color / Locations,IMPRINT,Deboss,Deboss,0.4,g
Basics,Additional Color / Locations,IMPRINT,Vinyl,Vinyl/Dome,0.4,g
Basics,Additional Color / Locations,IMPRINT,Full Color Transfer,Full Color Transfer (soft goods - 250 piece min.),1.25,g
Basics,Additional Color / Locations,OTHER,,Print - Logomark,0.4,g
Basics,Additional Color / Locations,IMPRINT,Print,Print - Valumark,0.25,g
Basics,Additional Color / Locations,OTHER,,ColorSplash,0.4,g
Basics,Additional Color / Locations,IMPRINT,Embroidery,Embroidery (per 1000 stiches min 7500 stiches),0.3,g
Basics,Miscellaneous (g),OTHER,,Insertion Charge,0.25,g
Basics,Miscellaneous (g),OTHER,,Less Than Minimum 1/2 First column (Absolute Minimum),50,g
Basics,Miscellaneous (g),OTHER,,Less Than Minimum Transfers,100,g
Basics,Miscellaneous (g),OTHER,,Art Proof (after 1st proof),10,g
Basics,Miscellaneous (g),OTHER,,Custom Die Charge,175,g
Basics,Miscellaneous (g),OTHER,,Pre-Production Proof,50,g
Basics,Miscellaneous (g),OTHER,,Art - Cleanup per 1/2 hour or typeset,25,g
Basics,Miscellaneous (g),OTHER,,Label Application,0.15,g
Basics,Miscellaneous (g),OTHER,,Hangtag,0.15,g
Basics,Miscellaneous (g),OTHER,,Kitting per item per kit,0.25,g
