main_color,px_color1,px_color2,px_color3
Aluminum,Silver,,
Aqua,Blue,,
Bamboo,Brown,,
Black,Black,,
Blue,Blue,,
Bronze,Gold,,
Brown,Brown,,
Brushed,,,
Burgundy,Red,,
Camouflage,Green,,
Carbon Fiber,Black,,
Charcoal,Grey,,
Chrome,Silver,,
Clear,Clear,,
Copper,Gold,,
Cream,Tan/Beige,,
Earth,,,
Forest,Green,,
Gold,Gold,,
Green,Green,,
Grey,Grey,,
Gunmetal,Grey,,
Ivory,White,,
Khaki,Tan/Beige,,
Light Blue,Blue,,
Light Green,Green,,
Lime,Green,,
Lime Green,Green,,
Mahogany,Brown,,
Maroon,Red,,
Matte Silver,Silver,,
Multi-Colored,Multicolor,,
Natural,Tan/Beige,,
Navy,Blue,,
Neon Blue,Blue,,
Neon Green,Green,,
Neon Orange,Orange,,
Neon Pink,Pink,,
Olive,Green,,
Orange,Orange,,
Peach,Orange,,
Pearl White,White,,
Pink,Pink,,
Purple,Purple,,
Red,Red,,
Rose-Gold,Gold,,
Rosewood,Brown,,
Royal,Blue,,
Sand,Tan/Beige,,
Satin-Chrome,Silver,,
Satin-Nickel,Silver,,
Satin-Silver,Silver,,
Silver,Silver,,
Silver-Black,Silver,Black,
Silver-Gold,Silver,Gold,
Smoke,Grey,,
Steel,Silver,,
Tan,Tan/Beige,,
Tangerine,Orange,,
Teal,Blue,,
Walnut,Brown,,
White,White,,
Yellow,Yellow,,
