main_color,px_color1,px_color2,px_color3
193 Red,Red,,
200 Red,Red,,
208 Maroon,Red,,
2935 Dark Blue,Blue,,
349 Dark Green,Green,,
354 Green,Green,,
354 Light Green,Green,,
431 Gray,Grey,,
7499 Yellow,Yellow,,
A619 Yellowstone National Park,,,
A620 Autumn Reflections,,,
A621 Summer Barn,,,
A622 Corgi,,,
A623 Playful Kitten,,,
A624 Whitetail,,,
A625 Mustangs,,,
A626 Rustic Retreat - Whitetail Deer,,,
A627 Birth of Jesus,,,
A641 Yellowstone National Park,,,
A642 Summer Barn,,,
A643 Daily Devotion,,,
A644 Above the Clouds - Bald Eagle,,,
A648 Yellowstone National Park,,,
A649 Summer Barn,,,
A650 Rustic Retreat - Whitetail Deer,,,
A651 USA MAP,,,
A652 Mount Rainier,,,
A653 Birth of Jesus,,,
A654 Feeding the Five Thousand,,,
A655 Family,,,
A656 Puppy,,,
A657 White-tailed Deer,,,
A658 OK Slip Falls,,,
A659 Glacier National Park,,,
A660 Barn,,,
A661 Woman in Bikini,,,
A662 Bass Harbor Lighthouse,,,
A663 Kitten,,,
Amber,,,
American Flag (186 Red and 293 Blue only),,,
American Ribbon (186 Red and 293 Blue only),,,
Americana,,,
Ancient History,,,
Angles,,,
Antique Gold,Gold,,
Antique Silver,Silver,,
Apple Green,Green,,
Apple Green (Dot),Green,,
Apple Green Stripe,Green,,
Apple Green/Navy,Green,Blue,
Aqua,Blue,,
Archers,,,
Artistic,,,
Assorted Colors,,,
Atomic Dots,,,
Autumn,,,
Awareness Ribbon,,,
Ballet,,,
Barn,,,
Baseball,,,
Basketball,,,
Beige,Tan/Beige,,
Black,Black,,
Black Mat with Silver Bag,Black,Silver,
Black Sparkle,Black,,
Black Steel,Black,,
Black w/Black Ink,Black,,
Black w/Blue Ink,Black,,
Black(gunmetal),Black,,
Black/Apple Green,Black,Green,
Black/Blue,Black,Blue,
Black/Blue Plaid,Black,Blue,
Black/Blue/Clear,Black,Blue,Clear
Black/Brown,Black,Brown,
Black/Burgundy,Black,Red,
Black/Burnt Orange,Black,Orange,
Black/Charcoal,Black,Grey,
Black/Clear,Black,Clear,
Black/Clear/Blue,Black,Clear,Blue
Black/Dark Gray,Black,Grey,
Black/Fern,Black,Green,
Black/Frost,Black,Clear,
Black/Fuchsia,Black,Pink,
Black/Gold,Black,Golf,
Black/Gold/Blue,Black,Gold,Blue
Black/Gold/Silver,Black,Gold,Silver
Black/Goldenrod,Black,Gold,
Black/Gray,Black,Grey,
Black/Gray/White,Black,Grey,White
Black/Green,Black,Green,
Black/Light Blue,Black,Blue,
Black/Lime,Black,Green,
Black/Loden,Black,Green,
Black/Multicolor,Black,Multicolor,
Black/Navy,Black,Blue,
Black/Olive,Black,Green,
Black/Orange,Black,Orange,
Black/Petal,Black,,
Black/Pink,Black,Pink,
Black/Purple,Black,Purple,
Black/Red,Black,Red,
Black/Red Plaid,Black,Red,
Black/Red/Gray,Black,Red,Grey
Black/Red/White,Black,Red,White
Black/Royal,Black,Blue,
Black/Sand,Black,Tan/Beige,
Black/Silver,Black,Silver,
Black/Silver/Blue,Black,Silver,Blue
Black/Silver/Gold,Black,Silver,Blue
Black/Sky Blue,Black,Blue,
Black/Steel Blue,Black,Blue,
Black/Teal,Black,Blue,
Black/Volt Green,Black,Green,
Black/White,Black,White,
Black/Yellow,Black,Yellow,
Blue,Blue,,
Blue (2728C),Blue,,
Blue (293C),Blue,,
Blue (299),Blue,,
Blue (Blueberry Pomegranate),Blue,,
Blue Flare,Blue,,
Blue w/Black Ink,Blue,,
Blue w/Blue Ink,Blue,,
Blue/Black,Blue,,
Blue/Black/White,Blue,Black,White
Blue/Black/Yellow,Blue,Black,Yellow
Blue/Blue,Blue,,
Blue/Clear,Blue,Clear,
Blue/Cream Plaid,Blue,Tan/Beige,
Blue/Flash/Black,Blue,Black,
Blue/Green,Blue,Green,
Blue/Navy/White,Blue,White,
Blue/Rust Plaid,Blue,,
Blue/Silver,Blue,Silver,
Blue/White,Blue,White,
Blue/Yellow,Blue,Yellow,
Blue/Yellow/Black,Blue,Yellow,Black
Bolded Get Well,,,
Bone,White,,
Brass-Plated,Gold,,
Break-Up Ultimate,,,
Brick Red,Red,,
Bright Orange,Orange,,
Bronze,Gold,,
Brown,Brown,,
Brown/Black,Brown,Black,
Brown/Blue Plaid,Brown,,
Brown/Orange,Brown,Orange,
Brown/White,Brown,White,
Brushed Zinc,Grey,,
Bubblegum Pink,Pink,,
Bubbles,,,
Buildings,,,
Burgundy,Red,,
Burgundy w/Black Ink,Red,,
Burgundy w/Blue Ink,Red,,
Burgundy/Black,Red,Black,
Burgundy/Sunglow,Red,Yellow,
Burnt Orange,Orange,,
Butcher Block,Brown,,
Calendar,,,
Camo,Green,,
Camouflage,,,
Candy Canes,,,
Car,,,
Carolina Blue,Blue,,
Celtic Corners,,,
Celtic Flowers,,,
Charcoal,Grey,,
Charcoal/Apple Green,Grey,Green,
Charcoal/Black,Grey,Black,
Charcoal/Black/Lime,Grey,Black,Green
Charcoal/Glacier Blue,Grey,Blue,
Charcoal/Navy,Grey,Blue,
Charcoal/Orange,Grey,Orange,
Charcoal/Purple,Grey,Purple,
Charcoal/Red,Grey,Red,
Charcoal/Red/White,Grey,Red,White
Charcoal/Royal,Grey,Blue,
Charcoal/White/Dark Red,Grey,White,Red
Cherry,Red,,
Chocolate,Brown,,
Chrome,Silver,,
Circle,,,
City,,,
Classic Charcoal,Grey,,
Clear,Clear,,
Clear with Green Tint,Clear,Green,
Clear/Antique Beige,Clear,Tan/Beige,
Clear/Black,Clear,Black,
Clear/Black w/Black Ink,Clear,Black,
Clear/Black w/Blue Ink,Clear,Black,
Clear/Blue,Clear,Blue,
Clear/Blue w/Black Ink,Clear,Blue,
Clear/Blue w/Blue Ink,Clear,Blue,
Clear/Blue/Black,Clear,Blue,
Clear/Blue/Silver,Clear,Blue,Silver
Clear/Clear,Clear,,
Clear/Frost,Clear,,
Clear/Globe,Clear,,
Clear/Gold,Clear,Gold,
Clear/Golfball,Clear,,
Clear/Gray,Clear,Grey,
Clear/Green,Clear,Green,
Clear/Green w/Black Ink,Clear,Green,
Clear/Green w/Blue Ink,Clear,Green,
Clear/Green/Yellow,Clear ,Green,
Clear/Lime,Clear,Green,
Clear/Merlot,Clear,Red,
Clear/Mossy Oak Break-Up(R) Camouflage,Clear,Green,
Clear/Multicolor,Clear,Multicolor,
Clear/Natural,Clear,Tan/Beige,
Clear/Orange,Clear,Orange,
Clear/Pink,Clear,Pink,
Clear/Purple,Clear,Purple,
Clear/Purple w/Black Ink,Clear,Purple,
Clear/Purple w/Blue Ink,Clear,Purple,
Clear/Red,Clear,Red,
Clear/Red w/Black Ink,Clear,Red,
Clear/Red w/Blue Ink,Clear,Red,
Clear/Royal,Clear,Blue,
Clear/Silver,Clear,Silver,
Clear/Smoke,Clear,Grey,
Clear/Stone,Clear,Tan/Beige,
Clear/Translucent Blue,Clear,Blue,
Clear/Translucent Green,Clear,Green,
Clear/Translucent Red,Clear,Red,
Clear/White,Clear,White,
Clear/Yellow,Clear,Yellow,
Clouds,,,
Cobalt,,,
Coffee Cup,,,
Cognac,Green,,
Color Choice 354 Green,Red,,
Color Choice 485 Red,Blue,,
Color Choice Building Block Blue,Blue,,
Color Wheel,,,
Colorful Flow,,,
Columbia Blue/Navy,Blue,,
Contemporary,,,
Copper,Gold,,
Corner Block,,,
Craft Brew,,,
Craftsman,,,
Cream,Tan/Beige,,
Custom Color,,,
Customer Supplied Artwork,,,
