slug,display_name
black,"Black"
white,"White"
red186,Red
red208,Burgundy
purple205,Magenta
pink211,Pink
white1345,Cream
orange172,Orange
yellow114,Lemon
yellow116,Athletic Gold
teal327,Teal
teal316,Dark Teal
green365,Green
green341,Forest Green
process_blue,Process Blue
blue293,Royal Blue
reflex_blue,Reflex Blue
blue281,Navy Blue
purple2587,Purple
brown1545,Brown
grey424,Charcoal Grey
gold872,Metallic Gold
silver877,Metallic Silver
copper876,Metallic Copper
green8203,Metallic Green
purple8085,Metallic Magenta
