itemno,productCode,productname,category,subcategory,year_new,iscloseout,Origin,ISGreen,leadtime(days),productdescription,packaging,setupCharge,productcolors,imprintmethods,primary_imprint_area,Primary_Imprint_method,Primary_imprint_location,Primary_imprint_height,Primary_imprint_width,keywords,productimageURL,ProductThumbnailURL,PriceCode,Minimum,Column_1_Max,Price1,Column_2_min,Column_2_max,Price2,Column_3_min,Column_3_max,price3,column_4_min,Column_4_max,Price4,PiecesPerBox,BoxLBS,BoxLength,BoxWidth,BoxHeight,Item_Height,Item_Width,Item_Depth,ItemWeightLbs
1232,BBQ,BBQ Set,HomeStyles,BBQ,2002,N,China,N,3,"Implements made with FDA compliant Stainless, 18 piece set with carrying case includes spatula w/bottle opener, tongs, fork, carving blade, sauce brush, BBQ rack cleaner, 4 kebab skewers w/push slides, 4 sets of corn cob holders,",White Gift Box,One Time $55.00 (G),Black,Digital Laminate Panel,"3 3/8""h x 7 5/8""w ",Digital Laminate Panel,Center of Case,3.375,7.625,"HomeStyles | Brush | Made | Grill | Barbecue | Barbeque | grilling | Tool | Tools | 18 | Optional | $3.00 | (up | Includes | w/bottle | Implements | Fork | Sets | Aluminum | 1232 | BBQ | Set | blade, | slides | Lifestyles | Corn | Stainless | Carrying | Holders | Supports | FDA | 4 | Compliant | w/push | one | Opener | Skewers | Tongs, | Plate: | plus | colors) | sauce | Tongs | Time | carving | of | Set-Up | rack | with | kebab | piece | (G) | Cleaner | $50.00 | 4 | Laminate | a | Case | Blade | Black | Panel | Cob | Brush, | Fork, | opener, | slides, | Ensemble | Pour | spatula | (G)/unit |  | cleaner, | Digital | to |",http://ca.starline.com/content/image/product/pp_1232.jpg,http://ca.starline.com/content/image/product/tn_1232.jpg,4C                         ,12,24,45.79,25,49,44.34,50,99,42.89,100,249,39.99,4,30,24,13,14,3,11.5,23,7.5
1240,BBQ5,5 Pc. Deluxe BBQ Set,HomeStyles,BBQ,2003,N,China,N,3,"Implements made with FDA compliant Stainless, Elegant metal carrying case, with quality corner finishing and hinging., Includes spatula with built in serrated blade and bottle opener, tongs, fork, cutting knife and sauce brush,",White Gift Box,One Time $55.00 (G),Silver,Digital Laminate Panel,"3""h x 7""w ",Digital Laminate Panel,Center of Case,3,7,"HomeStyles | 18-10 | FDA | Serrated | Made | Barbeque | Barbecue | grilling | Grill | Tools | Tool | In | Bottle | (G)/unit | Time | (G) | Fork, | Blade |  | Opener | and | Set-Up | one | Pc. | steel | Digital | BBQ5 | a | $3.00 | Lifestyles | Case | Pour | finishing | Knife | 4 | Panel | hinging | and | Fork | Ensemble | plus | colors) | Quality | Compliant | to | Elegant | Tongs | with | 5 | built | Brush | 1240 | Tongs, | Optional | opener, | Includes | PC | Utensils | Carrying | Cutting | $50.00 | metal | Corner | Deluxe | BBQ | Sets | Aluminum | Plate: | Laminate | spatula | (up | Stainless | Set | sauce | Implements | Silver |",http://ca.starline.com/content/image/product/pp_1240.jpg,http://ca.starline.com/content/image/product/tn_1240.jpg,4C                         ,12,24,56.09,25,49,54.32,50,99,52.54,100,249,48.99,5,32,21,19,10,3.375,19.5,9,6.4
1241,BBQ4,24 Pc. Deluxe BBQ Set,HomeStyles,BBQ,2003,N,China,N,3,"Implements made with FDA compliant Stainless, Includes spatula with built in serrated blade and bottle opener, fork, sauce brush, tongs, cutting knife, grill cleaner, 6 steak knives, 6 forks, 4 BBQ skewers and seasoning shakers,",White Gift Box,One Time $55.00 (G),Silver,Digital Laminate Panel,"3 3/8""h x 7 5/8""w ",Digital Laminate Panel,Center of Case,3.375,7.625,"HomeStyles | Made | Barbecue | Barbeque | grilling | Tool | Tools | Aluminum | to | (up | Knife | Brush, | Blade | steel | 6 | Pour | Serrated | spatula | 6 | Time | a | Knives | $3.00 | Knife, | Silver | Plate: | shakers | FDA | Laminate | Forks | Cleaner | plus | Opener |  | Digital | Lifestyles | Knives, | Includes | colors) | Ensemble | Stainless | 1241 | and | Utensils | BBQ4 | $50.00 | Pour | 4 | PC | Pc. | Grill | Set-Up | seasoning | In | Deluxe | Forks, | Bottle | Brush | opener, | 18-10 | BBQ | and | Sets | Fork, | Panel | Implements | built | cleaner, | 24 | Fork | Tongs, | one | Set | Skewers | Compliant | with | (G) | sauce | Steak | (G)/unit | Optional | Tongs | Cutting |",http://ca.starline.com/content/image/product/pp_1241.jpg,http://ca.starline.com/content/image/product/tn_1241.jpg,4C                         ,6,11,82.59,12,35,80.19,36,71,77.79,72,99,72.99,4,41,21,15,13,3.375,20,12,10.25
1252,BBQ6,3 Pc. Executive Barbecue Set,HomeStyles,BBQ,2004,N,China,N,3,"18-10 Stainless Steel utensils with Manchurian ash handles, Elegant Wood carrying case, Includes Spatula with Bottle Opener, Tongs and Fork, Implements made with FDA compliant Stainless,",White Gift Box,$55.00(G),Wood,Laser Engraving,"1 1/2""h x 3 1/2""w ",Laser Engraving,Aluminum Plate,1.5,3.5,"HomeStyles | PC | Made | Barbeque | Grill | grilling | Tool | Tools | Laser | Plate | Opener | Includes | Ash | Bottle | Wood | Case | Utensils | 1252 | Manchurian | Tongs | Executive | Handles | spatula | BBQ6 |  | Wooden | Implements | piece | (G) | Compliant | 18-10 | Stainless | 3 | $50.00 | Sets | Ensemble | Wash"" | Set | opener, | Carrying | Fork | BBQ | and | Aluminum | Elegant | on | with | steel | Handled | Engraving | Only | Lifestyles | Barbecue | FDA | ""Hand | Recommended |",http://ca.starline.com/content/image/product/pp_1252.jpg,http://ca.starline.com/content/image/product/tn_1252.jpg,4C                         ,6,11,77.49,12,35,75.12,36,71,72.74,72,99,67.99,3,26,23,13,9,3.5,21.25,7,8.666666667
1253,BBQ7,5 Pc. Executive Barbecue Set,HomeStyles,BBQ,2004,N,China,N,3,"18-10 Stainless Steel utensils with Manchurian ash handles, Elegant wood carrying case, Implements made with FDA compliant Stainless, Includes Spatula with Bottle Opener, Tongs, Fork, Cutting Knife and Basting Brush,",White Gift Box,$55.00(G),Wood,Laser Engraving,"1 1/2""h x 3 1/2""w ",Laser Engraving,Aluminum Plate,1.5,3.5,"HomeStyles | PC | on | Made | Barbeque | Grill | grilling | Tools | Tool | Set | Lifestyles | Fork, | Handled | Utensils | Carrying | with | BBQ |  | Fork | opener, | Manchurian | Executive | BBQ7 | Stainless | Brush | Handles | Opener | Tongs | Laser | FDA | Wood | 1253 | Wash"" | Barbecue | piece | Compliant | Includes | Elegant | Sets | Plate | Basting | Cutting | steel | Tongs, | Ensemble | Knife | Only | Ash | spatula | and | 5 | Wooden | Implements | (G) | Case | Engraving | 18-10 | Aluminum | Pour | sauce | Bottle | ""Hand | Recommended | $50.00 |",http://ca.starline.com/content/image/product/pp_1253.jpg,http://ca.starline.com/content/image/product/tn_1253.jpg,4C                         ,6,11,110.29,12,35,107.22,36,71,104.14,72,99,97.99,2,25,23,10,13,4,21,11,12.5
1255,BBQ35,4 Pc Deluxe BBQ Set,HomeStyles,BBQ,2014,N,China,N,3," Wood and Stainless Steel BBQ set is constructed out of FDA compliant materials. , Includes spatula, tongs, silicone basting brush and fork., Comes in a black EVA molded zippered case and furnished with carry handles for easy transport.,",Gift Box,$55.00 (G),Black,"Digital Laminate Panel, Laser Engraving","2""h x 4""w ",Digital Laminate Panel,Center of Plate,2,4,Deluxe | Set | PC | 4 | BBQ | HomeStyles | 1255;BBQ35 | is | of | steel | FDA | Stainless | constructed | Compliant | and | Wood | Materials | out | spatula | Basting | Tongs | Fork | Includes | Silicone | Brush | Easy | Black | molded | a | Handles | Transport | Case | Carry | Zippered | with | Comes | For | EVA | In | furnished | Panel | Laminate | Digital | Laser | Engraving | Barbecue | BBQ35 | 1255 |,http://ca.starline.com/content/image/product/pp_1255.jpg,http://ca.starline.com/content/image/product/tn_1255.jpg,4C                         ,12,24,49.19,25,49,47.64,50,99,46.09,100,249,42.99,8,32,17.91,16,14,3.25,16,5.5,4
1256,BBQ12,BBQ Fork Thermometer,HomeStyles,BBQ,2005,N,China,N,3,"Jumbo Blue LCD display, Fork made with FDA compliant Stainless, Includes 2 AAA batteries, Precision digital thermometer (¡C/¡F), Built-in count up/count down timer,",Gift Box,$55.00(G),Gray,Pad Printing," 1/2""h x  5/8""w ",Pad Printing,Front,0.5,0.625,"HomeStyles | Made | with | Barbecue | Barbeque | grilling | Grill | Tool | Tools | AAA | Gray | Meat | Rare, | BBQ12 |  | Auto-Off | $0.50 | Taste | (G)/color/location | 2 | Medium | Pork | Lifestyles | Display | Stainless | (¡C/¡F | on | Selector | Battery | Rare | Veal | Fork | Rare, | Includes | FDA | Beef | Jumbo | one | Compliant | Pad | Saver | steel | Down | Silkscreen | location | Pour | Lamb | Chicken | Veal, | Medium | Timer | Thermometer | 1256 | Turkey | Rare | LCD | Standard | $50.00 | up/count | Color | Pork, | Well | Precision | Beef, | Sets | Printing | Blue | one | BBQ | Count | (G)/unit. | Batteries | and | Turkey, | Built-in | Digital | Done |",http://ca.starline.com/content/image/product/pp_1256.jpg,http://ca.starline.com/content/image/product/tn_1256.jpg,4C                         ,36,71,16.39,72,143,15.87,144,249,15.34,250,499,14.29,40,15,14,14,18,1.5,1.5,13.5,0.375
1274,BBQ24,Delta BBQ Set 7 Piece,HomeStyles,BBQ,2008,N,China,N,3,"Includes BBQ Fork Thermometer, BBQ Grill Light, Tongs, Cutting Blade, Spatula with Serrated Blade, BBQ Brush and Silicone Basting Brush, Newly Designed Aluminum Case with Black Finish, Batteries not included, Incorporates Ergonomic Rubber Grips with Stainless Steel, Implements made with FDA compliant Stainless,",White Gift Box,$55.00(G),Black,Laser Engraving,"2""h x 4""w ",Laser Engraving,Aluminum Plate,2,4,"HomeStyles | (G) | Made | Barbeque | Barbecue | grilling | Tool | Tools | Silicon | not | sauce | Optional | blade, | BBQ24 | and | Rubber | 1274 | Batteries | $50.00 | Lifestyles | New | Incorporates | 4 | Black | Thermometer |  | Aluminum | blade, | Engrving | Delta | Knives: | 2 | Grill | Grips | steel | Tongs | Laser | (Not | on | Included) | Requires | with | Implements | BBQ | Plate | Brush | Brush | Designed | Serrated | Fork | Blade | Pour | Set-Up | Basting | Pending | spatula | piece | $1.20 | Design | Compliant | Engraving | Case | Includes | 7 | Finish | Pour | AAA | Tongs, | Requires | AA | Stainless | Silicone | Sets | Ensemble | Ergonomic | Cutting | Pour | Batteries | plus | FDA | Included | Thermometer, | Light | Patent | Newly | Blade | (G)/utensil | Set | Light, |",http://ca.starline.com/content/image/product/pp_1274.jpg,http://ca.starline.com/content/image/product/tn_1274.jpg,4C                         ,6,11,100.09,12,35,97.19,36,71,94.29,72,99,88.49,4,37,21,16,13,3.375,12.25,20,9.25
1275,BBQ25,5 pc. Bamboo BBQ Set,HomeStyles,BBQ,2008,N,China,Y,3,"Stored in a 600D Nylon Zippered Case with Adjustable Shoulder Strap, Implements made with FDA compliant Stainless, Bamboo Handles Complement Metal Implements with Non-Stick Coating and Comfortable Hand Grips, Bamboo handles complement metal implements and comfortable hand grips,",Polybag,$55.00(G)/color/panel (GeoPanel: one time set-up),Yellow,"Silkscreen, Laser Engraving, Geo-Panel","3""h x 4""w ",Silkscreen,Front Pocket,3,4,"HomeStyles | Stainless | Made | Barbecue | Barbeque | grilling | Tools | Tool | Silicon | Engraving | Laser | Bamboo | Comfortable | Nylon | process) | Complement | Includes | Zippered | Screen | Yellow | with | Stored | Fork, | BBQ25 | one | (G)/unit | or | process) | Standard | Basting | information | and | 600D | Grill | BBQ | Geo-Panel | Non-Stick | PC | a | Handles | Implements | Silicone | GeoPanel | Strap | $50.00 | (up | contact | Spatula, | (up | Shoulder | metal | Brush | to | to | Silkscreen | 5 | Grips | pricing | Compliant | Color | Hand | location. | Coating | 4 | Color | Case | Lifestyles | 1275 | Tongs, | on | Factory | Ensemble | $0.50 | one | In |  | PermaPatch | 4 | (G)/color/panel/patch/location | For | Please | FDA | Color, | Color: | Brush | Sets | Adjustable | Set |",http://ca.starline.com/content/image/product/pp_1275.jpg,http://ca.starline.com/content/image/product/tn_1275.jpg,4C                         ,12,24,38.49,25,49,37.27,50,99,36.04,100,249,33.59,10,38,22.5,17,10.5,23.5,2.625,8,3.8
1276,BBQ26,5pc BBQ Set in Carrying Case,HomeStyles,BBQ,2008,N,China,N,3,"Stainless implements and hardwood handles with comfortable hand grips, Implements made with FDA compliant Stainless, Stored in dobby nylon zippered carrying case, Set comes with spatula, fork, tongs, silicone basting brush, grill brush, Adjustable shoulder strap,",Polybag,$55.00(G)/color/panel (GeoPanel: one time set-up),Silver,"Silkscreen, Geo-Panel","3""h x 4""w ",Silkscreen,Front Pocket,3,4,"HomeStyles | Made | Barbecue | Barbeque | grilling | Tool | Tools | Silicon | Hand | contact | Color | Wood) | Spatula, | to | Factory | 4 | Color | Comfortable | Color: | Brush | Please | Dobby | spatula | PermaPatch | one | Tongs, | Screen | FDA | Stainless | with | (up | Stored | Standard | Nylon | GeoPanel | Case | BBQ | Implements | Hardwood | Silicone | 4 | Strap | 1276 | 5pc |  | Set(Hard | process) | $0.50 | Tongs | For | Grips | Brush, | and | BBQ26 | Comes | on | Carrying | or | Color, | Adjustable | location. | process) | pricing | Fork | In | Basting | sauce | (up | Lifestyles | (G)/unit | Silkscreen | Includes | (G)/color/panel/patch/location | Set | Shoulder | Sets | information | 5 | Fork, | to | Zippered | Compliant | Handles | Geo-Panel | $50.00 | Pour | one | Grill | Silver | Ensemble |",http://ca.starline.com/content/image/product/pp_1276.jpg,http://ca.starline.com/content/image/product/tn_1276.jpg,4C                         ,18,35,34.39,36,71,33.29,72,143,32.19,144,249,29.99,10,35,23,17,12,24,8,2.25,3.5
