main_color,px_color1,px_color2,px_color3
Amber,Brown,,
Amber Lens,Brown,,
Bamboo,Tan/Beige,,
Beige,Tan/Beige,,
Berry Red,Red,,
Black,Black,,
Black Chrome,Black,,
Black/White,Black,White,
Blue,Blue,,
Blue Lens,Blue,,
Blue/Black,Blue,Black,
Blue/White,Blue,White,
Bronze,Gold,,
Brown,Brown,,
Brown Lens,Brown,,
Brown/Camo,Brown,Green,
Burgundy,Red,,
Camo,Green,,
Champagne,,,
Charcoal Gray,Grey,,
Chartreuse Green,Green,,
Clear,Clear,,
Clear Lens,Clear,,
Clear with ESP coating,Clear,,
Clear with silver I/O coating,Clear,,
Clear with silver mirror coating,Clear,,
Clear with twilight coating,Clear,,
Cobalt,Blue,,
Coffee Brown,Brown,,
Copper,Gold,,
Cream,White,,
Cyan Blue,Blue,,
Forest Green,Green,,
Gold,Gold,,
Gold Lens,Gold,,
Graphite,Grey,,
Gray,Grey,,
Gray Lens,Grey,,
Green,Green,,
Green Lens,Green,,
Green with Pink,Green,Pink,
Hot Green,Green,,
Light Blue,Blue,,
Lime Green,Green,,
Lime Yellow,Yellow,,
Lime/Gray,Green,Grey,
Maroon,Red,,
Natural,Tan/Beige,,
Navy Blue,Blue,,
Navy/White,Blue,White,
Nickel,Silver,,
Olive Green,Green,,
Orange,Orange,,
Orange Lens,Orange,,
Pink,Pink,,
Purple,Purple,,
Red,Red,,
Red/Black,Red,Black,
Royal Blue,Blue,,
Royal blue,Blue,,
Sage Green,Green,,
Select,,,
Silver,Silver,,
Silver Lens,Silver,,
Silver lens,Silver,,
Smoke,Grey,,
Stainless,Silver,,
Tan,Tan/Beige,,
Titanium,Grey,,
Transparent Green,Green,,
Transparent Red,Red,,
White,White,,
Wood,Brown,,
Yellow,Yellow,,
