main_color,px_color1,px_color2,px_color3
BABY BLUE,Blue,,
BK,Black,,
BLACK,Black,,
BLACK RED,Black,Red,
BLACK SILVER,Black,Silver,
BLACK STONE,Black,Tan/Beige,
BLACK/ GOLD,Black,Gold,
BLACK/ GREY,Black,Grey,
BLACK/ PURPLE,Black,Purple,
BLACK/ RED,Black,Red,
BLACK/ TEAL,Black,Blue,
BLACK/ WHITE,Black,White,
BLACK/RED,Black,Red,
BLAZE ORANGE,Orange,,
BLUE,Blue,,
BLUE CAROLINA,Blue,,
BLUE NAVY,Blue,,
BRIGHT ORANGE,Orange,,
BROWN,Brown,,
BROWN STONE,Brown,,
BROWN/ KHAKI,Brown,Tan/Beige,
BROWN/ STONE,Brown,Tan/Beige,
BURNT HENNA,,,
BUTTER YELLOW,Yellow,,
Baby Blue,Blue,,
Baby Pink,Pink,,
Beige,Tan/Beige,,
Beige Bamboo,Tan/Beige,,
Beige Flower,Tan/Beige,,
Black,Black,,
Black / Lime Green,Black,Green,
Black / Red,Black,Red,
Black / Solid,Black,,
Black Beige,Black,Tan/Beige,
Black Blue,Black,Blue,
Black Plaid,Black,,
Black Red,Black,Red,
Black/Blue,Black,Blue,
Black/Silver,Black,Silver,
Blue,Blue,,
Blue Electric,Blue,,
Blue Translucent,Blue,,
Blush,,,
Brown,Brown,,
Brown / Wood,Brown,,
Bubble Gum,Pink,,
Bubble Gum Pink,Pink,,
Bubblegum Pink,Pink,,
Burgundy,Red,,
Burgundy Red,Red,,
Business man,,,
CAMO,Green,,
CARDINAL,Red,,
CAROLINA BLUE,Blue,,
CHARCOAL,Grey,,
CHARCOAL/ BLACK,Grey,Black,
CHARCOAL/ GARNET,Grey,,
CHOCOLATE BROWN,Brown,,
CLEAR,Clear,,
Camo,Green,,
Camouflage,Green,,
Caribbean Blue,Blue,,
Carolina Blue,Blue,,
Carribean Blue,Blue,,
Charcoal,Grey,,
Chrome,Silver,,
Clear,Clear,,
Construction,,,
Cream,White,,
DARK GREY,Grey,,
DARK HEATHER GREY,Grey,,
DARK HEATHER/ BLACK,Grey,Black,
DARK HEATHER/ NAVY,Grey,Blue,
DARK HEATHER/ RED,Grey,Red,
DARK NAVY,Blue,,
Daffodil Yellow,Yellow,,
Doctor,,,
Dusty Rose,Red,,
Electric Blue,Blue,,
FATIGUE KHAKI,Tan/Beige,,
FOREST GREEN,Green,,
