SKU,Item Name,Catalog Page,Imprint Area,Product Description,Price Includes,Product Size,Shipping Weight (lbs),Shipping Quantity,Shipping Dimensions (inch),FOB,Additional Info,Available Colors,Product Categories,Related Products,Search Keywords
7220,Polyester Cap,243,Image Lock - 4.5W x 2H    Embroidery - 4.5W x 2H    Vivid Expressions - 4.5W x 2H,"&bull; Structured    &bull; Polyester twill    &bull; Adjustable fabric strap with hook and loop tape closure    &bull; 3.25"" crown",,,43,144,18L x 23W x 19H,63935,,"Black/Stone, Navy/Stone, Stone/Black, Stone/Navy, Royal/White, Red/White",Headwear,"7317, A412, CT843, 7221, 7275, 7310, 7315, 7320, 7360, 7362","3.25"", crown, adjustable, fabric, closure, hook, loop, polyester, strap, structured, tape, twill, with"
7221,Polyester Cap with Visor Trim,243,Image Lock - 4.5W x 2H    Embroidery - 4.5W x 2H    Vivid Expressions - 4.5W x 2H,"&bull; Structured    &bull; Polyester twill    &bull; Accent color under visor, stitching, eyelets and button to match front panel    &bull; Adjustable fabric strap with hook and loop tape closure    &bull; 3.25"" crown",,,43,144,18L x 23W x 19H,63935,,"Black/Stone, Navy/Stone, Stone/Black, Stone/Navy, Royal/White, Red/White",Headwear,"A247, A861, A527, 7220, 7275, 7315, 7320, 7360, 7362","3.25"", closure, tape, loop, hook, strap, fabric, adjustable, with, panel, match, front, eyelets, button, stitching, undervisor, color, accent, twill, polyester, structured, crown"
7275,Hi Tech Mesh Visor,,3W x 1.25H,"&bull; Cotton twill with Hi Tech mesh accent    &bull; Adjustable fabric strap with hook and loop tape closure    &bull; 2.25"" crown",,,35,144,18L x 23W x 15H,63935,,"Black/White, White/Royal, Royal/White, White/Red",Headwear,"A165353, FT822, A661, 7220, 7221, 7315, 7320, 7360, 7362","strap, mesh, closure, cotton, crown, fabric, hook, adjustable, 2.25"", accent, tape, tech, twill, loop, with"
7310,Grid Cap,235,Image Lock - 4.5W x 2H    Embroidery - 4.5W x 2H    Vivid Expressions - 4.5W x 2H,"&bull; Structured    &bull; Brushed cotton twill    &bull; Sandwich visor with matching accent stitch design    &bull; Adjustable fabric strap with hook and loop tape closure    &bull; 3.25"" crown",,,42,144,17L x 22W x 18H,63935,,"Black/Stone, Navy/Stone, Stone/Black, Royal/White, Red/White",Headwear,"7221, 7220, 8628","crown, cotton, loop, sandwich, stitch, structured, brushed, adjustable, accent, hook, 3.25"", matching, tape, twill, strap, with, visor, design, fabric, closure"
7313,Heavy Stitch Cap with Mesh,234,Image Lock - 4W x 2H    Embroidery - 4W x 2H    Vivid Expressions - 4W x 2H,"&bull; Structured    &bull; Brushed cotton twill with soft mesh back    &bull; Heavy three-ply stitch on crown and visor creates a striking visual impact    &bull; Adjustable fabric strap with hook and loop tape closure    &bull; 3.25"" crown",,,43,144,18L x 23W x 19H,63935,,"Black/Stone, Navy/Stone, Forest/Stone, Brown/Stone, Burgundy/Stone",Headwear,"A97321, F734, A97340","loop, closure, tape, structured, cotton, twill, soft, with, mesh, back, heavy, three-ply, crown, visor, stitch, creates, striking, 3.25"", visual, impact, adjustable, fabric, strap, hook"
7315,Malibu Cap,240,Image Lock - 4.5W x 2H    Embroidery - 4W x 2H    Vivid Expressions - 4.5W x 2H,"&bull; Unstructured    &bull; Cotton chino twill with mesh back    &bull; Adjustable fabric strap with hook and loop tape closure    &bull; 3.25"" crown",,,40,144,18L x 21W x 19H,63935,,"Royal/White, Chestnut/Tan, Black/White, Royal/White, Pink/White, Indigo/White",Headwear,"F720, CTG850, V7970, 7220, 7221, 7275, 7320, 7360, 7362","improved, hook, fashionable, back, closure, unstructured, chino, adjustable, 3.25"", mesh, fabric, crown, twill, strap, loop, with, tape"
7317,Fusion Cap,239,Image Lock - 4.5W x 2H    Embroidery - 4.5W x 2H    Vivid Expressions - 4.5W x 2H,"&bull; Structured    &bull; Cotton twill    &bull; Embroidered design accents on visor    &bull; Adjustable fabric strap with hook and loop tape closure    &bull; 3.25"" crown",,,43,144,18L x 23W x 19H,63935,,"Black/Silver/White, Navy/Khaki/White, Royal/Black/White, Red/Black/White",Headwear,"FT820, FT822, A518","strap, structured, hook, with, loop, design, adjustable, closure, accents, fabric, embroidered, 3.25"", cotton, crown, twill, visor, tape"
7320,All-Around Unstructured Cap,242,Image Lock - 4.5W x 2H    Embroidery - 4W x 2H    Vivid Expressions - 4.5W x 2H,"&bull; Unstructured    &bull; Brushed cotton twill    &bull; Adjustable fabric strap with hook and loop tape closure    &bull; 3"" crown",,,40,144,18L x 21W x 19H,63935,,"Black, Stone, Navy, Royal, White, Red, Stone/Black, Stone/Navy",Headwear,"V6422, A238, V6872, 7221, 7275, 7220, 7315, 7360, 7362","closure, value, line, unstructured, brushed, twill, adjustable, cotton, fabric, strap, with, hook, loop, tape, crown"
7340,Pro-Lite Cap,242,Image Lock - 4.5W x 2H    Embroidery - 4.5W x 2H    Vivid Expressions - 4.5W x 2H,"&bull; Structured    &bull; Cotton twill    &bull; Adjustable fabric strap with hook and loop tape closure    &bull; 3.25"" crown",,,43,144,18L x 23W x 19H,63935,,"Black, Burgundy, Forest Green, Khaki/Black, Khaki/Burgundy, Khaki/Forest Green, Khaki/Navy, Navy, Red, Royal, Stone, White",Headwear,A165334,"tape, loop, hook, with, strap, fabric, adjustable, twill, structured, cotton, line, value, 3.25"", closure, crown"
7360,Pro-Lite Deluxe Cap,237,Image Lock - 4.5W x 2H    Embroidery - 4.5W x 2H    Vivid Expressions - 4.5W x 2H,"&bull; Structured    &bull; Brushed cotton twill    &bull; Adjustable fabric strap with hook and loop tape closure    &bull; 3.25"" crown",,,43,144,18L x 23W x 19H,63935,,"Black, Forest Green, Navy, Red, Royal, Stone, Stone/Black, Stone/Burgundy, Stone/Forest Green, Stone/Navy, Stone/Sage, White",Headwear,"A577, A460, A165333, 7221, 7275, 7220, 7315, 7320, 7362","structured, fabric, strap, line, 3.25"", adjustable, brushed, closure, cotton, hook, with, value, twill, tape, loop, crown"
7362,Rally Cap,237,Image Lock - 4.5W x 2H    Embroidery - 4.5W x 2H    Vivid Expressions - 4.5W x 2H,"&bull; Structured    &bull; Brushed cotton twill    &bull; Trim under visor matches eyelets and button    &bull; Adjustable fabric strap with hook and loop tape closure    &bull; 3.25"" crown",,,43,144,18L x 23W x 19H,63935,,"Black/Stone, Navy/Stone, Red/White, Royal/White, Stone/Black, Stone/Navy, Forest/Stone, Burgundy/Stone",Headwear,"A745, V7960, V7920, 7221, 7275, 7220, 7315, 7320, 7360","closure, tape, loop, hook, strap, with, fabric, adjustable, button, matches, eyelets, undervisor, trim, brushed, twill, cotton, structured, line, value, 3.25"", crown"
7365,Pro-Lite Deluxe II Cap w/ Sandwich Visor,236,Image Lock - 4.5W x 2H    Embroidery - 4.5W x 2H    Vivid Expressions - 4.5W x 2H,"&bull; Structured    &bull; Brushed cotton twill    &bull; Sandwich visor    &bull; Adjustable fabric strap with hook and loop tape closure    &bull; 3.25"" crown",,,43,144,18L x 23W x 19H,63935,,"Black/Black/Stone, Khaki/Khaki/Navy, Navy/Navy/Stone, Red/Black/Red, Red/Red/White, Royal/Royal/White, Stone/Stone/Black, Stone/Navy/Stone, Stone/Black/Stone",Headwear,"F7100, F801, A407","crown, closure, value, line, structured, brushed, twill, cotton, sandwich, visor, adjustable, fabric, strap, with, hook, loop, tape, 3.25"""
7366,Jersey Mesh Cap,241,Image Lock - 3.5W x 2.5H    Embroidery - 3.5W x 2.5H    Vivid Expressions - 3.5W x 2.5H,"&bull; Structured    &bull; Polyester jersey mesh    &bull; Adjustable self-material strap with hook and loop tape closure    &bull; 3.25"" crown",,,43,144,18L x 22W x 17H,63935,,"Red, White, Royal, Navy, Black",Headwear,"AC6275, AP1270, 8615","hook, with, strap, self-material, adjustable, mesh, jersey, polyester, structured, loop, tape, closure"
7370,Pro-Mesh Cap,241,Image Lock - 4.5W x 2H    Embroidery - 4.5W x 2H    Vivid Expressions - 4.5W x 2H,"&bull; Structured    &bull; Cotton twill with mesh back    &bull; Adjustable fabric strap with hook and loop tape closure    &bull; 3.25"" crown",,,43,144,18L x 23W x 19H,63935,,"Black, Black/Black/Stone, Burgundy, Forest Green, Khaki/Black/Khaki, Khaki/Navy/Khaki, Navy, Navy/Navy/Stone, Red/Red/White, Royal/Royal/White, White",Headwear,"A402, F7104, V6450","crown, closure, 3.25"", tape, loop, hook, strap, fabric, back, adjustable, mesh, with, twill, cotton, structured, line, value"
7375,The Visor,244,Image Lock - 3W x 1.25H    Embroidery - 3W x 1.25H    Vivid Expressions - 3W x 1.25H,"&bull; Brushed cotton twill    &bull; Contrasting color sandwich    &bull; Adjustable fabric strap with hook and loop tape closure    &bull; 2.25"" crown",,,35,144,18L x 23W x 15H,63935,,"Black/White, Navy/White, Red/White, White/Navy, Royal/White",Headwear,"A165352, A420, A165338","2.25"", closure, tape, loop, hook, with, strap, adjustable, fabric, color, sandwich, contrasting, twill, cotton, brushed, line, value, crown"
7382,Staycation Cap,,4.5W x 2H,"&bull; Unstructured    &bull; Brushed cotton twill    &bull; Accent sandwich color with matching eyelets and button    &bull; Fabric strap closure with T-slider    &bull; 3.25"" crown",,,40,144,18L x 21W x 19H,63935,,"Stone/Black, Sage/Stone, Royal/White",Headwear,"A438, CT9991","fabric, eyelets, button, closure, color, cotton, crown, 3.25"", accent, brushed, t-slider, sandwich, strap, matching, twill, unstructured, with"
7391,Luge Knit Cap,,4W x 2H,&bull; 100% knitted acrylic    &bull; One size fits most,,,30,144,23L x 15W x 18H,63935,,Forest Green,,,
7430,Jersey Cap,,4.5W x 2H,"Unstructured      Jersey knit fabric      Fabric strap with brass buckle and grommet      3.25"" crown",,,38,144,21L x 19W x 18H,63935,,"Red, Royal, Black, Gray",,,
7460,Standard Visor,245,Image Lock - 4W x 1.25H      Embroidery - 4W x 1.25H    Vivid Expressions - 4W x 1.25H,"&bull; Polyester    &bull; Pro stitching on front    &bull; Double-layer sweatband    &bull; Adjustable fabric strap with hook and loop tape closure    &bull; 2.25"" crown",,,35,144,18L x 22W x 17H,63935,,"Black, Navy, Royal, Red, White",Headwear,"AP1535, A267","loop, hook, with, strap, fabric, adjustable, sweatband, double-layer, front, stitching, polyester, tape, closure, 2.25"", crown"
