main_color,px_color1,px_color2,px_color3,,,,
"Almond",,,,
"Aqua",,,,
"Aqua/French Circle",,,,
"Aqua/Royal/Gray",,,,
"Aqua/Royal/White Circle",,,,
"Avocado",,,,
"BL Black",black,,,
"Bear",,,,
"Beaver",,,,
"Bee",,,,
"Beige",,,,
"Black - Large",black,,,
"Black - Medium",black,,,
"Black - Small",black,,,
"Black - X-Large",black,,,
"Black Bear",black,,,
"Black Bubble Explosion",black,,,
"Black Bubble Explosion/Black",black,,,
"Black Bubble Explosion/Lime",black,,,
"Black Bubble Explosion/Red",black,,,
"Black Bubble Explosion/Royal",black,,,
"Black Chevron",black,,,
"Black Mode",black,,,
"Black Modern Plaid",black,,,
"Black Squa",black,,,
"Black bag; Silver flask & mugs",black,,,
"Black",black,,,
"Black/Black Bubble Explosion",black,,,
"Black/Black Chevron",black,,,
"Black/Black",black,,,
"Black/Black/Stone",black,,,
"Black/Black/White",black,,,
"Black/Charcoal",black,,,
"Black/Charcoal/Silver",black,,,
"Black/Dance",black,,,
"Black/Football",black,,,
"Black/Gold",black,,,
"Black/Graphite",black,,,
"Black/Gray",black,,,
"Black/Gray/Stripes",black,,,
"Black/Gray/Turquoise",black,,,
"Black/Gray/White",black,,,
"Black/Hexagon",black,,,
"Black/Hibiscus",black,,,
"Black/Houndstooth",black,,,
"Black/Khaki",black,,,
"Black/Lace",black,,,
"Black/Leopard",black,,,
"Black/Lime",black,,,
"Black/Lime/Hibiscus",black,,,
"Black/Lime/Plai",black,,,
"Black/Metro Dots",black,,,
"Black/Metro",black,,,
"Black/Pewter",black,,,
"Black/Purple",black,,,
"Black/Red",black,,,
"Black/Red/Gray",black,,,
"Black/Red/Hibiscus",black,,,
"Black/Red/Plaid",black,,,
"Black/Red/White Floral",black,,,
"Black/Red/White Floral/White",black,,,
"Black/Red/White Hexagon",black,,,
"Black/Red/White Hexagon/Black",black,,,
"Black/Red/White",black,,,
"Black/Royal",black,,,
"Black/Royal/Hibiscus",black,,,
"Black/Royal/Lime",black,,,
"Black/Royal/Plaid",black,,,
"Black/Royal/White",black,,,
"Black/Silver",black,,,
"Black/Silver/White",black,,,
