SKU,Item Name,Imprint Method,Pricing-Qty1,Pricing-Qty2,Pricing-Qty3,Pricing-Qty4,Pricing-Qty5,Pricing-Price1,Pricing-Price2,Pricing-Price3,Pricing-Price4,Pricing-Price5,Pricing-Code1,Pricing-Code2,Pricing-Code3,Pricing-Code4,Pricing-Code5
7220,Polyester Cap,Image Lock,48,96,144,576,1008,3.89,3.49,3.09,2.89,2.69,C,C,C,C,C
7220,Polyester Cap,Embroidery,48,96,144,576,1008,5.99,5.79,5.59,5.39,5.19,C,C,C,C,C
7220,Polyester Cap,Vivid Expressions,100,144,576,1008,,4.48,4.08,3.88,3.68,,C,C,C,C,
7220,Polyester Cap,Blank,24,96,144,576,1008,2.65,2.47,2.32,2.12,1.92,C,C,C,C,C
7221,Polyester Cap with Visor Trim,Image Lock,48,96,144,576,1008,3.89,3.49,3.09,2.89,2.69,C,C,C,C,C
7221,Polyester Cap with Visor Trim,Embroidery,48,96,144,576,1008,5.99,5.79,5.59,5.39,5.19,C,C,C,C,C
7221,Polyester Cap with Visor Trim,Vivid Expressions,100,144,576,1008,,4.48,4.08,3.88,3.68,,C,C,C,C,
7221,Polyester Cap with Visor Trim,Blank,24,96,144,576,1008,2.65,2.47,2.32,2.12,1.92,C,C,C,C,C
7275,Hi Tech Mesh Visor,Image Lock,48,96,144,576,1008,2.88,2.88,2.88,2.88,2.88,C,C,C,C,C
7275,Hi Tech Mesh Visor,Blank,24,96,144,576,1008,2.17,2.17,2.17,2.17,2.17,C,C,C,C,C
7310,Grid Cap,Image Lock,48,96,144,576,1008,5.08,4.78,4.38,4.18,3.98,C,C,C,C,C
7310,Grid Cap,Embroidery,48,96,144,576,1008,7.18,7.08,6.88,6.68,6.48,C,C,C,C,C
7310,Grid Cap,Vivid Expressions,100,144,576,1008,,5.78,5.38,5.18,4.98,,C,C,C,C,
7310,Grid Cap,Blank,24,96,144,576,1008,3.9,3.55,3.17,3.07,2.97,C,C,C,C,C
7313,Heavy Stitch Cap with Mesh,Image Lock,48,96,144,576,1008,5.08,4.78,4.38,4.18,3.98,C,C,C,C,C
7313,Heavy Stitch Cap with Mesh,Embroidery,48,96,144,576,1008,7.18,7.08,6.88,6.68,6.48,C,C,C,C,C
7313,Heavy Stitch Cap with Mesh,Vivid Expressions,100,144,576,1008,,5.78,5.38,5.18,4.98,,C,C,C,C,
7313,Heavy Stitch Cap with Mesh,Blank,24,96,144,576,1008,3.9,3.55,3.17,3.07,2.97,C,C,C,C,C
7315,Malibu Cap,Image Lock,48,96,144,576,1008,5.08,4.78,4.38,4.18,3.98,C,C,C,C,C
7315,Malibu Cap,Embroidery,48,96,144,576,1008,7.18,7.08,6.88,6.68,6.48,C,C,C,C,C
7315,Malibu Cap,Vivid Expressions,100,144,576,1008,,5.78,5.38,5.18,4.98,,C,C,C,C,
7315,Malibu Cap,Blank,24,96,144,576,1008,3.9,3.55,3.17,3.07,2.97,C,C,C,C,C
7317,Fusion Cap,Image Lock,48,96,144,576,1008,5.08,4.78,4.38,4.18,3.98,C,C,C,C,C
7317,Fusion Cap,Embroidery,48,96,144,576,1008,7.18,7.08,6.88,6.68,6.48,C,C,C,C,C
7317,Fusion Cap,Vivid Expressions,100,144,576,1008,,5.78,5.38,5.18,4.98,,C,C,C,C,
7317,Fusion Cap,Blank,24,96,144,576,1008,3.9,3.55,3.17,3.07,2.97,C,C,C,C,C
7320,All-Around Unstructured Cap,Image Lock,48,96,144,576,1008,4.18,3.78,3.39,3.19,2.89,C,C,C,C,C
