SKU,Item Name,Special Name,,Sale Qty,Sale Price,Sale Code,Sale Expires
7275,Hi Tech Mesh Visor,Clearance,,48,2.88,C,
7382,Staycation Cap,Clearance,,48,2.95,C,
7391,Luge Knit Cap,Clearance,,48,3.65,C,
7430,Jersey Cap,Clearance,,48,2.98,C,
8623,Microfiber Cap,Clearance,,48,3.47,C,
8628,Slope Cap,Clearance,,48,3.27,C,
9001,totes&reg; Nightlighter Cotton Cap,Clearance,,48,11.35,C,
9002,totes&reg; Nightlighter Microfiber Cap,Clearance,,48,12.52,C,
A207,Vegas Style Tote,Clearance,,50,3.37,C,
A220,Color Band Tote with Mesh,Clearance,,50,3.32,C,
A222,Polka Dot Accent Tote,EQP SALE!,,50,7.28,C,
A231,Trapezoid Tote,Better than EQP!,,100,2.6,C,
A266350,Colored Fringed Towel,Clearance,,100,2.08,C,
A266351,White Fringed Towel,Clearance,,100,3.43,C,
A266352,Hemmed Towel,Clearance,,100,4.63,C,
A266353,Beach Towel,Clearance,,72,10.13,C,
A268,Felt Cutout Tote,Better than EQP!,,50,4.42,C,
A269,Felt Cutout Pouch,EQP SALE!,,100,2.18,C,
A277,Printed Coin Pouch,EQP SALE!,,100,2.4,C,
A290,Reversible Hobo Tote With Zippered Pocket,EQP SALE!,,25,9.23,C,
A292,Printed Reversible Hobo Tote With Zippered Pocket,EQP SALE!,,25,8.98,C,
A317,Printed Barrel Vanity Case,EQP SALE!,,100,2.9,C,
A402,Spirit Drawcord,Better than EQP!,,250,1.98,C,
A412,Spirit Mesh Drawcord,Clearance,,100,1.9,C,
A414,Designer Drawcord,Better than EQP!,,250,2.35,C,
A430,Poly Pro Drawstring,Better than EQP!,,250,1.4,C,
A434,Poly Pro Pulse Drawcord,Clearance,,100,1.43,C,
A438,Poly Pro Accent Drawcord,Better than EQP!,,250,2.08,C,
A444,Sport Pack with Peek-A-Boo Print,Clearance,,100,2.07,C,
A455,Lamis Laptop Shoulder Bag,EQP SALE!,,25,16.98,C,
A460,Poly Pro Sport Pack,Better than EQP!,,250,1.08,C,
A468,Poly Pro Sport Pack with Pockets,Better than EQP!,,100,1.78,C,
A475,Tablet Envelope,Better than EQP!,,100,3.32,C,
A490,Fashion Cinch Sack,EQP SALE!,,50,8.98,C,
A495,Technix Shoulder Bag,Better than EQP!,,25,12.82,C,
A507,Lamis Two-Tone Tote,Clearance,,50,8.28,C,
A508,Lamis Corporate Messenger Bag,EQP SALE!,,25,28.28,C,
A509,Lamis East West Bag,EQP SALE!,,25,14.48,C,
A521,ModFX Recycling Tote,Clearance,,100,2.38,C,
A524,Grande Tote,EQP SALE!,,100,1.68,C,
A531,Spirit Duffel Bag,Clearance,,100,3.98,C,
A534,Fashion Barrel Bag,EQP SALE!,,50,5.48,C,
A541,Spirit Backpack,Clearance,,100,3.33,C,
A573,ID Hang Tag,Clearance,,100,0.77,C,
A574,ID Hang Tag with Security Flap,Clearance,,100,0.99,C,
A577,Large Flexi-Freeze   Hydra Collapsible Cooler,Clearance,,25,7.15,C,
