name,pantone,hex
black,426,#25282B
white,000,#FFFFFF
red202,202,#862633
green356,356,#007a33
purple268,268,#582c83
blue281,281,#00205b
copper876,876,#8b634b
green320,320,#009ca6
red186,186,#c8102e
process_blue,"Blue",#0085ca
gold123,123,#ffc72c
jute,Brown,#cca36e
red032,032,#ef3340
reflex_blue,"Reflex Blue",#001489
gold873,873,#896e4b
orange151,151,#ff8200
silver877,877,#8a8d8f
blue286,286,#4169E1
gray429,429,#a2aaad
pink211,211,#f57eb6
brown476,476,#84bd00
green3435,3435,#154734
pink806,806,#ff3eb5
yellow115,115,#fdda24
brown4695,4695,#5b3427
green347,347,#009a44
red185,185,#e4002b
yellow114,114,#fbdd40
orange021,021,#fe5000
process_yellow,"Process Yellow",#fedd00
brown161,161,#603d20
green341,341,#007a53
purple266,366,#753bbd
pink225,225,#df1995
red195,195,#782f40
gray428,428,#c1c6c8
gray430,430,#7c878e
gold871,871,#84754e
purple194,194,#9b2743
purple2685,2685,#330072
blue282,282,#041e42
teal322,322,#007377
green348,348,#00843d
green350,350,#2c5234
yellow116,116,#ffcd00
gray423,423,#898d8d
yellow1235,1235,#ffb81c
red1787,1787,#f4364c
red199,199,#d50032
red208,208,#861f41
purple267,267,#5f259f
blue2925,2925,#009cde
blue287,287,#003087
teal237,237,#ec86d0
green343,343,#115740
brown4635,4635,#946037
teal327,327,#008675
yellow012,012,#ffd700
red485,485,#da291c
green374,374,#c5e86c
blue293,293,#003da5
brown478,478,#703f2a
purple205,205,#e0457b
white1345,1345,#ffd591
orange172,172,#ff674d
teal316,316,#004851
green365,365,#c2e189
purple2587,2587,#936db7
brown1545,1545,#7a5f48
gray424,424,#707372
gold872,872,#ac936e
green8203,8203,#3177a3
purple8085,8085,#a13769
teal328,328,#007367
silver878,878,#887788
red1797,1797,#cb333b
brown466,466,#c1a67f
green582,582,#919145
red200,200,#bd4f5c
fluorescent_blue,"Blue",#15f4ee
blue2995,2995,#0d9ddb
gold109,109,#ffc700
maroon209,209,#825864
rubine,"Rubine",#db487e
blue295,295,#375172
warm_red,"Warm Red",#ff665e
gray422,422,#9ea1a2
brown477,477,#7d6556
green334,334,#00957e
purple273,273,#645d9b
brown155,155,#f7c995
red188,188,#895559
brown439,439,#736869
blue2728,2728,#5268c2
brown4625,4625,#715845
green357,357,#215732
blue534,534,#1b365d
red1805,1805,#b45858
blue289,289,#0c2340
ivory1205,1205,#f8e08e
red504,504,#7f5d62
orange179,179,#e03c31
gray431,431,#737b82
pink673,673,#df8cba
yellow124,124,#d79133
