Item# (SKU),Item Name,Charge Name,Charge Type,Setup,Reorder Setup,Run Charge-Qty1,Run Charge-Qty2,Run Charge-Qty3,Run Charge-Qty4,Run Charge-Qty5,Code
10CONTAP_CL,10ft. Contractor Tape Measure - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
11CAFECR,11oz. Cafe Mug,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
11CAFEMG,11oz. Cafe Mug,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
11CAFEMG,11oz. Cafe Mug,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
12BISTRO,Bistro Mug,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
12BISTRO,Bistro Mug,Multi Color Imprint Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
12GRPNGO,12oz. Grip N Go,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
12GRPNGO,12oz. Grip N Go,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,G
12ORBTMB,12oz. Orbit Tumbler,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
12ORBTMB,12oz. Orbit Tumbler,Set-Up/Change of Copy/Reorder,SETUP,55,27.5,0,0,0,0,0,G
12ORBTMB,12oz. Orbit Tumbler,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
12ORBTMB,12oz. Orbit Tumbler,Color Surge Run Charge,RUN,0,0,0.99,0.99,0.99,0.99,0.99,5G
12PKBG,12 Pack Cooler Bag,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
12PKBG,12 Pack Cooler Bag,Color Surge Run Charge,RUN,0,0,4,2.5,1.5,1.5,1.5,5G
12PKCAMO,12 Pack Camo Cooler Bag,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
12PKCAMO,12 Pack Camo Cooler Bag,Color Surge Run Charge,RUN,0,0,4,2.5,1.5,1.5,1.5,5G
14ECONMG,14oz. Economy Stainless Steel Mug,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
14ECONMG,14oz. Economy Stainless Steel Mug,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
14FLATSN,14oz. Flat Snap Bottle,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
14PATTMB,14oz. Patriot Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
15ORBTMG,15oz. Orbit Mug,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
15ORBTMG,15oz. Orbit Mug,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
15ORBTMG,15oz. Orbit Mug,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
15ORBTMG,15oz. Orbit Mug,Color Surge Run Charge,RUN,0,0,0.99,0.99,0.99,0.99,0.99,5G
16CORCLR,16oz. Cornado Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16CORMUG,16oz. Cornado Mug,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16CORMUG,16oz. Cornado Mug,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
16CORTMB,16oz. Cornado Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16CORTMB,16oz. Cornado Tumbler,Multi Color Imprint Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
16FRE2GO,16oz. Free 2 Go Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16FREDOM,16oz. Freedom Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16FREDOM,16oz. Freedom Tumbler,Multi Color Run Charge  Per Color ,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
16FREDOM,16oz. Freedom Tumbler,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
16FREDOM,16oz. Freedom Tumbler,Color Surge Run Charge,RUN,0,0,0.99,0.99,0.99,0.99,0.99,5G
16FREFAC,16oz. Freedom Facet Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16FREFAC,16oz. Freedom Facet Tumbler,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
16FREFAC,16oz. Freedom Facet Tumbler,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
16FREFAC,16oz. Freedom Facet Tumbler,Color Surge Run Charge,RUN,0,0,0.99,0.99,0.99,0.99,0.99,5G
16FREFAC_CL,16oz. Freedom Facet Tumbler - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16FREONE,16oz. Freedom One Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16FREONE,16oz. Freedom One Tumbler,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
16FREONE,16oz. Freedom One Tumbler,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
16FREONE,16oz. Freedom One Tumbler,Color Surge Run Charge,RUN,0,0,0.99,0.99,0.99,0.99,0.99,5G
16FREONE_CL,16oz. Freedom One Tumbler - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16GRPNGO,16oz Grip N Go Grande,Multi Color Run Charge  Per Color ,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
16GRPNGO,16oz Grip N Go Grande,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16GRPSS,16oz Grip N Go Stainless Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16GRPSS,16oz Grip N Go Stainless Tumbler,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
16JAMOCA,16oz. Jamocha Mug,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
16JAMOCA,16oz. Jamocha Mug,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16JYMUG,16oz. Journey Mug,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
16JYMUG,16oz. Journey Mug,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16KARTMB,16oz. Karma Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
