imprint_slug,charge_type,range1,range2,range3,range4,range5,price1,price2,price3,price4,price5
engrave,SETUP,0,0,0,0,0,45,0,0,0,0
engrave,RUN,1+,0,0,0,0,0.32,0,0,0,0
valuemark,SETUP,0,0,0,0,0,45,0,0,0,0
valuemark,RUN,1+,0,0,0,0,0.20,0,0,0,0
logomark,SETUP,0,0,0,0,0,50,0,0,0,0
logomark,RUN,1+,0,0,0,0,0.32,0,0,0,0
vinyl,SETUP,0,0,0,0,0,45,0,0,0,0
vinyl,RUN,1+,0,0,0,0,0.32,0,0,0,0
transfer,SETUP,0,0,0,0,0,45,0,0,0,0
transfer,RUN,1+,0,0,0,0,1,0,0,0,0
colorsplash,SETUP,0,0,0,0,0,45,0,0,0,0
colorsplash,RUN,1+,0,0,0,0,0.32,0,0,0,0
deboss,SETUP,0,0,0,0,0,80,0,0,0,0
deboss,RUN,1+,0,0,0,0,0.32,0,0,0,0
