SKU,Item Name,Charge Name,Charge Type,Setup,Reorder Setup,Run Charge-Qty1,Run Charge-Qty2,Run Charge-Qty3,Run Charge-Qty4,Run Charge-Qty5,Code
7220,Polyester Cap,Image Lock Setup Charge,SETUP,55,0,0,0,0,0,0,G
7220,Polyester Cap,Embroidery Setup Charge,SETUP,0,0,0,0,0,0,0,G
7220,Polyester Cap,Vivid Expressions Additional Location Run Charge,RUN,0,0,1.08,1.08,1.08,1.08,0,4G
7220,Polyester Cap,Image Lock Additional Color Run Charge,RUN,0,0,0.5,0.45,0.35,0.35,0.35,5C
7221,Polyester Cap with Visor Trim,Image Lock Setup Charge,SETUP,55,0,0,0,0,0,0,G
7221,Polyester Cap with Visor Trim,Embroidery Setup Charge,SETUP,0,0,0,0,0,0,0,G
7221,Polyester Cap with Visor Trim,Vivid Expressions Additional Location Run Charge,RUN,0,0,1.08,1.08,1.08,1.08,0,4G
7221,Polyester Cap with Visor Trim,Image Lock Additional Color Run Charge,RUN,0,0,0.5,0.45,0.35,0.35,0.35,5C
7275,Hi Tech Mesh Visor,Image Lock Setup Charge,SETUP,55,0,0,0,0,0,0,G
7310,Grid Cap,Image Lock Setup Charge,SETUP,55,0,0,0,0,0,0,G
7310,Grid Cap,Embroidery Setup Charge,SETUP,0,0,0,0,0,0,0,G
7310,Grid Cap,Vivid Expressions Additional Location Run Charge,RUN,0,0,1.08,1.08,1.08,0,0,4G
7310,Grid Cap,Image Lock Additional Color Run Charge,RUN,0,0,0.5,0.45,0.35,0.35,0.35,5C
7313,Heavy Stitch Cap with Mesh,Image Lock Setup Charge,SETUP,55,0,0,0,0,0,0,G
7313,Heavy Stitch Cap with Mesh,Embroidery Setup Charge,SETUP,0,0,0,0,0,0,0,G
7313,Heavy Stitch Cap with Mesh,Vivid Expressions Additional Location Run Charge,RUN,0,0,1.08,1.08,1.08,1.08,0,4G
7313,Heavy Stitch Cap with Mesh,Image Lock Additional Color Run Charge,RUN,0,0,0.5,0.45,0.35,0.35,0.35,5C
7315,Malibu Cap,Image Lock Setup Charge,SETUP,55,0,0,0,0,0,0,G
7315,Malibu Cap,Embroidery Setup Charge,SETUP,0,0,0,0,0,0,0,G
7315,Malibu Cap,Vivid Expressions Additional Location Run Charge,RUN,0,0,1.08,1.08,1.08,1.08,0,4G
7315,Malibu Cap,Image Lock Additional Color Run Charge,RUN,0,0,0.5,0.45,0.35,0.35,0.35,5C
7317,Fusion Cap,Image Lock Setup Charge,SETUP,55,0,0,0,0,0,0,G
7317,Fusion Cap,Embroidery Setup Charge,SETUP,0,0,0,0,0,0,0,G
7317,Fusion Cap,Vivid Expressions Additional Location Run Charge,RUN,0,0,1.08,1.08,1.08,1.08,0,4G
7317,Fusion Cap,Image Lock Additional Color Run Charge,RUN,0,0,0.5,0.45,0.35,0.35,0.35,5C
7320,All-Around Unstructured Cap,Image Lock Setup Charge,SETUP,55,0,0,0,0,0,0,G
7320,All-Around Unstructured Cap,Embroidery Setup Charge,SETUP,0,0,0,0,0,0,0,G
7320,All-Around Unstructured Cap,Vivid Expressions Additional Location Run Charge,RUN,0,0,1.08,1.08,1.08,1.08,0,4G
