Product ID,Product Name,Category,Category Name,Brand,Brand Name,Product Description,Price Includes,Sub-Taxonomy,Sub-Taxonomy Name,Keywords,Country of Origin,Features,Small Image,Medium Image,Large Image,Zoom Image,Small Image URL,Medium Image URL,Large Image URL,Zoom Image URL,Material,Page Number,Price Message,Price Start Date,Quantity,Price,Net Price,Late Pricing Start Date,Late Quantities,Late Prices,Late Net Prices,Price1,Price2,Price3,Price4,Price5,Price6,Price7,Price8,Price9,Price10,Code1,Code2,Code3,Code4,Code5,Code6,Code7,Code8,Code9,Code10,Quantity1,Quantity2,Quantity3,Quantity4,Quantity5,Quantity6,Quantity7,Quantity8,Quantity9,Quantity10,Late Price1,Late Price2,Late Price3,Late Price4,Late Price5,Late Price6,Late Price7,Late Price8,Late Price9,Late Price10,Late Code1,Late Code2,Late Code3,Late Code4,Late Code5,Late Code6,Late Code7,Late Code8,Late Code9,Late Code10,Late Quantity1,Late Quantity2,Late Quantity3,Late Quantity4,Late Quantity5,Late Quantity6,Late Quantity7,Late Quantity8,Late Quantity9,Late Quantity10,EQP Net Minus 3%,EQP Net Minus 5%,Customer Price,Pack Size,Pack Weight,Unit of Measure,Sizes,Size Name,Size Width,Size Length,Size Height,Lead Time,Rush Lead Time,Additional Lead Time to Canada,Canadian Lead Time,Item Type1,Item Colors1,Item Type2,Item Colors2,Item Type3,Item Colors3,Item Type4,Item Colors4,Imprint Method1,Imprint Location1,Imprint Colors1,Imprint Method2,Imprint Location2,Imprint Colors2,Imprint Method3,Imprint Location3,Imprint Colors3,Imprint Method4,Imprint Location4,Imprint Colors4,Imprint Method5,Imprint Location5,Imprint Colors5,Imprint Method6,Imprint Location6,Imprint Colors6,Imprint Method7,Imprint Location7,Imprint Colors7,Selections,Proofs,Item Color Charges,Option Charges,Additional Product Information,FOB Ship From City,FOB Ship From State,FOB Ship From Zip,FOB Bill From City,FOB Bill From State,FOB Bill From Zip
15012,Round Coaster,HOUSEWARES,Housewares,NORWOOD,Norwood,"Furniture protection and promotion in one! For home or office, this is one product that anyone can use! Our Coasters are urethane coated to resist staining. Made of bonded leather.","foil stamp, 1 location",COASTERS,Coasters,2750 15012 Round Coaster Single Housewares Coasters Executive Gifts Client Gifts Thank you gifts leather ECO britepix brite pix bright pics brightpix britepics brightpics 4 color four full digital Rounds Singles Houseware Executives Gift Clients Thanks yous gift leathers ECOs britepixes brites pixes brights pic brightpixes britepic brightpic colors fours fulls digitals,China,Slide-resistant|Water-resistant,HOUSEWARES_15012_S.jpg,HOUSEWARES_15012_M.jpg,HOUSEWARES_15012_L.jpg,HOUSEWARES_15012_Z.jpg,http://norwood.com/images/products/small/15012_S.jpg,http://norwood.com/images/products/medium/15012_M.jpg,http://norwood.com/images/products/large/15012_L.jpg,http://norwood.com/images/products/zoom/15012_Z.jpg,Bonded Leather,349,,1/1/15,100|250|500|1000,3.32|2.67|1.82|1.62,1.66|1.335|1.001|.972,,,,,3.32,2.67,1.82,1.62,,,,,,,A,A,B,C,,,,,,,100,250,500,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,18,Each,"3-3/4"" dia. x 3/32""d",dia.,,,,7,,,,Product Colors,Black|Burgundy|Navy|Tan|White,,,,,,,Foil Stamp,"Front (Standard): 3-3/8"" dia., 1 color(s) max ",Metallic Gold|Metallic Silver,Deboss,"Front (Optional, additional charge): 3-3/8"" dia.",Debossed Imprint,britePix&#174; Full Color,"Front (Optional, additional charge): 3-3/8"" dia.",Process Blue|Full Color|327 Teal|872 Metallic Gold|1545 Brown|202 Maroon|172 Orange|208 Burgundy|2587 Purple|281 Navy Blue|Color Match|355 Green|876 Metallic Copper|Black|186 Red|211 Pink|424 Charcoal Gray|877 Metallic Silver|293 Royal Blue|316 Dark Teal|114 Lemon|Reflex Blue|1345 Cream|116 Athletic Gold|205 Magenta|341 Forest Green|White,,,,,,,,,,,,,"Rush Delivery May Be Available, Call Customer Svc 20% (X)",Virtual Proof no charge|Fax Proof no charge|Email Proof no charge|Production Proof $50.00(G) plus the price of the product,,"Ink Color Change, Free per change|Copy Change $30.00(G) per change|Exact Order Quantity $31.25(G) per order|Foil Set-Up $50.00(G) per order|Imprint Color Match $30.00(G) per color|Deboss Run Charge $0.80(C) per location, per piece|Cancellation $31.25(G) plus costs incurred|Deboss Set-Up $50.00(G) per order|britePix&#174; Personalization $0.35(G) per piece|britePix&#174; Full Color $0.10(G) per piece|britePix&#174; Set-Up $50.00(G) per order|Speculative Sample $50.00(G) plus the price of the product|Less Than Minimum $50.00(G) per order|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment|britePix&#174; Customized Personalization $25.00(G) per order","Personalization will default to template specified on Norwood.com. If customized personalization locations are requested, a $25.00(g) fee applies.|Imprint Colors: Foil Stamp available in Gold or Silver only",Red Wing,MN,55066,Red Wing|San Antonio,MN|TX,55066|78227
45637,Lugano Coaster Set,HOUSEWARES,Housewares,NORWOOD,Norwood,A coaster set is a great addition to any desk top.,deboss on each coaster,COASTERS,Coasters,45637 Lugano Coaster Set leather coaster set gifts coasters housewares home RCC britepix brite pix bright pics brightpix britepics brightpics 4 color four full digital Luganos Coasters Sets leathers sets gift houseware homes RCCs britepixes brites pixes brights pic brightpixes britepic brightpic colors fours fulls digitals,China,,HOUSEWARES_45637_S.jpg,HOUSEWARES_45637_M.jpg,HOUSEWARES_45637_L.jpg,HOUSEWARES_45637_Z.jpg,http://norwood.com/images/products/small/45637_S.jpg,http://norwood.com/images/products/medium/45637_M.jpg,http://norwood.com/images/products/large/45637_L.jpg,http://norwood.com/images/products/zoom/45637_Z.jpg,Bonded Leather,349,,1/1/15,50|100|250|500|1000,14.94|14.35|12.53|11.13|10.66,7.47|7.175|6.8915|6.678|6.396,,,,,14.94,14.35,12.53,11.13,10.66,,,,,,A,A,B,C,C,,,,,,50,100,250,500,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,19,Each,"Coaster: 3-7/8"" dia. x 1/8""d|Holder: 4-1/4""w x 1""h|Gift Bag: 5-1/4""w x 6""h",Coaster dia.|Holder|Gift Bag,"4-1/4""|5-1/4""",,"1""|6""",7,,,,Product Colors,Black,,,,,,,Deboss,"Front (Standard): 3"" dia.",Debossed Imprint,Foil Stamp,"Front (Optional, additional charge): 3"" dia., 1 color(s) max ",Metallic Silver|Metallic Gold,Heat Transfer,"Gift Bag (Optional, additional charge): 3-1/2""w x 3""h, 4 color(s) max ",316 Dark Teal|1545 Brown|202 Maroon|Color Match|Black|White|211 Pink|281 Navy Blue|293 Royal Blue|876 Metallic Copper|Reflex Blue|2587 Purple|186 Red|424 Charcoal Gray|872 Metallic Gold|327 Teal|172 Orange|877 Metallic Silver|116 Athletic Gold|1345 Cream|341 Forest Green|355 Green|114 Lemon|Process Blue|205 Magenta|208 Burgundy,britePix&#174; Full Color,"Front (Optional, additional charge): 3"" dia.",172 Orange|208 Burgundy|293 Royal Blue|872 Metallic Gold|Reflex Blue|116 Athletic Gold|1545 Brown|186 Red|2587 Purple|281 Navy Blue|341 Forest Green|876 Metallic Copper|1345 Cream|202 Maroon|355 Green|Process Blue|Color Match|316 Dark Teal|Full Color|205 Magenta|211 Pink|327 Teal|424 Charcoal Gray|877 Metallic Silver|Black|114 Lemon|White,,,,,,,,,,"Rush Delivery May Be Available, Call Customer Svc 20% (X)",Virtual Proof no charge|Fax Proof no charge|Email Proof no charge|Production Proof $50.00(G) plus the price of the product,,"Foil Run Charge $0.80(C) per piece|Ink Color Change, Free per change|Copy Change $30.00(G) per change|Exact Order Quantity $31.25(G) per order|Foil Set-Up $50.00(G) per order|Heat Transfer Set-Up $50.00(G) per order|Imprint Color Match $30.00(G) per color|Heat Transfer Additional Color $0.35(G) per color, per piece|Cancellation $31.25(G) plus costs incurred|Deboss Set-Up $50.00(G) per order|britePix&#174; Full Color $0.75(G) per piece|Additional Location $0.35(G) per location, per piece|britePix&#174; Personalization $2.25(G) per piece|britePix&#174; Set-Up $50.00(G) per order|Speculative Sample $50.00(G) plus the price of the product|Less Than Minimum $50.00(G) per order|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment|britePix&#174; Customized Personalization $25.00(G) per order","Personalization will default to template specified on Norwood.com. If customized personalization locations are requested, a $25.00(g) fee applies.|Imprint Colors: Foil Stamp available in Gold or Silver only",Red Wing,MN,55066,Red Wing|San Antonio,MN|TX,55066|78227
45667,KOOZIE&#174; Coaster - Round,HOUSEWARES,Housewares,RCC,KOOZIE&#174;,Round shaped coaster in our best selling KOOZIE&#174; material.,"1-color imprint, 1 location",COASTERS,Coasters,45667 Koozie Coaster Round coasters housewares home kitchen RCC britepix brite pix bright pics brightpix britepics brightpics 4 color four full digital Koozies Coasters Rounds coaster houseware homes kitchens RCCs britepixes brites pixes brights pic brightpixes britepic brightpic colors fours fulls digitals,United States,3mm thick foam with polyester back|Available in unlimted colors (most popular featured),HOUSEWARES_45667_S.jpg,HOUSEWARES_45667_M.jpg,HOUSEWARES_45667_L.jpg,HOUSEWARES_45667_Z.jpg,http://norwood.com/images/products/small/45667_S.jpg,http://norwood.com/images/products/medium/45667_M.jpg,http://norwood.com/images/products/large/45667_L.jpg,http://norwood.com/images/products/zoom/45667_Z.jpg,Polyester with Foam Backing,348,,1/1/15,250|500|1000|2500|5000,1.06|.98|.85|.73|.7,.636|.588|.51|.438|.42,,,,,1.06,0.98,0.85,0.73,0.7,,,,,,C,C,C,C,C,,,,,,250,500,1000,2500,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,3,Each,"3-3/4"" dia.",dia.,,,,5,,,,Product Colors,Black|Red|Royal,,,,,,,britePix&#174; 1-Color,"Front (Standard): 3"" dia., 1 color(s) max ",1345 Cream|202 Maroon|Color Match|208 Burgundy|211 Pink|293 Royal Blue|116 Athletic Gold|186 Red|281 Navy Blue|355 Green|872 Metallic Gold|Process Blue|White|205 Magenta|2587 Purple|316 Dark Teal|877 Metallic Silver|114 Lemon|876 Metallic Copper|Black|1545 Brown|172 Orange|341 Forest Green|424 Charcoal Gray|327 Teal|Reflex Blue,britePix&#174; Full Color,"Front (Optional, additional charge): 3"" dia.",205 Magenta|2587 Purple|877 Metallic Silver|114 Lemon|172 Orange|186 Red|Reflex Blue|Color Match|424 Charcoal Gray|116 Athletic Gold|1545 Brown|208 Burgundy|211 Pink|316 Dark Teal|341 Forest Green|872 Metallic Gold|876 Metallic Copper|202 Maroon|293 Royal Blue|281 Navy Blue|327 Teal|Black|White|1345 Cream|355 Green|Process Blue,,,,,,,,,,,,,,,,"Rush Delivery May Be Available, Call Customer Svc 20% (X)",Virtual Proof no charge|Fax Proof no charge|Email Proof no charge|Production Proof $50.00(G) plus the price of the product,,"Ink Color Change, Free per change|Copy Change $30.00(G) per change|Exact Order Quantity $31.25(G) per order|Imprint Color Match $30.00(G) per color|Cancellation $31.25(G) plus costs incurred|britePix&#174; Full Color $0.05(G) per piece|britePix&#174; Set-Up $50.00(G) per order|Speculative Sample $50.00(G) plus the price of the product|Less Than Minimum $50.00(G) per order|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment","Metallic imprints not available|Over 200 products have been selected from the BIC Graphic family of brands to support WWP. From January 1, 2015 through December 31, 2015, BIC Graphic will donate $2 per order on specially marked products.",Red Wing,MN,55066,Red Wing|San Antonio,MN|TX,55066|78227
36501,Silver Snowflake Ornament,HOUSEWARES,Housewares,NORWOOD,Norwood,This elegant and contemporary ornament will hang beautifully from any tree. Your customers will remember you year after year!,"laser engraving, 1 location",DECO,Decorative Items,36501 Silver Snowflake Ornament Christmas Holiday Holidays End of Year Recognition Award Awards Jaffa Janesville Gift Gifts winter Silvers Snowflakes Ornaments Christma Ends ofs Years Recognitions Jaffas Janesvilles winters,China,Silver string and red bead attached|Perfect for end-of-year gifts|Optional stand available; please specify 36611|Optional velvet pouch available; please specify 36627,HOUSEWARES_36501_S.jpg,HOUSEWARES_36501_M.jpg,HOUSEWARES_36501_L.jpg,HOUSEWARES_36501_Z.jpg,http://norwood.com/images/products/small/36501_S.jpg,http://norwood.com/images/products/medium/36501_M.jpg,http://norwood.com/images/products/large/36501_L.jpg,http://norwood.com/images/products/zoom/36501_Z.jpg,Aluminum,WEB,,1/1/15,12|50|100|200,8.59|8.35|8.11|7.86,5.154|5.01|4.866|4.716,,,,,8.59,8.35,8.11,7.86,,,,,,,C,C,C,C,,,,,,,12,50,100,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,8,Each,"3-5/16"" dia.",dia.,,,,5,,,,Product Colors,Silver,,,,,,,Laser Engrave,"Front (Standard): 1-1/8"" dia.",Laser Engraved,Screen Print,"Front (Optional): 1-1/8"" dia., 1 color(s) max ",White|877 Metallic Silver|Black|Color Match,Laser Engrave,"Back (Optional, additional charge): 1-1/8"" dia.",Laser Engraved,Screen Print,"Back (Optional, additional charge): 1-1/8"" dia., 1 color(s) max ",White|877 Metallic Silver|Black|Color Match,,,,,,,,,,"Velvet Pouch $3.00(C) each|Rush Delivery May Be Available, Call Customer Svc 20% (X)",Virtual Proof no charge|Fax Proof no charge|Email Proof no charge|Production Proof $50.00(G) plus the price of the product,,"Laser Engrave Additional Location $3.00(G) per location, per piece|Copy Change $30.00(G) per change|Exact Order Quantity $31.25(G) per order|Imprint Color Match $30.00(G) per color|Screen Imprint 2nd Location $1.50(G) per location, per piece|Cancellation $31.25(G) plus costs incurred|Set-Up, No Charge per order|Speculative Sample $50.00(G) plus the price of the product|Less Than Minimum $50.00(G) per order|Ink Color Change $25.00(G) per change|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",,Red Wing,MN,55066,Red Wing|San Antonio,MN|TX,55066|78227
36609,Silver Dove Ornament,HOUSEWARES,Housewares,NORWOOD,Norwood,This Exclusive Dove Ornament will be a beautiful addition to your collection of Norwood ornaments!,"laser engraving, 1 location",DECO,Decorative Items,36609 Silver Dove Ornament ornaments holiday holidays christmas december tree hang hanging Jaffa recognition gift gifts Silvers Doves Ornaments ornament christma decembers trees hangs hangings Jaffas recognitions,China,Silver string and red bead attached|A new and modern design perfect to add to your collection|Optional stand available; please specify 36611|Optional velvet pouch available; please specify 36627,HOUSEWARES_36609_S.jpg,HOUSEWARES_36609_M.jpg,HOUSEWARES_36609_L.jpg,HOUSEWARES_36609_Z.jpg,http://norwood.com/images/products/small/36609_S.jpg,http://norwood.com/images/products/medium/36609_M.jpg,http://norwood.com/images/products/large/36609_L.jpg,http://norwood.com/images/products/zoom/36609_Z.jpg,Aluminum,WEB,,1/1/15,12|50|100|200,10.29|9.91|9.56|9.07,6.174|5.946|5.736|5.442,,,,,10.29,9.91,9.56,9.07,,,,,,,C,C,C,C,,,,,,,12,50,100,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,8,Each,"3-1/2""w x 3-3/4""h x 1/8""d",,"3-1/2""",,"3-3/4""",5,,,,Product Colors,Silver,,,,,,,Laser Engrave,"Front (Standard): 7/8"" dia.",Laser Engraved,Screen Print,"Front (Optional): 7/8"" dia., 1 color(s) max ",Color Match|White|877 Metallic Silver|Black,Laser Engrave,"Back (Optional, additional charge): 7/8"" dia.",Laser Engraved,Screen Print,"Back (Optional, additional charge): 7/8"" dia., 1 color(s) max ",Color Match|White|877 Metallic Silver|Black,,,,,,,,,,"Velvet Pouch $3.00(C) each|Rush Delivery May Be Available, Call Customer Svc 20% (X)",Virtual Proof no charge|Fax Proof no charge|Email Proof no charge|Production Proof $50.00(G) plus the price of the product,,"Laser Engrave Additional Location $3.00(G) per location, per piece|Copy Change $30.00(G) per change|Exact Order Quantity $31.25(G) per order|Imprint Color Match $30.00(G) per color|Screen Imprint 2nd Location $1.50(G) per location, per piece|Cancellation $31.25(G) plus costs incurred|Set-Up, No Charge per order|Speculative Sample $50.00(G) plus the price of the product|Less Than Minimum $50.00(G) per order|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",,Red Wing,MN,55066,Red Wing|San Antonio,MN|TX,55066|78227
36610,Silver Star Ornament,HOUSEWARES,Housewares,NORWOOD,Norwood,This beautiful Silver Star Ornament will capture the hearts of all who receive one!,"laser engraving, 1 location",DECO,Decorative Items,36610 Silver Star Ornament ornaments holiday holidays christmas december tree hang hanging Jaffa recognition gift gifts Silvers Stars Ornaments ornament christma decembers trees hangs hangings Jaffas recognitions,China,Silver string and red bead attached|A beautiful way to show your appreciation year-round|Optional stand available; please specify 36611|Optional velvet pouch available; please specify 36627,HOUSEWARES_36610_S.jpg,HOUSEWARES_36610_M.jpg,HOUSEWARES_36610_L.jpg,HOUSEWARES_36610_Z.jpg,http://norwood.com/images/products/small/36610_S.jpg,http://norwood.com/images/products/medium/36610_M.jpg,http://norwood.com/images/products/large/36610_L.jpg,http://norwood.com/images/products/zoom/36610_Z.jpg,Aluminum,WEB,,1/1/15,12|50|100|200,8.59|8.35|8.11|7.86,5.154|5.01|4.866|4.716,,,,,8.59,8.35,8.11,7.86,,,,,,,C,C,C,C,,,,,,,12,50,100,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,8,Each,"3-3/4""w x 3-1/2""h x 1/8""d",,"3-3/4""",,"3-1/2""",5,,,,Product Colors,Silver,,,,,,,Laser Engrave,"Front (Standard): 1"" dia.",Laser Engraved,Screen Print,"Front (Optional): 1"" dia., 1 color(s) max ",White|Black|Color Match|877 Metallic Silver,Laser Engrave,"Back (Optional, additional charge): 1"" dia.",Laser Engraved,Screen Print,"Back (Optional, additional charge): 1"" dia., 1 color(s) max ",White|Black|Color Match|877 Metallic Silver,,,,,,,,,,"Velvet Pouch $3.00(C) each|Rush Delivery May Be Available, Call Customer Svc 20% (X)",Virtual Proof no charge|Fax Proof no charge|Email Proof no charge|Production Proof $50.00(G) plus the price of the product,,"Laser Engrave Additional Location $3.00(G) per location, per piece|Copy Change $30.00(G) per change|Exact Order Quantity $31.25(G) per order|Imprint Color Match $30.00(G) per color|Screen Imprint 2nd Location $1.50(G) per location, per piece|Cancellation $31.25(G) plus costs incurred|Set-Up, No Charge per order|Speculative Sample $50.00(G) plus the price of the product|Less Than Minimum $50.00(G) per order|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",,Red Wing,MN,55066,San Antonio|Red Wing,TX|MN,78227|55066
36611,Ornament Stand,HOUSEWARES,Housewares,NORWOOD,Norwood,A beautiful and elegant way to display your ornaments year-round!, ,DECO,Decorative Items,36611 Ornament Stand Jaffa Ornaments holiday holidays gift gifts option recognition Stands Jaffas options recognitions,China,Add this to your ornament order so your logo can be displayed year-round,HOUSEWARES_36611_S.jpg,HOUSEWARES_36611_M.jpg,HOUSEWARES_36611_L.jpg,HOUSEWARES_36611_Z.jpg,http://norwood.com/images/products/small/36611_S.jpg,http://norwood.com/images/products/medium/36611_M.jpg,http://norwood.com/images/products/large/36611_L.jpg,http://norwood.com/images/products/zoom/36611_Z.jpg,Chrome-Plated Steel,WEB,,1/1/15,6,6.04,3.624,,,,,6.04,,,,,,,,,,C,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Each,"5-1/4""w x 9-1/2""h x 4-1/8""d",,"5-1/4""",,"9-1/2""",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rush Delivery May Be Available, Call Customer Svc 20% (X)",,,"Set-Up, No Charge per order|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",Random samples not available,Red Wing,MN,55066,Red Wing|San Antonio,MN|TX,55066|78227
36627,Velvet Pouch,HOUSEWARES,Housewares,NORWOOD,Norwood,An elegant addition to your ornament order!, ,DECO,Decorative Items,36627 Velvet Pouch Ornament Ornaments Package Packaging Jaffa Recognition Specialty Gift Gifts Holiday Holidays Christmas Tree Snowflake Dove Star Velvets Pouches Packages Packagings Jaffas Recognitions Specialties Christma Trees Snowflakes Doves Stars,China,,HOUSEWARES_36627_S.jpg,HOUSEWARES_36627_M.jpg,HOUSEWARES_36627_L.jpg,HOUSEWARES_36627_Z.jpg,http://norwood.com/images/products/small/36627_S.jpg,http://norwood.com/images/products/medium/36627_M.jpg,http://norwood.com/images/products/large/36627_L.jpg,http://norwood.com/images/products/zoom/36627_Z.jpg,Velvet,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Each,"4-1/4""w x 6-1/4""h",,"4-1/4""",,"6-1/4""",5,,,,Product Colors,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",,Red Wing,MN,55066,Red Wing,MN,55066
10030,Oval Panel Rain Cone,HOUSEWARES,Housewares,NORWOOD,Norwood,"Cloudburst or light sprinkle, you can measure the amount of precipitation with the Rain Cone.","1-color imprint, 1 location",FOOD,Food Storage,AM1342 10030 Rain Cone with Oval Panel Action Line V Line Fun in the Sun Sports and Leisure clear and black Home Improvement Outdoor Event Picnic plastic Rains Cones withs Ovals Panels Actions Lines Vs Funs ins thes Suns Sport ands Leisures clears blacks Homes Improvements Outdoors Events Picnics plastics,United States,,HOUSEWARES_10030_S.jpg,HOUSEWARES_10030_M.jpg,HOUSEWARES_10030_L.jpg,HOUSEWARES_10030_Z.jpg,http://norwood.com/images/products/small/10030_S.jpg,http://norwood.com/images/products/medium/10030_M.jpg,http://norwood.com/images/products/large/10030_L.jpg,http://norwood.com/images/products/zoom/10030_Z.jpg,Crystal Styrene (clear) PP (Polypropylene) Plastic (black),344,,1/1/15,100|250|500|1000|2500,4.6|4.55|4.09|3.71|3.67,2.3|2.275|2.2495|2.226|2.202,,,,,4.6,4.55,4.09,3.71,3.67,,,,,,A,A,B,C,C,,,,,,100,250,500,1000,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,17,Each,"3-1/2""w x 12-3/4""h x 1-7/8""d",,"3-1/2""",,"12-3/4""",7,,,,Product Colors,Clear/Black,,,,,,,Foil Stamp,"Standard (Standard): 1-1/8""w x 4""h, 1 color(s) max ",Green apprx 355|114 Lemon|Red apprx 186|Navy Blue apprx 281|White|Maroon apprx 202|Metallic Silver|Black|Metallic Gold|Orange apprx 172|Process Blue|Charcoal Gray apprx 424,,,,,,,,,,,,,,,,,,,"Rush Delivery May Be Available, Call Customer Svc 20% (X)",Virtual Proof no charge|Fax Proof no charge|Email Proof no charge|Production Proof $50.00(G) plus the price of the product,,"Copy Change $30.00(G) per change|Exact Order Quantity $31.25(G) per order|Foil Set-Up $50.00(G) per order|Cancellation $31.25(G) plus costs incurred|Speculative Sample $50.00(G) plus the price of the product|Less Than Minimum $50.00(G) per order|Ink Color Change $25.00(G) per change|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",Some assembly required.,Red Wing,MN,55066,Red Wing|San Antonio,MN|TX,55066|78227
45640,bubba&#174; Grub - 18 oz.,HOUSEWARES,Housewares,NORWOOD,Norwood,Bring your lunch in the bubba&#174; Grub food storage container.,"1-color imprint, 1 location",FOOD,Food Storage,45640 bubba&#174; Grub - 18 oz food storage food container housewares home kitchen RCC bubba&#174;s Grubs -s ozs foods storages containers houseware homes kitchens RCCs,China,Two compartments|Top compartment has 18 oz. capacity and is dual-wall foam-insulated|Twist-off base for storing dry food or personal items,HOUSEWARES_45640_S.jpg,HOUSEWARES_45640_M.jpg,HOUSEWARES_45640_L.jpg,HOUSEWARES_45640_Z.jpg,http://norwood.com/images/products/small/45640_S.jpg,http://norwood.com/images/products/medium/45640_M.jpg,http://norwood.com/images/products/large/45640_L.jpg,http://norwood.com/images/products/zoom/45640_Z.jpg,"PP (Polypropylene) Plastic, Stainless Steel, ABS (Acrylonitrile Butadiene Styrene) Plastic",147,,1/1/15,48|72|144|288|576,22.11|21.45|18.59|16.51|15.97,11.055|10.725|10.2245|9.906|9.582,,,,,22.11,21.45,18.59,16.51,15.97,,,,,,A,A,B,C,C,,,,,,48,72,144,288,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,Each,"5""w x 8""h",,"5""",,"8""",5,,,,Product Colors,Silver/Black|Silver/Red|Silver/Royal,,,,,,,Pad Print,"Side 1 (Standard): 2-1/2""w x 1""h, 3 color(s) max |Side 2 (Optional, additional charge): 2-1/2""w x 1""h, 3 color(s) max ",205 Magenta|Black|1345 Cream|2587 Purple|293 Royal Blue|341 Forest Green|876 Metallic Copper|186 Red|281 Navy Blue|316 Dark Teal|327 Teal|355 Green|White|211 Pink|877 Metallic Silver|1545 Brown|202 Maroon|Color Match|208 Burgundy|872 Metallic Gold|Reflex Blue|114 Lemon|116 Athletic Gold|424 Charcoal Gray|172 Orange|Process Blue,,,,,,,,,,,,,,,,,,,"Rush Delivery May Be Available, Call Customer Svc 20% (X)",Virtual Proof no charge|Fax Proof no charge|Email Proof no charge|Production Proof $50.00(G) plus the price of the product,,"Additional Imprint Location $0.50(G) per location, per piece|Copy Change $30.00(G) per change|Exact Order Quantity $31.25(G) per order|Imprint Color Match $30.00(G) per color|Cancellation $31.25(G) plus costs incurred|Pad Print Additional Color $0.50(G) per color, per piece|Speculative Sample $50.00(G) plus the price of the product|Less Than Minimum $50.00(G) per order|Ink Color Change $25.00(G) per change|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment|Pad Print Set-Up $50.00(G) per location",,Red Wing,MN,55066,Red Wing|San Antonio,MN|TX,55066|78227
