Product ID,Product Name,Category,Category Name,Brand,Brand Name,Product Description,Price Includes,Sub-Taxonomy,Sub-Taxonomy Name,Keywords,Country of Origin,Features,Small Image,Medium Image,Large Image,Zoom Image,Small Image URL,Medium Image URL,Large Image URL,Zoom Image URL,Material,Page Number,Price Message,Price Start Date,Quantity,Price,Net Price,Late Pricing Start Date,Late Quantities,Late Prices,Late Net Prices,Price1,Price2,Price3,Price4,Price5,Price6,Price7,Price8,Price9,Price10,Code1,Code2,Code3,Code4,Code5,Code6,Code7,Code8,Code9,Code10,Quantity1,Quantity2,Quantity3,Quantity4,Quantity5,Quantity6,Quantity7,Quantity8,Quantity9,Quantity10,Late Price1,Late Price2,Late Price3,Late Price4,Late Price5,Late Price6,Late Price7,Late Price8,Late Price9,Late Price10,Late Code1,Late Code2,Late Code3,Late Code4,Late Code5,Late Code6,Late Code7,Late Code8,Late Code9,Late Code10,Late Quantity1,Late Quantity2,Late Quantity3,Late Quantity4,Late Quantity5,Late Quantity6,Late Quantity7,Late Quantity8,Late Quantity9,Late Quantity10,EQP Net Minus 3%,EQP Net Minus 5%,Customer Price,Pack Size,Pack Weight,Unit of Measure,Sizes,Size Name,Size Width,Size Length,Size Height,Lead Time,Rush Lead Time,Additional Lead Time to Canada,Canadian Lead Time,Item Type1,Item Colors1,Item Type2,Item Colors2,Item Type3,Item Colors3,Item Type4,Item Colors4,Imprint Method1,Imprint Location1,Imprint Colors1,Imprint Method2,Imprint Location2,Imprint Colors2,Imprint Method3,Imprint Location3,Imprint Colors3,Imprint Method4,Imprint Location4,Imprint Colors4,Imprint Method5,Imprint Location5,Imprint Colors5,Imprint Method6,Imprint Location6,Imprint Colors6,Imprint Method7,Imprint Location7,Imprint Colors7,Selections,Proofs,Item Color Charges,Option Charges,Additional Product Information,FOB Ship From City,FOB Ship From State,FOB Ship From Zip,FOB Bill From City,FOB Bill From State,FOB Bill From Zip
55031,Premier Twist Pen,WRITE,Writing Instruments,NORWOOD,Norwood,Premier Twist is a distinctive way to get your point across.,"1-color screen imprint or laser engraving, 1 location; oxidation not included",GIFTPEN,Gift Pens,55031 Premier Twist Souvenir Business Accessories Pens and Pencils Gift Pens gloss black blue grey gold silver Tradeshow Giveaway Advertising metal writing instruments Premiers Twists Souvenirs Businesses Busines Accessory Pen ands Pencil Gifts glosses glos blacks blues greys golds silvers Tradeshows Giveaways Advertisings metals writings instrument,China,Mechanism: Twist-Action|Ink Color/Point Style: Black ink with Cross-style medium point,WRITE_55031_S.jpg,WRITE_55031_M.jpg,WRITE_55031_L.jpg,WRITE_55031_Z.jpg,http://norwood.com/images/products/small/55031_S.jpg,http://norwood.com/images/products/medium/55031_M.jpg,http://norwood.com/images/products/large/55031_L.jpg,http://norwood.com/images/products/zoom/55031_Z.jpg,Metal,412,,1/1/15,100|250|500|1000|2500,3.82|3.72|3.63|3.44|3.39,2.292|2.232|2.178|2.064|2.034,,,,,3.82,3.72,3.63,3.44,3.39,,,,,,C,C,C,C,C,,,,,,100,250,500,1000,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,11,Each,"5-3/8""l x 3/8"" dia.",dia.,,"5-3/8""",,5,,,,Product Colors,Blue|Gloss Black|Gold|Gray|Silver,,,,,,,Screen Print,"Barrel (Standard): 1-3/8""w x 1/2""h, 1 color(s) max ",8085 Metallic Magenta|186 Red|202 Maroon|876 Metallic Copper|8203 Metallic Blue|2587 Purple|211 Pink|293 Royal Blue|Process Blue|Reflex Blue|316 Dark Teal|872 Metallic Gold|White|114 Lemon|205 Magenta|355 Green|424 Charcoal Gray|877 Metallic Silver|116 Athletic Gold|208 Burgundy|327 Teal|1345 Cream|172 Orange|281 Navy Blue|Black|8283 Metallic Green|1545 Brown|341 Forest Green|Color Match,Laser Engrave,"Barrel (Optional): 1-1/2""w x 7/32""h|Cap (Optional): 1-1/2""w x 7/32""h",Laser Engraved,Screen Print,"Cap (Optional): 1-1/4""w x 3/8""h, 1 color(s) max ",8085 Metallic Magenta|186 Red|202 Maroon|876 Metallic Copper|8203 Metallic Blue|2587 Purple|211 Pink|293 Royal Blue|Process Blue|Reflex Blue|316 Dark Teal|872 Metallic Gold|White|114 Lemon|205 Magenta|355 Green|424 Charcoal Gray|877 Metallic Silver|116 Athletic Gold|208 Burgundy|327 Teal|1345 Cream|172 Orange|281 Navy Blue|Black|8283 Metallic Green|1545 Brown|341 Forest Green|Color Match,,,,,,,,,,,,,"Boxing in groups of 100 to 250 items $0.05(G) per piece|Single Clear Top Gift Box $0.60(G) each|Paper Gift Box $1.00(G) each|Polybagging in Groups of 5 to 100 Items $0.06(G) per piece|Velvet Pouch $0.55(G) each|Personalization $0.60(G) per piece|Rush Delivery May Be Available, Call Customer Svc 20% (X)",Virtual Proof no charge|Fax Proof no charge|Email Proof no charge|Production Proof $50.00(G) plus the price of the product,,"Exact Quantity, Free total|Ink Color Change, Free per change|Oxidation $0.30(G) per piece|Copy Change $30.00(G) per change|Imprint Color Match $30.00(G) per color|Cancellation $31.25(G) plus costs incurred|Set-Up, No Charge per order|Additional Laser Engraving $0.60(G) per location, per piece|Speculative Sample $50.00(G) plus the price of the product|Additional Imprint Location $0.12(C) per location, per piece|Less Than Minimum $50.00(G) per order|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Laser Engraved Personalization $0.60(G) per piece|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",Oxidation is required on Silver and Gold pens,Clearwater,FL,33760,Clearwater,FL,33760
55043,Ambassador Silver Pen,WRITE,Writing Instruments,NORWOOD,Norwood,Professional and stylish; that's the image the Ambassador Silver pen will project for your company.,"1-color screen imprint or laser engraving, 1 location; oxidation not included",GIFTPEN,Gift Pens,55043 Ambassador Silver Souvenir Pens Pens and Pencils Gift Pens black blue green burgundy silver Tradeshow Giveaway Advertising metal writing instruments Ambassadors Silvers Souvenirs Pen ands Pencil Gifts blacks blues greens burgundies silvers Tradeshows Giveaways Advertisings metals writings instrument,China,Mechanism: Plunger-Action|Ink Color/Point Style: Black ink with Parker-style medium point,WRITE_55043_S.jpg,WRITE_55043_M.jpg,WRITE_55043_L.jpg,WRITE_55043_Z.jpg,http://norwood.com/images/products/small/55043_S.jpg,http://norwood.com/images/products/medium/55043_M.jpg,http://norwood.com/images/products/large/55043_L.jpg,http://norwood.com/images/products/zoom/55043_Z.jpg,Metal,412,,1/1/15,100|250|500|1000|2500,3.68|3.6|3.47|3.33|3.19,2.208|2.16|2.082|1.998|1.914,,,,,3.68,3.6,3.47,3.33,3.19,,,,,,C,C,C,C,C,,,,,,100,250,500,1000,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,5,Each,"5-3/8""l x 3/8"" dia.",dia.,,"5-3/8""",,5,,,,Product Colors,Black|Blue|Burgundy|Silver,,,,,,,Screen Print,"Back Side of Barrel (Standard): 1-3/4""w x 1/2""h, 1 color(s) max ",872 Metallic Gold|877 Metallic Silver|Black|White,Laser Engrave,"Right of Clip (Optional): 1-3/4""w x 7/32""h",Laser Engraved,,,,,,,,,,,,,,,,"Boxing in groups of 100 to 250 items $0.05(G) per piece|Single Clear Top Gift Box $0.60(G) each|Polybagging in Groups of 5 to 100 Items $0.06(G) per piece|Velvet Pouch $0.55(G) each|Personalization $0.60(G) per piece|Rush Delivery May Be Available, Call Customer Svc 20% (X)",Virtual Proof no charge|Fax Proof no charge|Email Proof no charge|Production Proof $50.00(G) plus the price of the product,,"Exact Quantity, Free total|Ink Color Change, Free per change|Oxidation $0.30(G) per piece|Copy Change $30.00(G) per change|Cancellation $31.25(G) plus costs incurred|Set-Up, No Charge per order|Speculative Sample $50.00(G) plus the price of the product|Less Than Minimum $50.00(G) per order|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Laser Engraved Personalization $0.60(G) per piece|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment","Oxidation is required on Silver pens when laser engraved|Imprint Colors: Black, Gold, Silver or White only|Over 200 products have been selected from the BIC Graphic family of brands to support WWP. From January 1, 2015 through December 31, 2015, BIC Graphic will donate $2 per order on specially marked products.",Clearwater,FL,33760,Clearwater,FL,33760
55044,Ambassador Gold Pen,WRITE,Writing Instruments,NORWOOD,Norwood,"Professional and stylish, that's the image the Ambassador pen will help project for your business.","1-color screen imprint or laser engraving, 1 location",GIFTPEN,Gift Pens,55044 Ambassador Gold Souvenir Pens Pens and Pencils Gift Pens black blue green burgundy purple Tradeshow Giveaway Advertising metal writing instruments Ambassadors Golds Souvenirs Pen ands Pencil Gifts blacks blues greens burgundies purples Tradeshows Giveaways Advertisings metals writings instrument,China,Mechanism: Plunger-Action|Ink Color/Point Style: Black ink with Parker-style medium point,WRITE_55044_S.jpg,WRITE_55044_M.jpg,WRITE_55044_L.jpg,WRITE_55044_Z.jpg,http://norwood.com/images/products/small/55044_S.jpg,http://norwood.com/images/products/medium/55044_M.jpg,http://norwood.com/images/products/large/55044_L.jpg,http://norwood.com/images/products/zoom/55044_Z.jpg,Metal,412,,1/1/15,100|250|500|1000|2500,3.81|3.68|3.54|3.37|3.25,2.286|2.208|2.124|2.022|1.95,,,,,3.81,3.68,3.54,3.37,3.25,,,,,,C,C,C,C,C,,,,,,100,250,500,1000,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,7,Each,"5-3/8""l x 3/8"" dia.",dia.,,"5-3/8""",,5,,,,Product Colors,Black|Blue|Burgundy|Green,,,,,,,Screen Print,"Back Side of Barrel (Standard): 1-3/4""w x 1/2""h, 1 color(s) max ",877 Metallic Silver|872 Metallic Gold|White|Black,Laser Engrave,"Right of Clip (Optional): 1-3/4""w x 7/32""h",Laser Engraved,,,,,,,,,,,,,,,,"Boxing in groups of 100 to 250 items $0.05(G) per piece|Single Clear Top Gift Box $0.60(G) each|Polybagging in Groups of 5 to 100 Items $0.06(G) per piece|Velvet Pouch $0.55(G) each|Personalization $0.60(G) per piece|Rush Delivery May Be Available, Call Customer Svc 20% (X)",Virtual Proof no charge|Fax Proof no charge|Email Proof no charge|Production Proof $50.00(G) plus the price of the product,,"Exact Quantity, Free total|Ink Color Change, Free per change|Copy Change $30.00(G) per change|Cancellation $31.25(G) plus costs incurred|Set-Up, No Charge per order|Speculative Sample $50.00(G) plus the price of the product|Less Than Minimum $50.00(G) per order|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Laser Engraved Personalization $0.60(G) per piece|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment","Screen Imprint Colors: Black, Gold, Silver and White only|Over 200 products have been selected from the BIC Graphic family of brands to support WWP. From January 1, 2015 through December 31, 2015, BIC Graphic will donate $2 per order on specially marked products.",Clearwater,FL,33760,Clearwater,FL,33760
55052,Cambridge Pen,WRITE,Writing Instruments,NORWOOD,Norwood,The twist-action Cambridge pen comes with a Cross style cartridge and is available in 4 great colors.,"1-color screen imprint or laser engraving, 1 location",GIFTPEN,Gift Pens,55052 Cambridge Souvenir Pens Pens and Pencils Gift Pens black blue green burgundy Tradeshow Giveaway Advertising metal writing instruments Cambridges Souvenirs Pen ands Pencil Gifts blacks blues greens burgundies Tradeshows Giveaways Advertisings metals writings instrument,China,Mechanism: Twist-Action|Ink Color/Point Style: Black ink with Cross-style medium point,WRITE_55052_S.jpg,WRITE_55052_M.jpg,WRITE_55052_L.jpg,WRITE_55052_Z.jpg,http://norwood.com/images/products/small/55052_S.jpg,http://norwood.com/images/products/medium/55052_M.jpg,http://norwood.com/images/products/large/55052_L.jpg,http://norwood.com/images/products/zoom/55052_Z.jpg,Metal,410,,1/1/15,100|250|500|1000|2500,3.07|2.92|2.8|2.66|2.59,1.842|1.752|1.68|1.596|1.554,,,,,3.07,2.92,2.8,2.66,2.59,,,,,,C,C,C,C,C,,,,,,100,250,500,1000,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,8,Each,"5-7/16""l x 13/32"" dia.",dia.,,"5-7/16""",,5,,,,Product Colors,Black|Blue|Burgundy|Green,,,,,,,Screen Print,"Back Side of Barrel (Standard): 2""w x 1/2""h, 1 color(s) max ",8283 Metallic Green|1345 Cream|205 Magenta|293 Royal Blue|116 Athletic Gold|172 Orange|186 Red|876 Metallic Copper|Process Blue|8203 Metallic Blue|208 Burgundy|281 Navy Blue|Reflex Blue|114 Lemon|877 Metallic Silver|872 Metallic Gold|Color Match|8085 Metallic Magenta|211 Pink|316 Dark Teal|327 Teal|355 Green|424 Charcoal Gray|202 Maroon|2587 Purple|Black|1545 Brown|341 Forest Green|White,Laser Engrave,"Right of Clip (Optional): 2""w x 7/32""h|Barrel Under Clip (Optional): 1-1/8""w x 7/32""h",Laser Engraved,,,,,,,,,,,,,,,,"Boxing in groups of 100 to 250 items $0.05(G) per piece|Single Clear Top Gift Box $0.60(G) each|Polybagging in Groups of 5 to 100 Items $0.06(G) per piece|Velvet Pouch $0.55(G) each|Personalization $0.60(G) per piece|Rush Delivery May Be Available, Call Customer Svc 20% (X)",Virtual Proof no charge|Fax Proof no charge|Email Proof no charge|Production Proof $50.00(G) plus the price of the product,,"Exact Quantity, Free total|Ink Color Change, Free per change|Copy Change $30.00(G) per change|Imprint Color Match $30.00(G) per color|Cancellation $31.25(G) plus costs incurred|Set-Up, No Charge per order|Speculative Sample $50.00(G) plus the price of the product|Less Than Minimum $50.00(G) per order|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Laser Engraved Personalization $0.60(G) per piece|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",,Clearwater,FL,33760,Clearwater,FL,33760
55058,Single Clear Top Gift Box,WRITE,Writing Instruments,NORWOOD,Norwood,Make presentation count with the Clear Top Gift Box., ,GIFTPEN,Gift Pens,,China,,WRITE_55058_S.jpg,WRITE_55058_M.jpg,WRITE_55058_L.jpg,WRITE_55058_Z.jpg,http://norwood.com/images/products/small/55058_S.jpg,http://norwood.com/images/products/medium/55058_M.jpg,http://norwood.com/images/products/large/55058_L.jpg,http://norwood.com/images/products/zoom/55058_Z.jpg,Plastic,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,0,Each,"Approx. 6-1/2""",Approx.,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cancellation $31.25(G) plus costs incurred|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",Please call for price quote.,Clearwater,FL,33760,Clearwater,FL,33760
55066,Nevada Pen,WRITE,Writing Instruments,NORWOOD,Norwood,This Nevada Pen definitely gives the image of professionalism! The detailed accents and rich colors will get your message noticed!,"1-color screen imprint or laser engraving, 1 location",GIFTPEN,Gift Pens,55066 Nevada Souvenir Pens Pens and Pencils Gift Pens burgundy blue hunter black Tradeshow Giveaway Advertising metal writing instruments Nevadas Souvenirs Pen ands Pencil Gifts burgundies blues hunters blacks Tradeshows Giveaways Advertisings metals writings instrument,China,Mechanism: Twist-Action|Ink Color/Point Style: Black ink with Cross-style medium point,WRITE_55066_S.jpg,WRITE_55066_M.jpg,WRITE_55066_L.jpg,WRITE_55066_Z.jpg,http://norwood.com/images/products/small/55066_S.jpg,http://norwood.com/images/products/medium/55066_M.jpg,http://norwood.com/images/products/large/55066_L.jpg,http://norwood.com/images/products/zoom/55066_Z.jpg,Metal,413,,1/1/15,100|250|500|1000|2500,3.84|3.68|3.61|3.55|3.49,2.304|2.208|2.166|2.13|2.094,,,,,3.84,3.68,3.61,3.55,3.49,,,,,,C,C,C,C,C,,,,,,100,250,500,1000,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,12,Each,"5-1/2""l x 7/16"" dia.",dia.,,"5-1/2""",,5,,,,Product Colors,Black|Blue|Burgundy|Hunter,,,,,,,Screen Print,"Barrel (Standard): 1-15/32""w x 1""h, 1 color(s) max ",8203 Metallic Blue|2587 Purple|Color Match|Process Blue|White|114 Lemon|8283 Metallic Green|355 Green|876 Metallic Copper|202 Maroon|205 Magenta|208 Burgundy|211 Pink|341 Forest Green|Black|293 Royal Blue|327 Teal|872 Metallic Gold|8085 Metallic Magenta|316 Dark Teal|424 Charcoal Gray|877 Metallic Silver|1545 Brown|172 Orange|281 Navy Blue|Reflex Blue|116 Athletic Gold|1345 Cream|186 Red,Laser Engrave,"Barrel (Optional): 1-3/8""w x 1/4""h|Cap (Optional): 1-3/8""w x 1/4""h",Laser Engraved,Screen Print,"Cap (Optional): 1-1/4""w x 5/8""h, 1 color(s) max ",8203 Metallic Blue|2587 Purple|Color Match|Process Blue|White|114 Lemon|8283 Metallic Green|355 Green|876 Metallic Copper|202 Maroon|205 Magenta|208 Burgundy|211 Pink|341 Forest Green|Black|293 Royal Blue|327 Teal|872 Metallic Gold|8085 Metallic Magenta|316 Dark Teal|424 Charcoal Gray|877 Metallic Silver|1545 Brown|172 Orange|281 Navy Blue|Reflex Blue|116 Athletic Gold|1345 Cream|186 Red,,,,,,,,,,,,,"Boxing in groups of 100 to 250 items $0.05(G) per piece|Single Clear Top Gift Box $0.60(G) each|Paper Gift Box $1.00(G) each|Polybagging in Groups of 5 to 100 Items $0.06(G) per piece|Velvet Pouch $0.55(G) each|Personalization $0.60(G) per piece|Rush Delivery May Be Available, Call Customer Svc 20% (X)",Virtual Proof no charge|Fax Proof no charge|Email Proof no charge|Production Proof $50.00(G) plus the price of the product,,"Exact Quantity, Free total|Ink Color Change, Free per change|Copy Change $30.00(G) per change|Imprint Color Match $30.00(G) per color|Cancellation $31.25(G) plus costs incurred|Set-Up, No Charge per order|Additional Laser Engraving $0.60(G) per location, per piece|Speculative Sample $50.00(G) plus the price of the product|Additional Imprint Location $0.12(C) per location, per piece|Less Than Minimum $50.00(G) per order|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Laser Engraved Personalization $0.60(G) per piece|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment","Over 200 products have been selected from the BIC Graphic family of brands to support WWP. From January 1, 2015 through December 31, 2015, BIC Graphic will donate $2 per order on specially marked products.",Clearwater,FL,33760,Clearwater,FL,33760
55139,Velvet Pouch,WRITE,Writing Instruments,NORWOOD,Norwood,The Velvet Pouch is an elegant way to present your pen or pencil., ,GIFTPEN,Gift Pens,,China,,WRITE_55139_S.jpg,WRITE_55139_M.jpg,WRITE_55139_L.jpg,WRITE_55139_Z.jpg,http://norwood.com/images/products/small/55139_S.jpg,http://norwood.com/images/products/medium/55139_M.jpg,http://norwood.com/images/products/large/55139_L.jpg,http://norwood.com/images/products/zoom/55139_Z.jpg,Polyester,676,,1/1/15,1,0.55,0.44,,,,,0.55,,,,,,,,,,G,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Each,"Approx. 6-1/4""",Approx.,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cancellation $31.25(G) plus costs incurred|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",Please call for price quote.,Clearwater,FL,33760,Clearwater,FL,33760
55148,Olympus Pen,WRITE,Writing Instruments,NORWOOD,Norwood,This pen's large comfort grip and stylish silver barrel make it a fantastic choice for your advertising promotion.,"1-color screen imprint or laser engraving, 1 location",GIFTPEN,Gift Pens,55148 Olympus Souvenir Pens Pens and Pencils Retractable Ball Pens black blue red Tradeshow Advertising Giveaway writing instruments Olympuses Olympu Souvenirs Pen ands Pencil Retractables Balls blacks blues reds Tradeshows Advertisings Giveaways writings instrument,China,Mechanism: Plunger-Action|Ink Color/Point Style: Black ink with Parker-style medium point,WRITE_55148_S.jpg,WRITE_55148_M.jpg,WRITE_55148_L.jpg,WRITE_55148_Z.jpg,http://norwood.com/images/products/small/55148_S.jpg,http://norwood.com/images/products/medium/55148_M.jpg,http://norwood.com/images/products/large/55148_L.jpg,http://norwood.com/images/products/zoom/55148_Z.jpg,Metal,408,,1/1/15,100|250|500|1000|2500,2.54|2.49|2.42|2.35|2.29,1.524|1.494|1.452|1.41|1.374,,,,,2.54,2.49,2.42,2.35,2.29,,,,,,C,C,C,C,C,,,,,,100,250,500,1000,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,8,Each,"5-7/16""l x 3/8"" dia.",dia.,,"5-7/16""",,4,,,,Product Colors,"Silver/Black(When Lasering, Oxidation Required)|Silver/Blue(When Lasering, Oxidation Required)|Silver/Green(When Lasering, Oxidation Required)|Silver/Orange(When Lasering, Oxidation Required)|Silver/Purple(When Lasering, Oxidation Required)|Silver/Red(When Lasering, Oxidation Required)",,,,,,,Screen Print,"Back Side of Barrel (Standard): 1-1/2""w x 1/2""h, 4 color(s) max ",8203 Metallic Blue|341 Forest Green|424 Charcoal Gray|872 Metallic Gold|114 Lemon|116 Athletic Gold|202 Maroon|205 Magenta|Black|8283 Metallic Green|186 Red|208 Burgundy|293 Royal Blue|316 Dark Teal|Color Match|White|281 Navy Blue|876 Metallic Copper|877 Metallic Silver|1345 Cream|355 Green|8085 Metallic Magenta|1545 Brown|2587 Purple|Reflex Blue|172 Orange|211 Pink|327 Teal|Process Blue,Laser Engrave,"Right of Clip (Optional): 1-3/8""w x 3/16""h",Laser Engraved,,,,,,,,,,,,,,,,"Boxing in groups of 100 to 250 items $0.05(G) per piece|Single Clear Top Gift Box $0.60(G) each|Polybagging in Groups of 5 to 100 Items $0.06(G) per piece|Velvet Pouch $0.55(G) each|Personalization $0.60(G) per piece|Rush Delivery May Be Available, Call Customer Svc 20% (X)",Virtual Proof no charge|Fax Proof no charge|Email Proof no charge|Production Proof $50.00(G) plus the price of the product,,"Exact Quantity, Free total|Ink Color Change, Free per change|Copy Change $30.00(G) per change|Imprint Color Match $30.00(G) per color|Cancellation $31.25(G) plus costs incurred|Set-Up, No Charge per order|Additional Imprint Color $0.12(C) per color, per piece|Speculative Sample $50.00(G) plus the price of the product|Less Than Minimum $50.00(G) per order|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Laser Engraved Personalization $0.60(G) per piece|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment",,Clearwater,FL,33760,Clearwater,FL,33760
55280,Paper Gift Box,WRITE,Writing Instruments,NORWOOD,Norwood,, ,GIFTPEN,Gift Pens,,China,,WRITE_55280_S.jpg,WRITE_55280_M.jpg,WRITE_55280_L.jpg,WRITE_55280_Z.jpg,http://norwood.com/images/products/small/55280_S.jpg,http://norwood.com/images/products/medium/55280_M.jpg,http://norwood.com/images/products/large/55280_L.jpg,http://norwood.com/images/products/zoom/55280_Z.jpg,Paper,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,Each,"6-7/16""l x 1-1/2""w x 1-1/4""d",,"1-1/2""","6-7/16""",,4,,,,Product Colors,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment,Please call for price quote.,Clearwater,FL,33760,Clearwater,FL,33760
55305,Brighton Pen,WRITE,Writing Instruments,NORWOOD,Norwood,Add some sparkle to your promotion!,"1-color screen imprint or laser engraving, 1 location; oxidation not included",GIFTPEN,Gift Pens,55305 Brighton pen pens writing instruments gifts pens metal sequins rhinestones twist action clip metal silver Souvenir gift pen gift pens black blue red silver Brightons writings instrument metals sequin rhinestone twists actions clips silvers Souvenirs blacks blues reds,China,Mechanism: Plunger-Action|Ink Color/Point Style: Black ink with Parker-style medium point,WRITE_55305_S.jpg,WRITE_55305_M.jpg,WRITE_55305_L.jpg,WRITE_55305_Z.jpg,http://norwood.com/images/products/small/55305_S.jpg,http://norwood.com/images/products/medium/55305_M.jpg,http://norwood.com/images/products/large/55305_L.jpg,http://norwood.com/images/products/zoom/55305_Z.jpg,Metal,409,,1/1/15,100|250|500|1000|2500,3.41|3.28|2.94|2.68|2.59,1.705|1.64|1.617|1.608|1.554,,,,,3.41,3.28,2.94,2.68,2.59,,,,,,A,A,B,C,C,,,,,,100,250,500,1000,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,7,Each,"5-3/8""l x 7/16"" dia.",dia.,,"5-3/8""",,5,,,,Product Colors,Black|Blue|Red|Silver,,,,,,,Screen Print,"Back Side of Barrel (Standard): 1-3/4""w x 1/2""h, 1 color(s) max ",872 Metallic Gold|877 Metallic Silver|White|Black,Laser Engrave,"Right of Clip (Optional): 1-3/4""w x 7/32""h",Laser Engraved,,,,,,,,,,,,,,,,"Boxing in groups of 100 to 250 items $0.05(G) per piece|Single Clear Top Gift Box $0.60(G) each|Paper Gift Box $1.00(G) each|Polybagging in Groups of 5 to 100 Items $0.06(G) per piece|Velvet Pouch $0.55(G) each|Personalization $0.60(G) per piece|Rush Delivery May Be Available, Call Customer Svc 20% (X)",Virtual Proof no charge|Fax Proof no charge|Email Proof no charge|Production Proof $50.00(G) plus the price of the product,,"Ink Color Change, Free per change|Copy Change $30.00(G) per change|Cancellation $31.25(G) plus costs incurred|Set-Up, No Charge per order|Speculative Sample $50.00(G) plus the price of the product|Less Than Minimum $50.00(G) per order|3rd Party Shipping (excluding UPS) $10.00(Z) per order, per ship to address|Laser Engraved Personalization $0.60(G) per piece|Drop Shipment Charge for Over 20 Ship Locations $3.00(Z) per shipment|Below Catalog Minimum Drop Ship Charge $3.00(Z) per shipment","Oxidation is required on Silver pens when laser engraved|Screen Imprint Colors: Black, Gold, Silver and White only",Clearwater,FL,33760,Clearwater,FL,33760
